Greedy Brute Force,,,,,,
Valid?, Score, RAM (MB), Time (ms), #Sessions = #Individuals, ,
true,61,4.194304,10.838,4, ,
true,22,3.015008,7.9262,5, ,
true,38,2.931088,4.8466,6, ,
true,37,2.99576,2.4174,7, ,
true,40,2.933392,2.2533,8, ,
true,38,2.997352,1.8556,9, ,
true,65,2.9348,3.0662,10, ,
true,57,0.0,1.9866,11, ,
true,34,0.0,1.4644,12, ,
true,59,2.938408,2.1104,13, ,
true,35,2.93836,0.9228,14, ,
true,25,2.938728,0.7649,15, ,
true,59,2.939368,1.2667,16, ,
true,38,3.12848,25.6025,17, ,
true,33,3.065904,22.133,18, ,
true,57,0.0,1.4137,19, ,
true,30,3.003824,1.9033,20, ,
true,31,3.003888,1.4158,21, ,
true,29,3.004584,1.7276,22, ,
true,31,3.004928,0.9904,23, ,
true,30,3.005048,1.2271,24, ,
true,51,3.005224,1.6451,25, ,
true,31,3.00564,3.5907,26, ,
true,66,3.072152,2.7075,27, ,
true,40,3.009568,1.9337,28, ,
true,43,3.00992,5.1397,29, ,
true,29,3.010064,2.7261,30, ,
true,53,3.073792,4.168,31, ,
true,29,3.07404,3.2033,32, ,
true,48,3.074784,2.2733,33, ,
true,28,3.075,2.8676,34, ,
true,53,3.075184,4.026,35, ,
true,41,3.075664,4.8735,36, ,
true,63,3.07616,3.2761,37, ,
true,50,3.076576,2.2442,38, ,
true,46,3.07684,4.2567,39, ,
true,50,3.077104,5.0488,40, ,
true,36,3.077608,4.0565,41, ,
true,49,3.140992,3.9174,42, ,
true,44,3.141128,3.3906,43, ,
true,54,3.1416,2.5197,44, ,
true,47,3.141928,3.9453,45, ,
true,29,3.142168,4.0023,46, ,
true,49,3.142016,6.4426,47, ,
true,51,3.142864,6.7059,48, ,
true,41,3.143208,4.2506,49, ,
true,29,3.143416,9.2958,50, ,
true,25,3.14404,5.0745,51, ,
true,27,3.144616,5.4658,52, ,
true,27,3.270464,5.6331,53, ,
true,27,3.272,5.747,54, ,
true,52,3.209448,14.7212,55, ,
true,58,3.20964,12.4,56, ,
true,43,3.21008,9.1841,57, ,
true,36,3.21064,12.9671,58, ,
true,45,3.211256,13.2205,59, ,
true,22,3.211008,15.3353,60, ,
true,23,3.211384,14.6359,61, ,
true,62,3.694552,22.0303,62, ,
true,40,3.890648,16.0407,63, ,
true,64,3.677952,19.8224,64, ,
true,23,3.678352,20.5739,65, ,
true,21,3.678472,11.9303,66, ,
true,48,3.678808,13.4217,67, ,
true,23,3.679448,12.9795,68, ,
true,26,3.680064,27.9302,69, ,
true,61,3.71684,23.476,70, ,
true,28,3.717328,34.0907,71, ,
true,26,3.7184,35.7177,72, ,
true,58,3.71876,18.6456,73, ,
true,22,3.718664,37.634,74, ,
true,45,3.720056,21.467,75, ,
true,40,3.7568,22.2085,76, ,
true,25,3.75676,31.9863,77, ,
true,46,3.75712,24.3356,78, ,
true,39,3.758056,12.977,79, ,
true,45,3.758304,26.0973,80, ,
true,49,3.75888,30.7305,81, ,
true,47,3.795384,42.7435,82, ,
true,47,3.796168,34.6516,83, ,
true,26,3.796832,32.7289,84, ,
true,24,3.796704,22.3573,85, ,
true,48,3.797248,22.7093,86, ,
true,48,3.83424,18.1566,87, ,
true,48,3.8346,36.2877,88, ,
true,45,3.834472,31.4323,89, ,
true,24,3.835112,29.8717,90, ,
true,26,3.834984,44.637,91, ,
true,23,3.835912,50.5987,92, ,
true,49,3.836136,36.0963,93, ,
true,50,3.835848,31.6371,94, ,
true,24,3.836368,34.8517,95, ,
true,49,3.873864,47.0419,96, ,
true,24,3.874312,32.0538,97, ,
true,51,3.87412,58.0915,98, ,
true,23,3.874592,38.5873,99, ,
true,23,3.911296,53.858,100, ,
true,23,3.9122,43.9374,101, ,
true,38,3.912192,42.8044,102, ,
true,47,3.912512,38.7319,103, ,


The DEFAULT parameters of the random test data: Days:50  Hours:8  Rooms:50  Sessions:50  Individuals:100 (Ignore for the specified parameter(s)).
