Greedy Brute Force,,,,,,
Valid?, Score, RAM (MB), Time (ms), #Individuals, ,
true,69,4.699696,4.6491,4, ,
true,66,2.236072,0.2511,4, ,
true,52,2.172032,0.3983,4, ,
true,60,2.172136,0.4884,4, ,
true,66,2.234904,0.2513,5, ,
true,61,2.172168,0.2577,5, ,
true,70,2.172272,0.2241,5, ,
true,44,2.172224,0.2695,5, ,
true,59,2.172384,0.2474,6, ,
false,-1,2.235432,1.8399,6, ,
true,60,2.167496,0.284,6, ,
true,64,2.171088,0.159,6, ,
true,66,2.234136,0.2439,7, ,
true,62,2.17172,0.2856,7, ,
true,49,2.23472,0.2069,7, ,
true,49,2.17276,0.2417,7, ,
true,64,2.172592,0.307,8, ,
true,57,2.17276,0.2597,8, ,
true,52,2.17276,0.2282,8, ,
true,69,2.172712,0.3012,8, ,
true,43,2.17276,0.4211,9, ,
true,57,2.172936,0.2354,9, ,
true,50,2.172992,0.2719,9, ,
true,54,2.172984,0.4249,9, ,
true,52,2.172928,0.2473,10, ,
true,60,2.172984,0.3114,10, ,
true,56,2.172992,0.3137,10, ,
true,50,2.173104,0.2651,10, ,
true,60,2.17304,0.4289,11, ,
true,68,2.173768,0.3254,11, ,
true,51,2.1736,0.1789,11, ,
true,51,2.17388,0.2907,11, ,
true,53,2.173656,0.2627,12, ,
true,47,2.236928,0.2577,12, ,
true,59,2.174048,0.3129,12, ,
true,46,2.173936,0.2467,12, ,
true,50,2.174048,0.2524,13, ,
true,59,2.173936,0.2959,13, ,
true,48,2.173944,0.2774,13, ,
true,47,2.174048,0.2214,13, ,
true,60,2.174112,0.235,14, ,
true,58,2.174232,0.2776,14, ,
true,40,2.174176,0.3071,14, ,
true,46,2.17428,0.2101,14, ,
true,67,2.174336,0.1463,15, ,
true,55,2.174176,0.324,15, ,
true,42,2.1744,0.2335,15, ,
true,51,2.174512,0.2634,15, ,
true,58,2.174512,0.2529,16, ,
true,65,2.17464,0.5279,16, ,
true,56,2.174424,0.2196,16, ,
true,60,2.237472,0.3708,16, ,
true,59,2.175248,0.4617,17, ,
true,48,2.238352,0.5138,17, ,
true,66,2.175856,0.1981,17, ,
true,52,2.176688,0.2556,17, ,
true,64,2.176408,0.2641,18, ,
true,47,2.176752,0.1704,18, ,
true,59,2.176864,0.1458,18, ,
true,45,2.176912,0.1494,18, ,
true,50,2.177032,0.1474,19, ,
true,55,2.176912,0.2218,19, ,
true,62,2.17692,0.1828,19, ,
true,37,2.176864,0.1708,19, ,
true,54,0.0,0.0922,20, ,
true,38,2.177096,0.1519,20, ,
true,55,2.178112,0.0809,20, ,
true,40,2.17796,0.1171,20, ,
true,46,2.178224,0.2128,21, ,
true,58,2.178224,0.2211,21, ,
true,49,0.0,0.1311,21, ,
true,59,2.178296,0.1613,21, ,
true,59,2.178056,0.1206,22, ,
true,54,2.17828,0.1173,22, ,
true,54,0.0,0.1722,22, ,
true,48,2.178168,0.1328,22, ,
true,55,2.178504,0.1298,23, ,
true,54,2.178672,0.2322,23, ,
true,60,2.181608,0.1098,23, ,
true,57,2.181616,0.1693,23, ,
true,39,2.18156,0.1096,24, ,
true,54,2.181952,0.3249,24, ,
true,58,2.181616,0.1983,24, ,
true,54,2.181896,0.2316,24, ,
true,60,2.181776,0.2734,25, ,
true,37,2.181896,0.1892,25, ,
true,56,2.182064,0.2513,25, ,
true,56,2.181888,0.306,25, ,
true,59,2.181896,0.1582,26, ,
true,40,2.182232,0.1614,26, ,
true,43,2.182168,0.153,26, ,
true,49,2.181952,0.1436,26, ,
true,60,2.182392,0.1106,27, ,
true,49,2.182,0.1127,27, ,
true,41,2.182224,0.1714,27, ,
true,46,2.182504,0.1992,27, ,
true,56,2.182176,0.1796,28, ,
true,55,2.182344,0.2703,28, ,
true,43,2.18256,0.1744,28, ,
true,51,2.18228,0.1863,28, ,
true,45,2.182456,0.1869,29, ,
true,52,0.0,0.1084,29, ,
true,61,2.182992,0.1352,29, ,
true,51,2.182768,0.2222,29, ,
true,54,2.18276,0.1136,30, ,
true,48,2.182704,0.1096,30, ,
true,49,2.182824,0.2076,30, ,
true,47,2.182536,0.1111,30, ,
true,55,2.182656,0.1092,31, ,
true,48,0.0,0.1709,31, ,
true,55,0.0,0.0923,31, ,
true,43,2.183344,0.2506,31, ,
true,54,2.183,0.1217,32, ,
true,42,0.0,0.0991,32, ,
true,57,0.0,0.2042,32, ,
true,57,0.0,0.238,32, ,
true,52,2.183056,0.1503,33, ,
true,52,0.0,0.0978,33, ,
true,53,2.183344,0.1229,33, ,
true,47,0.0,0.12,33, ,
true,47,0.0,0.177,34, ,
true,57,2.183696,0.304,34, ,
true,55,2.183296,0.18,34, ,
true,62,2.183512,0.3467,34, ,
true,61,0.0,0.0896,35, ,
true,54,2.183688,0.1059,35, ,
true,50,0.0,0.0913,35, ,
true,56,2.18392,0.094,35, ,
true,45,2.1838,0.1114,36, ,
true,44,0.0,0.087,36, ,
true,44,0.0,0.0927,36, ,
true,64,2.184024,0.1112,36, ,
true,57,2.18372,0.1378,37, ,
true,55,2.184168,0.1423,37, ,
true,55,0.0,0.1114,37, ,
true,47,0.0,0.1256,37, ,
true,50,0.0,0.1033,38, ,
true,46,0.0,0.0882,38, ,
true,52,0.0,0.1162,38, ,
true,52,0.0,0.1089,38, ,
true,52,2.377752,0.1206,39, ,
true,46,0.0,0.1296,39, ,
true,42,0.0,0.0858,39, ,
true,53,0.0,0.1564,39, ,
true,52,0.0,0.1194,40, ,
true,60,2.443104,0.1404,40, ,
true,52,0.0,0.121,40, ,
true,49,0.0,0.1126,40, ,
true,48,0.0,0.0864,41, ,
true,49,0.0,0.1367,41, ,
true,54,0.0,0.1637,41, ,
true,53,0.0,0.2683,41, ,
true,44,0.0,0.0928,42, ,
