Greedy Brute Force,,,,,,
Valid?, Score, RAM (MB), Time (ms), #Sessions, ,
true,30,4.700704,4.6842,1, ,
true,58,2.248368,0.2951,1, ,
true,72,2.143008,0.1569,1, ,
true,45,2.142728,0.6033,1, ,
true,48,2.14256,0.2876,2, ,
true,64,2.205832,0.4334,2, ,
true,55,2.143392,0.4205,2, ,
true,45,2.143448,0.5825,2, ,
true,56,2.206216,0.3342,3, ,
true,59,2.143584,0.3924,3, ,
true,58,2.143752,0.3349,3, ,
true,49,2.14376,0.1736,3, ,
true,44,2.143424,0.1766,4, ,
true,50,2.14376,0.5728,4, ,
true,52,2.143872,0.1912,4, ,
true,61,2.206752,0.3533,4, ,
true,60,2.143944,0.2549,5, ,
true,37,2.143944,0.297,5, ,
true,50,2.14428,0.3433,5, ,
true,48,2.144224,0.3104,5, ,
true,45,2.144056,0.3342,6, ,
true,43,2.144664,0.3616,6, ,
true,54,2.145208,0.303,6, ,
true,57,2.145368,0.4042,6, ,
true,46,2.1452,0.5076,7, ,
true,57,2.145648,0.5521,7, ,
true,61,2.145424,0.7648,7, ,
true,67,2.145592,0.3112,7, ,
true,50,2.145368,0.2112,8, ,
true,50,2.145424,0.2834,8, ,
true,55,2.145648,0.274,8, ,
true,61,0.0,0.3225,8, ,
true,57,2.145944,0.3079,9, ,
true,54,2.208984,0.2866,9, ,
true,67,2.145952,1.0326,9, ,
true,41,2.145608,0.4123,9, ,
true,47,2.146112,0.2624,10, ,
true,62,0.0,0.3383,10, ,
true,45,2.146128,0.2617,10, ,
true,45,2.1464,0.4357,10, ,
true,45,2.14584,0.4011,11, ,
true,62,0.0,0.4064,11, ,
true,51,0.0,0.3193,11, ,
true,59,2.148392,0.9043,11, ,
true,45,2.148384,0.3258,12, ,
true,42,2.14844,10.8152,12, ,
true,52,0.0,3.1432,12, ,
true,58,2.148448,2.6742,12, ,
true,51,2.14856,0.3821,13, ,
true,50,2.148896,0.4474,13, ,
true,53,0.0,0.9898,13, ,
true,48,0.0,0.3489,13, ,
true,55,2.148672,0.2318,14, ,
true,49,2.149,0.257,14, ,
true,56,2.211888,0.3075,14, ,
true,51,2.211904,0.1993,14, ,
true,46,2.149816,0.5279,15, ,
