Greedy Brute Force,,,,,,
Valid?, Score, RAM (MB), Time (ms), #Individuals, ,
true,74,4.699696,5.3456,4, ,
false,-1,2.163896,2.5748,4, ,
true,60,2.157456,0.3514,4, ,
true,72,2.11936,0.3671,4, ,
true,52,2.161328,0.4461,5, ,
true,61,2.11984,0.7019,5, ,
true,51,2.119728,0.4572,5, ,
true,44,2.161744,0.5946,5, ,
true,57,2.119864,0.3827,6, ,
true,37,2.119968,0.3377,6, ,
true,62,2.120024,0.2585,6, ,
true,47,2.161936,0.3423,6, ,
true,50,2.162184,0.4083,7, ,
true,58,2.121232,0.2846,7, ,
true,59,2.121504,0.3215,7, ,
true,63,2.121616,0.2837,7, ,
true,41,2.121552,0.2794,8, ,
true,69,2.121832,0.3622,8, ,
true,71,2.121784,0.478,8, ,
true,53,2.121664,0.9533,8, ,
true,59,2.121832,0.6419,9, ,
true,46,2.121848,0.3081,9, ,
true,56,2.122024,0.3059,9, ,
true,45,2.12196,0.533,9, ,
true,44,2.121904,0.6103,10, ,
true,46,2.122008,0.5881,10, ,
true,44,2.122184,0.2842,10, ,
true,57,2.122072,0.507,10, ,
true,70,2.122128,0.6512,11, ,
true,47,2.122376,0.4814,11, ,
true,57,2.122144,0.3812,11, ,
true,50,2.122784,0.2824,11, ,
true,55,2.122784,0.3179,12, ,
true,44,2.164856,0.2697,12, ,
true,43,0.0,0.3422,12, ,
true,62,0.0,0.4359,12, ,
true,60,2.122968,0.5661,13, ,
true,50,2.123192,0.4074,13, ,
true,46,2.123136,0.2565,13, ,
true,47,2.12324,0.6086,13, ,
true,55,2.123256,0.1639,14, ,
true,59,2.123528,0.254,14, ,
true,58,2.123416,0.2739,14, ,
true,42,2.123472,0.1931,14, ,
true,45,2.12336,0.3174,15, ,
true,52,2.123416,0.4725,15, ,
true,58,2.12348,0.5995,15, ,
true,51,2.123472,0.5707,15, ,
true,45,2.123472,0.2181,16, ,
true,49,2.123728,0.442,16, ,
true,49,2.165688,0.2202,16, ,
true,63,2.166256,0.3058,16, ,
true,52,2.124312,0.2126,17, ,
true,63,2.166504,0.6108,17, ,
true,57,2.1246,0.2071,17, ,
true,61,2.124704,0.1972,17, ,
true,42,2.1246,0.2236,18, ,
true,46,2.12516,0.2808,18, ,
true,51,2.124928,0.14,18, ,
true,54,2.124992,0.2703,18, ,
true,49,2.12488,0.2032,19, ,
true,44,2.12516,0.1433,19, ,
true,56,2.125152,0.2171,19, ,
true,62,0.0,0.0968,19, ,
true,59,2.125168,0.1374,20, ,
true,56,2.125152,0.1666,20, ,
true,50,2.126408,0.2283,20, ,
true,63,2.12636,0.2813,20, ,
true,48,2.129184,0.1953,21, ,
true,60,2.129416,0.1883,21, ,
true,62,2.129472,0.3291,21, ,
true,55,2.129408,0.1826,21, ,
false,-1,2.129528,0.1894,22, ,
true,55,2.125744,0.123,22, ,
false,-1,2.129576,0.1972,22, ,
true,53,2.125904,0.1022,22, ,
true,62,2.129528,0.1653,23, ,
true,58,2.130024,0.2027,23, ,
true,46,2.129632,0.2457,23, ,
true,49,2.129736,0.1531,23, ,
true,38,0.0,0.0907,24, ,
true,44,0.0,0.1001,24, ,
true,45,2.130304,0.2214,24, ,
true,47,2.129792,0.241,24, ,
true,47,0.0,0.1516,25, ,
true,51,2.130088,0.2391,25, ,
true,40,2.130024,0.2319,25, ,
true,52,2.130184,0.2107,25, ,
true,48,2.129856,0.1951,26, ,
true,44,2.130192,0.1374,26, ,
false,-1,2.130296,0.2611,26, ,
true,51,2.126296,0.2142,26, ,
true,51,2.13024,0.3547,27, ,
true,54,2.130408,0.412,27, ,
true,55,2.13036,0.2491,27, ,
true,53,0.0,0.1725,27, ,
true,63,2.130472,0.1955,28, ,
true,56,2.13052,0.314,28, ,
true,42,0.0,0.1162,28, ,
true,47,2.130424,0.2532,28, ,
true,58,2.130464,0.2368,29, ,
true,61,0.0,0.1223,29, ,
true,57,2.130696,0.5976,29, ,
false,-1,0.0,0.1322,29, ,
true,54,2.126856,0.127,30, ,
true,51,2.130744,0.1725,30, ,
true,52,0.0,0.1196,30, ,
true,60,0.0,0.1388,30, ,
true,58,2.209776,0.1245,31, ,
true,52,0.0,0.0954,31, ,
true,57,0.0,0.1087,31, ,
true,60,0.0,0.1177,31, ,
true,46,2.388168,0.1102,32, ,
true,47,0.0,0.1498,32, ,
true,46,2.371816,0.1277,32, ,
true,53,0.0,0.1406,32, ,
true,43,2.371496,0.1252,33, ,
true,53,0.0,0.1291,33, ,
true,50,0.0,0.1312,33, ,
true,52,0.0,0.138,33, ,
true,55,0.0,0.1597,34, ,
true,46,0.0,0.1106,34, ,
true,47,0.0,0.1325,34, ,
true,58,0.0,0.1232,34, ,
true,52,0.0,0.0929,35, ,
true,59,0.0,0.142,35, ,
true,51,2.475944,0.6979,35, ,
true,50,2.499648,0.2595,35, ,
true,49,2.509376,0.3902,36, ,
true,48,0.0,0.1382,36, ,
true,61,0.0,0.1709,36, ,
true,53,0.0,0.1175,36, ,
true,43,2.51604,0.133,37, ,
true,53,2.51716,0.126,37, ,
true,48,2.568896,0.107,37, ,
true,47,2.57456,0.1449,37, ,
true,51,2.642,0.1469,38, ,
true,50,0.0,0.1058,38, ,
true,50,0.0,0.1025,38, ,
true,54,0.0,0.1358,38, ,
true,51,2.563184,0.1262,39, ,
true,52,0.0,0.1535,39, ,
true,43,0.0,0.1417,39, ,
true,53,0.0,0.1345,39, ,
true,44,0.0,0.0972,40, ,
true,55,0.0,0.1384,40, ,
true,40,0.0,0.1581,40, ,
true,57,2.605704,0.1284,40, ,
true,60,0.0,0.1445,41, ,
true,43,0.0,0.0936,41, ,
true,54,0.0,0.0984,41, ,
true,53,0.0,0.1384,41, ,
true,52,0.0,0.1345,42, ,
true,39,0.0,0.116,42, ,
true,55,0.0,0.1025,42, ,
true,38,0.0,0.1115,42, ,
true,61,0.0,0.1188,43, ,
true,60,0.0,0.1272,43, ,
true,51,0.0,0.14,43, ,
true,46,0.0,0.1248,43, ,
false,-1,2.606824,0.1396,44, ,
true,45,2.561256,0.1398,44, ,
true,39,0.0,0.2519,44, ,
true,43,0.0,0.1121,44, ,
true,50,0.0,0.1599,45, ,
true,43,0.0,0.1887,45, ,
true,46,0.0,0.1013,45, ,
true,49,0.0,0.1681,45, ,
true,48,2.607616,0.1444,46, ,
true,57,0.0,0.1109,46, ,
true,54,0.0,0.1382,46, ,
true,46,0.0,0.1029,46, ,
true,58,2.607224,0.143,47, ,
true,53,0.0,0.1157,47, ,
true,44,0.0,0.1354,47, ,
true,61,0.0,0.1249,47, ,
true,58,0.0,0.12,48, ,
true,60,2.60716,0.181,48, ,
true,44,0.0,0.1203,48, ,
true,56,2.60796,0.1519,48, ,
true,50,0.0,0.1271,49, ,
true,49,0.0,0.1473,49, ,
true,51,0.0,0.1263,49, ,
true,49,0.0,0.1763,49, ,
true,66,0.0,0.1412,50, ,
true,53,0.0,0.2633,50, ,
true,56,0.0,0.2248,50, ,
true,52,0.0,0.2472,50, ,
true,57,0.0,0.1332,51, ,
true,56,0.0,0.1322,51, ,
true,56,0.0,0.1465,51, ,
true,54,0.0,0.1444,51, ,
true,55,0.0,0.101,52, ,
true,59,0.0,0.1347,52, ,
true,50,0.0,0.1089,52, ,
true,57,2.608456,0.2317,52, ,
true,54,0.0,0.1258,53, ,
true,50,2.6088,0.1208,53, ,
true,64,0.0,0.1427,53, ,
true,60,2.608688,0.1513,53, ,
true,46,0.0,0.1091,54, ,
true,54,2.608432,0.151,54, ,
true,57,0.0,0.0968,54, ,
true,60,0.0,0.1215,54, ,
true,54,2.608784,0.1522,55, ,
true,42,2.60888,0.2606,55, ,
true,57,2.608816,0.1456,55, ,
true,60,2.60844,0.1916,55, ,
false,-1,0.0,0.2252,56, ,
true,50,2.562968,0.2179,56, ,
true,48,0.0,0.1634,56, ,
true,55,0.0,0.1933,56, ,
true,55,2.608944,0.1566,57, ,
true,49,0.0,0.223,57, ,
true,63,2.608888,0.2051,57, ,
true,52,0.0,0.1056,57, ,
true,48,0.0,0.124,58, ,
false,-1,2.609008,0.1886,58, ,
true,54,2.563464,0.2046,58, ,
true,56,2.608984,0.1899,58, ,
