,Brute Force,,,,,
 #Individuals,Valid?, Score, RAM (MB), Time (ms),, 
4,TRUE,60,22.525672,148.2342,, 
5,TRUE,58,20.15396,58.7905,, 
6,TRUE,59,44.484896,42.3041,, 
7,TRUE,52,44.542264,42.6097,, 
8,TRUE,50,51.234696,41.2673,, 
9,TRUE,40,51.187448,39.3766,, 
10,TRUE,55,47.461432,44.1719,, 
11,TRUE,45,51.372848,34.3456,, 
12,TRUE,65,43.483392,43.442,, 
13,TRUE,65,44.509008,35.6391,, 
14,TRUE,42,50.495888,43.6578,, 
15,TRUE,61,46.145512,39.4554,, 
16,TRUE,50,41.50296,41.0974,, 
17,TRUE,64,44.80544,37.4283,, 
18,TRUE,44,42.067584,50.8363,, 
19,TRUE,63,41.84064,36.3961,, 
20,TRUE,52,48.67984,40.8061,, 
21,TRUE,74,45.661272,38.0204,, 
22,TRUE,45,42.131616,42.9241,, 
23,TRUE,70,48.285808,40.4543,, 
24,TRUE,41,47.531072,44.4469,, 
25,TRUE,63,46.902256,47.3869,, 
26,TRUE,54,41.62164,51.6228,, 
27,TRUE,39,44.806232,60.259,, 
28,TRUE,58,41.8146,44.2952,, 
29,TRUE,61,48.856152,57.6739,, 
30,TRUE,63,20.39552,66.4992,, 
31,TRUE,49,44.83012,48.0283,, 
32,TRUE,64,48.550368,54.919,, 
33,TRUE,62,48.575864,59.0273,, 
34,TRUE,65,20.335008,64.5159,, 
35,TRUE,49,48.260272,48.8527,, 
36,TRUE,65,44.806488,48.8218,, 
37,TRUE,40,44.630736,59.4398,, 
38,TRUE,47,41.506856,63.425,, 
39,TRUE,59,44.289808,51.706,, 
40,TRUE,65,41.730224,49.672,, 
41,TRUE,41,44.63292,57.1809,, 
42,TRUE,62,37.710888,66.5263,, 
43,TRUE,38,44.623464,37.5356,, 
44,TRUE,65,41.51104,43.8103,, 
45,TRUE,63,44.693688,38.8733,, 
46,TRUE,67,44.747456,47.6035,, 
47,TRUE,45,47.156328,48.9792,, 
48,TRUE,61,40.858992,39.9734,, 
49,TRUE,43,48.227248,41.2702,, 
50,TRUE,64,47.237416,53.7651,, 
51,TRUE,39,44.127432,56.9282,, 
52,TRUE,40,44.452408,39.074,, 
53,TRUE,65,46.87664,43.1236,, 
54,TRUE,67,46.876296,44.8323,, 
55,TRUE,64,46.931616,52.7097,, 
56,TRUE,59,47.172648,47.0915,, 
57,TRUE,37,47.563824,41.4063,, 
58,TRUE,62,46.785784,49.6238,, 
59,TRUE,45,45.154056,47.5816,, 
60,TRUE,40,44.768592,41.5168,, 
61,TRUE,37,47.461816,51.609,, 
62,TRUE,58,47.519736,41.8751,, 
63,TRUE,57,44.166592,53.9566,, 
64,TRUE,40,46.905136,63.3414,, 
65,TRUE,57,47.236664,52.9044,, 
66,TRUE,60,47.120272,44.9571,, 
67,TRUE,63,46.814232,41.1167,, 
68,TRUE,65,47.598912,57.8522,, 
69,TRUE,36,46.81044,57.5037,, 
70,TRUE,37,20.604984,52.3836,, 
71,TRUE,59,48.1068,44.0979,, 
72,TRUE,62,47.517504,59.7909,, 
73,TRUE,63,46.899008,50.2698,, 
74,TRUE,43,47.44952,53.6599,, 
75,TRUE,40,19.889704,57.024,, 
76,TRUE,41,21.188816,61.0382,, 
77,TRUE,64,46.860936,54.1296,, 
78,TRUE,41,20.55876,59.1667,, 
79,TRUE,63,46.98812,56.009,, 
80,TRUE,64,20.676392,68.2691,, 
81,TRUE,60,47.251,59.9607,, 
82,TRUE,37,20.840728,69.4501,, 
83,TRUE,65,46.758736,63.9473,, 
84,TRUE,37,47.456536,68.6166,, 
85,TRUE,42,21.214056,57.2747,, 
86,TRUE,40,19.62356,84.173,, 
87,TRUE,39,46.92432,63.2665,, 
88,TRUE,40,47.524344,67.37,, 
89,TRUE,36,46.774024,70.7994,, 
90,TRUE,38,47.15932,79.9552,, 
91,TRUE,63,21.219008,68.6571,, 
92,TRUE,63,46.873272,79.7113,, 
93,TRUE,62,46.98684,63.482,, 
94,TRUE,38,20.489008,80.016,, 
95,TRUE,40,46.821888,80.7081,, 
96,TRUE,36,47.103952,70.666,, 
97,TRUE,37,21.699056,85.6582,, 
98,TRUE,57,46.88048,66.3786,, 
99,TRUE,40,46.687,82.7669,, 
100,TRUE,38,46.624,83.5233,, 
101,TRUE,60,46.738248,74.8426,, 
102,TRUE,36,46.665824,90.5365,, 
103,TRUE,39,46.988392,65.1385,, 
104,TRUE,37,46.763464,113.1093,, 
105,TRUE,63,20.480496,86.1226,, 
106,TRUE,36,46.772136,79.9706,, 
107,TRUE,37,20.413984,74.7835,, 
108,TRUE,60,21.00184,82.1305,, 
109,TRUE,61,46.694728,75.8409,, 
110,TRUE,64,20.489408,86.2663,, 
111,TRUE,37,44.590768,75.6142,, 
112,TRUE,60,21.172568,102.884,, 
113,TRUE,38,20.247176,95.6957,, 
114,TRUE,58,49.729112,85.6973,, 
115,TRUE,63,20.780736,84.9982,, 
116,TRUE,37,20.174296,81.5007,, 
117,TRUE,38,20.102784,109.2649,, 
118,TRUE,63,20.360456,89.312,, 
119,TRUE,38,21.020016,95.8902,, 
120,TRUE,61,21.667752,110.3501,, 
121,TRUE,65,21.515552,90.3258,, 
122,TRUE,37,47.23056,66.7752,, 
123,TRUE,38,19.70848,72.3157,, 
124,TRUE,43,21.61772,124.7545,, 
125,TRUE,41,49.115344,81.6327,, 
126,TRUE,64,19.712312,87.3423,, 
127,TRUE,59,50.365776,87.7358,, 
128,TRUE,38,20.371136,107.6488,, 
129,TRUE,63,19.839552,186.599,, 
130,TRUE,43,20.308216,211.0753,, 
131,TRUE,36,20.53124,178.79,, 
132,TRUE,39,50.122352,184.9114,, 
133,TRUE,61,21.187656,196.3391,, 
134,TRUE,38,50.176224,223.499,, 
135,TRUE,60,20.365232,240.4354,, 
136,TRUE,62,20.967848,239.2699,, 
137,TRUE,60,50.930992,263.843,, 
138,TRUE,37,21.74532,296.1423,, 
139,TRUE,58,44.584024,202.9042,, 
140,TRUE,59,21.489208,271.2398,, 
141,TRUE,37,21.348352,261.2364,, 
142,TRUE,41,20.190552,228.2146,, 
143,TRUE,38,19.8944,217.4584,, 
144,TRUE,41,20.60232,253.2493,, 
145,TRUE,60,20.322544,338.4234,, 
146,TRUE,41,20.360296,306.4979,, 
147,TRUE,38,48.396968,266.8013,, 
148,TRUE,38,21.397592,284.9498,, 
149,TRUE,60,20.291488,246.3287,, 
150,TRUE,36,20.273272,276.4925,, 
151,TRUE,58,21.394728,264.1071,, 
152,TRUE,35,20.974616,240.4117,, 
153,TRUE,36,21.39868,275.9355,, 
154,TRUE,60,20.122824,179.7019,, 
155,TRUE,62,20.314672,275.5883,, 
156,TRUE,36,21.630224,248.49,, 
157,TRUE,61,21.592568,253.5129,, 
158,TRUE,32,20.292696,186.2423,, 
159,TRUE,37,20.306128,268.354,, 
160,TRUE,32,20.543216,224.3761,, 
161,TRUE,37,21.944976,248.7263,, 
162,TRUE,37,21.701496,324.2845,, 
163,TRUE,60,20.593464,272.7644,, 
164,TRUE,37,21.167544,312.9631,, 
165,TRUE,38,20.74108,345.5591,, 
166,TRUE,59,20.955768,335.9609,, 
167,TRUE,59,43.713312,285.2256,, 
168,TRUE,36,20.464176,257.4915,, 
169,TRUE,36,21.204776,323.9037,, 
170,TRUE,61,20.883792,237.7488,, 
171,TRUE,38,21.060496,371.3168,, 
172,TRUE,61,20.284,377.7028,, 
173,TRUE,60,21.451592,347.8132,, 
174,TRUE,36,21.391936,337.4074,, 
175,TRUE,58,44.548888,294.2292,, 
176,TRUE,60,21.098368,359.8848,, 
177,TRUE,37,20.754744,292.2529,, 
178,TRUE,37,44.654952,217.1709,, 
179,TRUE,58,21.737264,289.6906,, 
180,TRUE,37,21.443592,337.9161,, 
181,TRUE,35,20.495608,390.4894,, 
182,TRUE,36,20.635576,340.7103,, 
183,TRUE,38,46.433352,342.2751,, 
184,TRUE,58,20.543528,226.1136,, 
185,TRUE,61,22.457576,360.1386,, 
186,TRUE,36,21.007912,296.5289,, 
187,TRUE,38,20.049472,278.042,, 
188,TRUE,34,21.2182,216.8015,, 
189,TRUE,58,21.849872,342.1187,, 
190,TRUE,36,20.238936,289.9126,, 
191,TRUE,37,21.09876,375.6852,, 
192,TRUE,40,23.261888,328.0622,, 
193,TRUE,35,22.727,452.0402,, 
194,TRUE,61,21.395904,392.6908,, 
195,TRUE,37,41.95924,298.1552,, 
196,TRUE,36,21.850224,312.9522,, 
197,TRUE,40,20.516624,321.2519,, 
198,TRUE,60,23.247312,452.8397,, 
199,TRUE,61,22.62016,319.0969,, 
200,TRUE,38,21.120336,316.8935,, 
201,TRUE,37,21.738056,299.5568,, 
202,TRUE,63,20.77216,317.2825,, 
203,TRUE,37,21.00328,320.5892,, 
204,TRUE,62,21.642336,381.9815,, 
205,TRUE,35,22.269656,423.0147,, 
206,TRUE,38,21.24212,344.3494,, 
207,TRUE,64,42.050056,343.5993,, 
208,TRUE,39,22.433984,363.6538,, 
209,TRUE,57,21.208712,319.9355,, 
210,TRUE,36,21.270952,427.0741,, 
211,TRUE,36,22.448328,403.7653,, 
212,TRUE,57,21.660344,348.8819,, 
213,TRUE,39,20.76364,330.7221,, 
214,TRUE,33,21.024168,302.5418,, 
215,TRUE,39,21.568184,304.3133,, 
216,TRUE,36,22.857944,426.1762,, 
217,TRUE,58,21.359192,318.5398,, 
218,TRUE,62,21.496544,318.5637,, 
219,TRUE,62,22.287776,433.1383,, 
220,TRUE,62,20.861208,343.9606,, 
221,TRUE,38,22.060432,422.7526,, 
222,TRUE,63,21.390864,358.1655,, 
223,TRUE,61,20.549232,299.0119,, 
224,TRUE,61,21.08488,347.221,, 
225,TRUE,39,21.481032,392.325,, 
226,TRUE,62,22.09188,316.5333,, 
227,TRUE,36,21.440536,414.196,, 
228,TRUE,64,23.078048,430.356,, 
229,TRUE,63,21.690864,354.3876,, 
230,TRUE,59,22.46384,482.8468,, 
231,TRUE,60,23.072928,443.24,, 
232,TRUE,39,22.475416,372.0815,, 
233,TRUE,38,22.93224,403.2484,, 
234,TRUE,37,22.776352,507.2677,, 
235,TRUE,34,23.155984,354.0381,, 
236,TRUE,58,22.545152,455.7297,, 
237,TRUE,40,21.645888,340.2991,, 
238,TRUE,63,23.937728,492.6559,, 
239,TRUE,36,22.044944,472.221,, 
240,TRUE,38,23.227984,382.4069,, 
241,TRUE,37,23.152832,415.5071,, 
242,TRUE,61,24.535328,404.4296,, 
243,TRUE,60,24.46064,525.9007,, 
244,TRUE,40,38.660768,380.9759,, 
245,TRUE,60,22.466536,433.688,, 
246,TRUE,60,24.317744,512.0631,, 
247,TRUE,37,42.822752,537.0075,, 
248,TRUE,38,21.703288,398.454,, 
249,TRUE,40,22.147912,443.7388,, 
250,TRUE,37,22.397288,398.5137,, 
251,TRUE,33,22.143944,387.7269,, 
252,TRUE,37,23.2842,468.5435,, 
253,TRUE,62,22.763288,425.488,, 
254,TRUE,36,24.031848,581.2514,, 
255,TRUE,37,22.834384,538.2523,, 
256,TRUE,58,22.603944,380.1548,, 
257,TRUE,34,22.468168,356.7644,, 
258,TRUE,60,22.412384,447.8309,, 
259,TRUE,39,24.085288,522.8861,, 
260,TRUE,37,23.006824,401.0063,, 
261,TRUE,60,23.704328,583.6457,, 
262,TRUE,38,24.68076,633.2875,, 
263,TRUE,38,23.251432,543.6945,, 
264,TRUE,38,22.228024,380.2907,, 
265,TRUE,60,22.877144,470.7925,, 
266,TRUE,60,23.322328,479.5521,, 
267,TRUE,36,24.67624,556.7385,, 
268,TRUE,60,22.708112,478.1097,, 
269,TRUE,34,22.830448,493.071,, 
270,TRUE,38,23.299704,525.7453,, 
271,TRUE,62,22.58944,490.6112,, 
272,TRUE,37,23.00116,488.5147,, 
273,TRUE,39,22.843888,484.9693,, 
274,TRUE,37,21.95212,356.8383,, 
275,TRUE,60,23.21472,460.4747,, 
276,TRUE,36,22.347792,405.3841,, 
277,TRUE,62,23.325784,514.4943,, 
278,TRUE,37,23.812616,515.7506,, 
279,TRUE,36,22.111416,457.3525,, 
280,TRUE,36,42.41948,477.7767,, 
281,TRUE,61,23.19332,534.6423,, 
282,TRUE,61,23.211824,502.8376,, 
283,TRUE,61,42.139584,566.5663,, 
284,TRUE,39,23.662776,516.3561,, 
285,TRUE,37,24.08104,514.1817,, 
286,TRUE,39,22.395808,397.3985,, 
287,TRUE,58,23.724232,540.7013,, 
288,TRUE,61,24.624472,636.8269,, 
289,TRUE,62,24.575088,550.7843,, 
290,TRUE,59,41.877768,501.5395,, 
291,TRUE,36,21.557856,377.7976,, 
