Greedy Brute Force,,,,,,
Valid?, Score, RAM (MB), Time (ms), #Sessions, ,
true,47,4.700704,3.3252,1, ,
true,43,2.248072,0.316,1, ,
true,55,2.142768,0.1777,1, ,
true,61,2.142656,0.1218,1, ,
true,50,2.142432,0.1396,2, ,
true,47,2.205984,0.111,2, ,
true,45,2.206144,0.1223,2, ,
true,59,2.143352,0.1656,2, ,
true,54,2.143064,0.3686,3, ,
true,62,2.1434,0.2468,3, ,
true,36,2.1434,0.3787,3, ,
true,61,2.14324,0.2226,3, ,
true,54,2.143576,0.1296,4, ,
true,47,2.206456,0.1612,4, ,
true,50,2.14376,0.2144,4, ,
true,49,2.14376,0.2369,4, ,
true,47,2.143536,0.2229,5, ,
true,50,2.14404,0.2395,5, ,
true,58,2.143928,0.2018,5, ,
true,39,2.143816,0.3032,5, ,
true,45,2.14404,0.3011,6, ,
true,51,2.20692,0.3859,6, ,
true,63,2.14416,0.2898,6, ,
true,53,2.144424,0.4407,6, ,
true,58,2.144592,0.3529,7, ,
true,62,2.14524,0.3189,7, ,
true,47,2.145016,0.2047,7, ,
true,64,2.145352,0.2941,7, ,
true,51,2.145352,0.207,8, ,
true,51,2.145408,0.2445,8, ,
true,59,2.145464,0.2198,8, ,
true,33,2.145312,0.3192,8, ,
true,49,2.145536,0.434,9, ,
true,44,2.2088,0.3443,9, ,
true,49,2.145992,0.3785,9, ,
true,46,2.14588,0.2346,9, ,
true,49,0.0,0.2269,10, ,
true,59,2.146168,0.3772,10, ,
true,46,2.145928,0.2756,10, ,
true,49,2.145704,0.2676,10, ,
true,43,2.146208,0.2478,11, ,
true,41,2.146232,0.3689,11, ,
true,52,2.148136,0.2243,11, ,
true,49,0.0,0.4034,11, ,
true,48,0.0,0.2207,12, ,
true,57,2.148544,9.5631,12, ,
true,44,0.0,0.616,12, ,
true,47,0.0,0.2765,12, ,
true,50,2.148152,0.2999,13, ,
true,40,2.14848,0.1778,13, ,
true,56,2.14848,0.2457,13, ,
true,52,2.14864,0.2186,13, ,
true,48,2.148536,0.2665,14, ,
true,61,2.151752,0.2454,14, ,
true,42,2.151592,0.1708,14, ,
true,52,2.151808,0.2477,14, ,
true,62,2.214824,0.2563,15, ,
true,53,2.152744,0.4146,15, ,
true,59,2.152744,0.1263,15, ,
true,49,2.152744,0.1497,15, ,
true,49,2.152976,0.1259,16, ,
true,49,2.15272,0.2089,16, ,
