,Brute Force,,,,,
 #Sessions,Valid?, Score, RAM (MB), Time (ms),, 
1,TRUE,33,4.69988,9.4577,, 
2,TRUE,39,3.275456,5.5931,, 
3,TRUE,62,3.379816,5.7532,, 
4,TRUE,38,3.5518,4.0394,, 
5,TRUE,41,3.707552,9.2081,, 
6,TRUE,56,3.870792,8.2615,, 
7,TRUE,66,4.06944,16.7476,, 
8,TRUE,48,4.265336,15.5836,, 
9,TRUE,43,,3.2963,, 
10,TRUE,33,4.418808,5.9296,, 
11,TRUE,40,,3.1961,, 
12,TRUE,65,4.98336,4.5223,, 
13,TRUE,68,5.17128,6.8762,, 
14,TRUE,68,5.147424,5.4404,, 
15,TRUE,38,5.41812,7.4497,, 
16,TRUE,46,5.722592,4.8451,, 
17,TRUE,64,5.85644,3.7561,, 
18,TRUE,37,5.851064,2.2964,, 
19,TRUE,70,6.067176,3.6972,, 
20,TRUE,41,6.442712,6.6161,, 
21,TRUE,37,6.412368,4.1181,, 
22,TRUE,65,6.436176,3.1878,, 
23,TRUE,40,6.47156,9.4523,, 
24,TRUE,41,6.710848,7.7424,, 
25,TRUE,38,7.057776,6.0748,, 
26,TRUE,62,7.001656,7.7167,, 
27,TRUE,45,7.351792,10.344,, 
28,TRUE,41,47.499624,14.3835,, 
29,TRUE,67,7.924088,11.8991,, 
30,TRUE,43,7.902344,28.9133,, 
31,TRUE,67,8.246968,9.2072,, 
32,TRUE,67,47.51916,16.0891,, 
33,TRUE,60,8.690688,10.0821,, 
34,TRUE,66,8.246312,14.9135,, 
35,TRUE,39,8.573272,25.2962,, 
36,TRUE,46,47.741224,22.5518,, 
37,TRUE,68,9.2786,21.0129,, 
38,TRUE,66,50.327888,29.7116,, 
39,TRUE,36,51.18152,20.848,, 
40,TRUE,61,43.810552,19.6715,, 
41,TRUE,68,44.234536,19.0815,, 
42,TRUE,36,40.846688,19.1348,, 
43,TRUE,62,46.415616,15.5797,, 
44,TRUE,39,44.513808,21.7725,, 
45,TRUE,37,44.646144,24.6532,, 
46,TRUE,66,44.276296,21.5751,, 
47,TRUE,40,44.299704,22.0371,, 
48,TRUE,61,41.501888,20.5573,, 
49,TRUE,59,41.719768,21.6199,, 
50,TRUE,47,47.265712,22.7734,, 
51,TRUE,37,44.648008,29.271,, 
52,TRUE,64,12.032032,43.3581,, 
53,TRUE,42,43.06392,28.1086,, 
54,TRUE,65,47.269672,41.1978,, 
55,TRUE,58,46.716352,43.0963,, 
56,TRUE,39,13.330344,42.1444,, 
57,TRUE,37,13.31208,51.2081,, 
58,TRUE,59,47.80812,34.2913,, 
59,TRUE,62,47.54372,39.8508,, 
60,TRUE,62,46.903592,41.7592,, 
61,TRUE,39,40.851512,31.7829,, 
62,TRUE,41,44.53212,21.9342,, 
63,TRUE,67,44.63432,28.2166,, 
64,TRUE,46,48.20448,36.0188,, 
65,TRUE,64,44.165296,53.174,, 
66,TRUE,61,44.45192,28.5192,, 
67,TRUE,63,47.597776,21.3079,, 
68,TRUE,41,44.731064,22.7065,, 
69,TRUE,65,43.664592,22.6691,, 
70,TRUE,64,48.54276,32.574,, 
71,TRUE,63,47.54124,31.133,, 
72,TRUE,40,44.730528,31.465,, 
73,TRUE,61,48.558952,26.2426,, 
74,TRUE,62,45.189496,24.3214,, 
75,TRUE,43,40.074096,22.8164,, 
76,TRUE,62,45.750784,29.2104,, 
77,TRUE,43,44.228016,32.5147,, 
78,TRUE,66,47.59808,38.5285,, 
79,TRUE,38,47.574496,26.2224,, 
80,TRUE,45,46.879128,30.2053,, 
81,TRUE,39,47.168464,33.3771,, 
82,TRUE,41,44.518384,27.4964,, 
83,TRUE,40,47.774224,32.9857,, 
84,TRUE,62,47.391024,37.491,, 
85,TRUE,37,47.558288,27.9344,, 
