Brute Force,,,,,,
Valid?, Score, RAM (MB), Time (ms), #Sessions, ,
true,56,4.699784,12.2034,1, ,
true,63,3.092608,13.3671,2, ,
true,38,3.26136,10.8905,3, ,
true,66,3.429928,6.2007,4, ,
true,40,3.588808,12.085,5, ,
true,42,0.0,8.2278,6, ,
true,64,3.916872,7.6973,7, ,
true,72,0.0,7.1457,8, ,
true,47,4.271592,5.8007,9, ,
true,43,0.0,6.5765,10, ,
true,43,0.0,16.0803,11, ,
true,40,0.0,3.574,12, ,
true,49,4.849136,13.1335,13, ,
true,60,4.990728,5.5084,14, ,
true,75,5.16272,14.3892,15, ,
true,47,5.403912,14.7755,16, ,
true,47,5.575104,16.4475,17, ,
true,72,6.035624,9.4296,18, ,
true,59,5.76368,5.4171,19, ,
true,70,6.024664,8.7505,20, ,
true,45,6.21408,5.4905,21, ,
true,46,6.743568,8.5778,22, ,
true,71,6.79832,8.8391,23, ,
true,64,6.580296,8.9122,24, ,
true,41,7.150256,10.0133,25, ,
true,65,7.35092,12.9291,26, ,
true,41,7.996152,71.9545,27, ,
true,44,8.146056,14.9597,28, ,
true,69,8.018296,12.3532,29, ,
true,47,8.03432,10.8206,30, ,
true,41,8.07808,15.7326,31, ,
true,43,8.40772,12.1325,32, ,
true,45,8.841248,16.8598,33, ,
true,40,8.59668,16.8515,34, ,
true,64,44.909432,19.8355,35, ,
true,45,9.455104,16.6827,36, ,
true,46,48.33412,19.2404,37, ,
true,63,10.15024,16.0556,38, ,
true,70,47.585608,15.3426,39, ,
true,46,10.088872,15.0534,40, ,
true,63,44.454072,16.3763,41, ,
true,71,44.442272,17.5349,42, ,
true,45,44.566024,19.1372,43, ,
true,75,10.559792,14.6333,44, ,
true,72,44.830008,16.1207,45, ,
true,66,11.537296,25.7963,46, ,
true,40,42.547096,22.4379,47, ,
true,67,48.692728,18.1617,48, ,
true,66,11.65132,26.973,49, ,
true,62,44.784264,23.4317,50, ,
true,45,41.75424,23.7825,51, ,
true,65,44.620968,24.0411,52, ,
true,64,37.75016,19.5089,53, ,
true,75,41.220936,22.3545,54, ,
true,51,45.15792,21.5221,55, ,
true,61,44.116528,32.6487,56, ,
true,44,41.830904,24.6554,57, ,
true,68,48.336488,30.5919,58, ,
true,52,44.662064,25.3747,59, ,
true,40,44.796464,23.2323,60, ,
true,66,44.758528,26.4348,61, ,
true,42,14.096368,42.8622,62, ,
true,43,48.647808,27.4646,63, ,
true,40,47.574304,33.7277,64, ,
true,49,50.735584,29.6582,65, ,
true,43,43.927768,35.9158,66, ,
true,48,46.859216,47.7127,67, ,
true,76,15.49884,39.2133,68, ,
true,62,41.819344,32.3107,69, ,
true,62,41.708912,22.8955,70, ,
true,44,48.624208,31.661,71, ,
true,65,16.022176,42.6952,72, ,
true,42,44.740208,36.4564,73, ,
true,65,41.752208,27.7126,74, ,
true,38,42.23664,28.6028,75, ,
true,61,44.836184,38.4452,76, ,
true,58,44.74296,36.7936,77, ,
true,66,45.143896,29.6172,78, ,
true,62,41.833568,31.6576,79, ,
true,66,35.829312,25.0723,80, ,
true,43,41.805528,27.0551,81, ,
true,45,40.677168,30.1479,82, ,
true,71,40.759784,24.1837,83, ,
true,74,17.185176,27.3635,84, ,
true,68,48.629912,31.3056,85, ,
true,68,39.107808,34.9966,86, ,
true,75,44.64292,34.3452,87, ,
true,46,44.718256,37.9322,88, ,
true,65,45.148192,38.9024,89, ,
true,66,41.711856,44.1679,90, ,
true,65,45.126904,32.211,91, ,
true,62,40.390048,32.7887,92, ,
true,38,39.219816,32.0208,93, ,
true,65,42.197768,35.6238,94, ,
true,72,48.663464,45.8777,95, ,
true,69,44.7988,37.279,96, ,
true,65,44.797208,36.5369,97, ,
true,65,45.143912,37.7832,98, ,
true,64,44.501768,47.8468,99, ,
true,62,42.404952,32.2968,100, ,


The DEFAULT parameters of the random test data: Days:50  Hours:8  Rooms:50  Sessions:12  Individuals:25 (Ignore for the specified parameter).
