Greedy Brute Force,,,,,Brute Force,,,,,Brute Force (Greedy Optimised),,,,,CSP Algorithm,,,,,CSP (Randomised Optimisation),,,,
Valid?,Score,RAM (MB),Time (ms),,Valid?,Score,RAM (MB),Time (ms),,Valid?,Score,RAM (MB),Time (ms),,Valid?,Score,RAM (MB),Time (ms),,Valid?,Score,RAM,Time (ms),
FALSE,0,0,0, ,TRUE,39,9.94268,66.8863, ,TRUE,44,66.444824,90843.9992, ,FALSE,0,0,0, ,FALSE,0,0,0, 
FALSE,0,0,0, ,TRUE,37,8.472536,8.7359, ,TRUE,42,73.45164,79688.1854, ,FALSE,0,0,0, ,FALSE,0,0,0, 
FALSE,0,0,0, ,TRUE,62,8.620064,8.6045, ,TRUE,67,75.771192,74896.9282, ,FALSE,0,0,0, ,FALSE,0,0,0, 
FALSE,0,0,0, ,TRUE,38,8.4762,5.176, ,TRUE,43,84.99236,77845.5169, ,FALSE,0,0,0, ,FALSE,0,0,0, 
FALSE,0,0,0, ,TRUE,70,8.445312,9.2233, ,TRUE,71,92.579624,87589.4922, ,FALSE,0,0,0, ,FALSE,0,0,0, 
FALSE,0,0,0, ,TRUE,64,8.622808,5.3883, ,TRUE,71,75.771576,64797.9056, ,FALSE,0,0,0, ,FALSE,0,0,0, 
FALSE,0,0,0, ,TRUE,60,8.769552,4.1178, ,TRUE,67,87.801944,83098.9968, ,FALSE,0,0,0, ,FALSE,0,0,0, 
FALSE,0,0,0, ,TRUE,39,8.167784,10.1748, ,TRUE,43,77.131776,81908.5945, ,FALSE,0,0,0, ,FALSE,0,0,0, 
FALSE,0,0,0, ,TRUE,70,8.790448,10.4264, ,TRUE,71,79.864536,90331.8102, ,FALSE,0,0,0, ,FALSE,0,0,0, 
FALSE,0,0,0, ,TRUE,59,8.787648,4.4817, ,TRUE,65,86.547992,102567.1474, ,FALSE,0,0,0, ,FALSE,0,0,0, 
FALSE,0,0,0, ,TRUE,34,8.726136,12.114, ,TRUE,41,77.185608,110793.7841, ,FALSE,0,0,0, ,FALSE,0,0,0, 
FALSE,0,0,0, ,TRUE,61,8.476952,8.6406, ,TRUE,66,78.483584,96771.5111, ,FALSE,0,0,0, ,FALSE,0,0,0, 
FALSE,0,0,0, ,TRUE,66,8.329752,4.7193, ,TRUE,71,71.10444,101178.5152, ,FALSE,0,0,0, ,FALSE,0,0,0, 
FALSE,0,0,0, ,TRUE,42,8.4796,11.2907, ,TRUE,45,78.644784,104266.6909, ,FALSE,0,0,0, ,FALSE,0,0,0, 
FALSE,0,0,0, ,TRUE,64,8.331896,5.7542, ,TRUE,68,74.285504,95175.2256, ,FALSE,0,0,0, ,FALSE,0,0,0, 
FALSE,0,0,0, ,TRUE,70,8.770584,6.7119, ,TRUE,71,83.329688,89889.3617, ,FALSE,0,0,0, ,FALSE,0,0,0, 
FALSE,0,0,0, ,TRUE,69,8.18832,10.0221, ,TRUE,70,76.110936,76661.0094, ,FALSE,0,0,0, ,FALSE,0,0,0, 
FALSE,0,0,0, ,TRUE,40,8.772728,6.2449, ,TRUE,43,87.342976,87394.5444, ,FALSE,0,0,0, ,FALSE,0,0,0, 
FALSE,0,0,0, ,TRUE,58,8.772984,9.3264, ,TRUE,64,92.850648,86035.6557, ,FALSE,0,0,0, ,FALSE,0,0,0, 
FALSE,0,0,0, ,TRUE,69,8.624864,5.2756, ,TRUE,70,73.564152,99436.3675, ,FALSE,0,0,0, ,FALSE,0,0,0, 
FALSE,0,0,0, ,TRUE,65,8.73732,10.5521, ,TRUE,72,86.553064,80258.4365, ,FALSE,0,0,0, ,FALSE,0,0,0, 
FALSE,0,0,0, ,TRUE,41,8.332544,7.2674, ,TRUE,45,82.829816,74304.8374, ,FALSE,0,0,0, ,FALSE,0,0,0, 
FALSE,0,0,0, ,TRUE,62,8.77364,5.9786, ,TRUE,66,73.580968,84977.9758, ,FALSE,0,0,0, ,FALSE,0,0,0, 
FALSE,0,0,0, ,TRUE,69,8.278712,11.644, ,TRUE,72,96.685064,71241.3895, ,FALSE,0,0,0, ,FALSE,0,0,0, 
FALSE,0,0,0, ,TRUE,44,8.26152,10.2295, ,TRUE,50,93.86184,71455.8463, ,FALSE,0,0,0, ,FALSE,0,0,0, 
FALSE,0,0,0, ,TRUE,61,8.259544,4.5983, ,TRUE,67,89.807288,72870.0989, ,FALSE,0,0,0, ,FALSE,0,0,0, 
FALSE,0,0,0, ,TRUE,68,8.404984,6.1347, ,TRUE,71,79.144656,79361.4609, ,FALSE,0,0,0, ,FALSE,0,0,0, 
FALSE,0,0,0, ,TRUE,64,8.70008,8.9764, ,TRUE,67,84.40852,83103.2626, ,FALSE,0,0,0, ,FALSE,0,0,0, 
FALSE,0,0,0, ,TRUE,46,8.404616,4.7572, ,TRUE,50,90.870608,77010.0528, ,FALSE,0,0,0, ,FALSE,0,0,0, 
FALSE,0,0,0, ,TRUE,44,8.342336,6.6277, ,TRUE,50,102.990928,71312.0935, ,FALSE,0,0,0, ,FALSE,0,0,0, 
FALSE,0,0,0, ,TRUE,38,8.343776,5.8799, ,TRUE,41,97.720656,82321.6234, ,FALSE,0,0,0, ,FALSE,0,0,0, 
FALSE,0,0,0, ,TRUE,65,8.847304,6.2283, ,TRUE,66,103.89852,94858.6551, ,FALSE,0,0,0, ,FALSE,0,0,0, 
FALSE,0,0,0, ,TRUE,43,8.26156,5.1034, ,TRUE,47,80.669488,74681.5884, ,FALSE,0,0,0, ,FALSE,0,0,0, 
