Greedy Brute Force,,,,,Brute Force,,,,,Brute Force (Greedy Optimised),,,,,CSP Algorithm,,,,,CSP (Randomised Optimisation),,,,
Valid?,Score,RAM (MB),Time (ms),,Valid?,Score,RAM (MB),Time (ms),,Valid?,Score,RAM (MB),Time (ms),,Valid?,Score,RAM (MB),Time (ms),,Valid?,Score,RAM,Time (ms),
FALSE,0,0,0, ,TRUE,,,, ,FALSE,0,0,0, ,FALSE,-1,160.596496,60680.4171, ,FALSE,0,0,0, 
FALSE,0,0,0, ,TRUE,40,14.061696,34.3067, ,FALSE,0,0,0, ,FALSE,-1,197.020392,60118.0067, ,FALSE,0,0,0, 
FALSE,0,0,0, ,TRUE,64,14.511832,25.037, ,FALSE,0,0,0, ,FALSE,-1,190.531096,60104.817, ,FALSE,0,0,0, 
FALSE,0,0,0, ,TRUE,39,13.601728,22.8466, ,FALSE,0,0,0, ,FALSE,-1,162.15764,60100.3858, ,FALSE,0,0,0, 
FALSE,0,0,0, ,TRUE,67,14.382864,15.0973, ,FALSE,0,0,0, ,FALSE,-1,183.437824,60106.2657, ,FALSE,0,0,0, 
FALSE,0,0,0, ,TRUE,63,14.028056,20.9698, ,FALSE,0,0,0, ,FALSE,-1,181.295768,60095.5662, ,FALSE,0,0,0, 
FALSE,0,0,0, ,TRUE,36,14.032,24.8737, ,FALSE,0,0,0, ,FALSE,-1,201.715736,60086.748, ,FALSE,0,0,0, 
FALSE,0,0,0, ,TRUE,59,14.158608,24.195, ,FALSE,0,0,0, ,FALSE,-1,185.321672,60094.15, ,FALSE,0,0,0, 
FALSE,0,0,0, ,TRUE,39,14.450016,28.2141, ,FALSE,0,0,0, ,FALSE,-1,206.861576,60084.9097, ,FALSE,0,0,0, 
FALSE,0,0,0, ,TRUE,42,14.394496,29.7591, ,FALSE,0,0,0, ,FALSE,-1,179.845128,60113.2554, ,FALSE,0,0,0, 
FALSE,0,0,0, ,TRUE,40,13.6264,32.3754, ,FALSE,0,0,0, ,FALSE,-1,185.3462,60086.7708, ,FALSE,0,0,0, 
FALSE,0,0,0, ,TRUE,41,13.781904,34.8495, ,FALSE,0,0,0, ,FALSE,-1,196.641416,60088.7676, ,FALSE,0,0,0, 
FALSE,0,0,0, ,TRUE,60,14.039552,23.7944, ,FALSE,0,0,0, ,FALSE,-1,190.283688,60081.9281, ,FALSE,0,0,0, 
FALSE,0,0,0, ,TRUE,60,14.332192,28.492, ,FALSE,0,0,0, ,FALSE,-1,184.343768,60082.7616, ,FALSE,0,0,0, 
