Greedy Brute Force,,,,,Brute Force,,,,,Brute Force (Greedy Optimised),,,,,CSP Algorithm,,,,,CSP (Randomised Optimisation),,,,
Valid?,Score,RAM (MB),Time (ms),,Valid?,Score,RAM (MB),Time (ms),,Valid?,Score,RAM (MB),Time (ms),,Valid?,Score,RAM (MB),Time (ms),,Valid?,Score,RAM,Time (ms),
FALSE,0,0,0, ,TRUE,39,25.298296,561.2816, ,FALSE,0,0,0, ,FALSE,0,0,0, ,TRUE,40,223.101768,32337.8717,
FALSE,0,0,0, ,TRUE,39,26.368432,265.752901, ,FALSE,0,0,0, ,FALSE,0,0,0, ,TRUE,39,393.264504,37095.6176,
FALSE,0,0,0, ,TRUE,64,27.157624,318.195, ,FALSE,0,0,0, ,FALSE,0,0,0, ,TRUE,62,316.577088,31531.9867,
FALSE,0,0,0, ,TRUE,59,25.675376,267.5083, ,FALSE,0,0,0, ,FALSE,0,0,0, ,TRUE,62,365.961792,29362.1125,
FALSE,0,0,0, ,TRUE,41,26.726312,267.1715, ,FALSE,0,0,0, ,FALSE,0,0,0, ,TRUE,40,454.090776,27153.2271,
FALSE,0,0,0, ,TRUE,34,27.037168,272.4945, ,FALSE,0,0,0, ,FALSE,0,0,0, ,TRUE,38,330.844048,21505.3814,
FALSE,0,0,0, ,TRUE,60,27.196104,263.5194, ,FALSE,0,0,0, ,FALSE,0,0,0, ,TRUE,63,432.502176,32134.0613,
FALSE,0,0,0, ,TRUE,57,27.134224,223.6705, ,FALSE,0,0,0, ,FALSE,0,0,0, ,TRUE,60,335.014128,17053.3757,
FALSE,0,0,0, ,TRUE,61,27.262856,237.459, ,FALSE,0,0,0, ,FALSE,0,0,0, ,TRUE,63,343.897136,26653.099,
FALSE,0,0,0, ,TRUE,60,26.888936,181.863, ,FALSE,0,0,0, ,FALSE,0,0,0, ,TRUE,61,522.74324,17610.4834,
FALSE,0,0,0, ,TRUE,61,24.776664,209.2044, ,FALSE,0,0,0, ,FALSE,0,0,0, ,TRUE,60,356.66636,20934.3227,
FALSE,0,0,0, ,TRUE,63,25.853696,240.4539, ,FALSE,0,0,0, ,FALSE,0,0,0, ,TRUE,64,341.490144,27727.5696,
FALSE,0,0,0, ,TRUE,60,25.908432,234.9933, ,FALSE,0,0,0, ,FALSE,0,0,0, ,TRUE,60,374.027304,20439.8757,
FALSE,0,0,0, ,TRUE,37,25.708128,380.7363, ,FALSE,0,0,0, ,FALSE,0,0,0, ,TRUE,40,420.549928,22737.1116,
FALSE,0,0,0, ,TRUE,61,25.191688,220.1285, ,FALSE,0,0,0, ,FALSE,0,0,0, ,TRUE,63,510.196408,21139.6192,
FALSE,0,0,0, ,TRUE,38,27.453168,215.6488, ,FALSE,0,0,0, ,FALSE,0,0,0, ,TRUE,40,336.273728,18437.1861,
FALSE,0,0,0, ,TRUE,39,26.353136,219.5299, ,FALSE,0,0,0, ,FALSE,0,0,0, ,TRUE,39,456.673336,21043.5734,
FALSE,0,0,0, ,TRUE,57,27.488608,230.0218, ,FALSE,0,0,0, ,FALSE,0,0,0, ,TRUE,62,358.702584,20480.281,
FALSE,0,0,0, ,TRUE,42,26.410992,265.8479, ,FALSE,0,0,0, ,FALSE,0,0,0, ,TRUE,40,506.486128,26190.1329,
FALSE,0,0,0, ,TRUE,36,25.87852,202.5138, ,FALSE,0,0,0, ,FALSE,0,0,0, ,TRUE,38,501.1698,22422.7808,
FALSE,0,0,0, ,TRUE,62,24.56784,231.531, ,FALSE,0,0,0, ,FALSE,0,0,0, ,TRUE,64,503.510976,24712.7306,
FALSE,0,0,0, ,TRUE,63,25.945864,218.2464, ,FALSE,0,0,0, ,FALSE,0,0,0, ,TRUE,63,517.7882,20389.3172,
FALSE,0,0,0, ,TRUE,37,27.666176,226.7888, ,FALSE,0,0,0, ,FALSE,0,0,0, ,TRUE,38,379.275472,22272.388,
FALSE,0,0,0, ,TRUE,61,25.0206,176.3402, ,FALSE,0,0,0, ,FALSE,0,0,0, ,TRUE,62,386.148136,17287.3556,
FALSE,0,0,0, ,TRUE,59,26.41048,227.3118, ,FALSE,0,0,0, ,FALSE,0,0,0, ,TRUE,62,513.030232,21259.9836,
FALSE,0,0,0, ,TRUE,38,27.34716,196.547, ,FALSE,0,0,0, ,FALSE,0,0,0, ,TRUE,39,421.847496,20630.3472,
