Greedy Brute Force,,,,,Brute Force,,,,,Brute Force (Greedy Optimised),,,,,CSP Algorithm,,,,,CSP (Randomised Optimisation),,
Valid?,Score,RAM (MB),Time (ms),,Valid?,Score,RAM (MB),Time (ms),,Valid?,Score,RAM (MB),Time (ms),,Valid?,Score,RAM (MB),Time (ms),,Valid?,Score,RAM,Time (ms),,
false,0,0.0,0.0, ,true,39,25.298296,561.2816, ,false,0,0.0,0.0, ,false,0,0.0,0.0, ,true,40,223.101768,32337.871699, ,
false,0,0.0,0.0, ,true,39,26.368432,265.752901, ,false,0,0.0,0.0, ,false,0,0.0,0.0, ,true,39,393.264504,37095.6176, ,
false,0,0.0,0.0, ,true,64,27.157624,318.195, ,false,0,0.0,0.0, ,false,0,0.0,0.0, ,true,62,316.577088,31531.9867, ,
false,0,0.0,0.0, ,true,59,25.675376,267.5083, ,false,0,0.0,0.0, ,false,0,0.0,0.0, ,true,62,365.961792,29362.1125, ,
false,0,0.0,0.0, ,true,41,26.726312,267.1715, ,false,0,0.0,0.0, ,false,0,0.0,0.0, ,true,40,454.090776,27153.2271, ,
false,0,0.0,0.0, ,true,34,27.037168,272.4945, ,false,0,0.0,0.0, ,false,0,0.0,0.0, ,true,38,330.844048,21505.3814, ,
false,0,0.0,0.0, ,true,60,27.196104,263.5194, ,false,0,0.0,0.0, ,false,0,0.0,0.0, ,true,63,432.502176,32134.0613, ,
false,0,0.0,0.0, ,true,57,27.134224,223.6705, ,false,0,0.0,0.0, ,false,0,0.0,0.0, ,true,60,335.014128,17053.3757, ,
false,0,0.0,0.0, ,true,61,27.262856,237.459, ,false,0,0.0,0.0, ,false,0,0.0,0.0, ,true,63,343.897136,26653.099, ,
false,0,0.0,0.0, ,true,60,26.888936,181.863, ,false,0,0.0,0.0, ,false,0,0.0,0.0, ,true,61,522.74324,17610.4834, ,
false,0,0.0,0.0, ,true,61,24.776664,209.2044, ,false,0,0.0,0.0, ,false,0,0.0,0.0, ,true,60,356.66636,20934.3227, ,
false,0,0.0,0.0, ,true,63,25.853696,240.4539, ,false,0,0.0,0.0, ,false,0,0.0,0.0, ,true,64,341.490144,27727.5696, ,
false,0,0.0,0.0, ,true,60,25.908432,234.9933, ,false,0,0.0,0.0, ,false,0,0.0,0.0, ,true,60,374.027304,20439.8757, ,
false,0,0.0,0.0, ,true,37,25.708128,380.7363, ,false,0,0.0,0.0, ,false,0,0.0,0.0, ,true,40,420.549928,22737.1116, ,
false,0,0.0,0.0, ,true,61,25.191688,220.1285, ,false,0,0.0,0.0, ,false,0,0.0,0.0, ,true,63,510.196408,21139.6192, ,
false,0,0.0,0.0, ,true,38,27.453168,215.6488, ,false,0,0.0,0.0, ,false,0,0.0,0.0, ,true,40,336.273728,18437.1861, ,
false,0,0.0,0.0, ,true,39,26.353136,219.5299, ,false,0,0.0,0.0, ,false,0,0.0,0.0, ,true,39,456.673336,21043.5734, ,
false,0,0.0,0.0, ,true,57,27.488608,230.0218, ,false,0,0.0,0.0, ,false,0,0.0,0.0, ,true,62,358.702584,20480.281, ,
false,0,0.0,0.0, ,true,42,26.410992,265.8479, ,false,0,0.0,0.0, ,false,0,0.0,0.0, ,true,40,506.486128,26190.1329, ,
false,0,0.0,0.0, ,true,36,25.87852,202.5138, ,false,0,0.0,0.0, ,false,0,0.0,0.0, ,true,38,501.1698,22422.7808, ,
false,0,0.0,0.0, ,true,62,24.56784,231.531, ,false,0,0.0,0.0, ,false,0,0.0,0.0, ,true,64,503.510976,24712.7306, ,
false,0,0.0,0.0, ,true,63,25.945864,218.2464, ,false,0,0.0,0.0, ,false,0,0.0,0.0, ,true,63,517.7882,20389.3172, ,
false,0,0.0,0.0, ,true,37,27.666176,226.7888, ,false,0,0.0,0.0, ,false,0,0.0,0.0, ,true,38,379.275472,22272.388, ,
false,0,0.0,0.0, ,true,61,25.0206,176.3402, ,false,0,0.0,0.0, ,false,0,0.0,0.0, ,true,62,386.148136,17287.3556, ,
false,0,0.0,0.0, ,true,59,26.41048,227.3118, ,false,0,0.0,0.0, ,false,0,0.0,0.0, ,true,62,513.030232,21259.9836, ,
false,0,0.0,0.0, ,true,38,27.34716,196.547, ,false,0,0.0,0.0, ,false,0,0.0,0.0, ,true,39,421.847496,20630.3472, ,
false,0,0.0,0.0, ,true,62,27.095184,191.006, ,false,0,0.0,0.0, ,false,0,0.0,0.0, ,true,63,422.191608,19967.9711, ,
false,0,0.0,0.0, ,true,61,25.637224,181.7907, ,false,0,0.0,0.0, ,false,0,0.0,0.0, ,true,62,472.497904,18153.4763, ,
false,0,0.0,0.0, ,true,60,26.855896,183.8161, ,false,0,0.0,0.0, ,false,0,0.0,0.0, ,true,61,443.807,23130.1524, ,
false,0,0.0,0.0, ,true,59,26.75864,289.084, ,false,0,0.0,0.0, ,false,0,0.0,0.0, ,true,62,383.043016,25864.2314, ,
false,0,0.0,0.0, ,true,42,26.934432,259.7318, ,false,0,0.0,0.0, ,false,0,0.0,0.0, ,true,40,440.287784,24429.2756, ,
false,0,0.0,0.0, ,true,62,25.19148,242.7335, ,false,0,0.0,0.0, ,false,0,0.0,0.0, ,true,64,505.761008,23969.3426, ,
false,0,0.0,0.0, ,true,39,26.216536,276.5732, ,false,0,0.0,0.0, ,false,0,0.0,0.0, ,true,40,457.407592,26352.1999, ,
false,0,0.0,0.0, ,true,63,27.023928,383.7399, ,false,0,0.0,0.0, ,false,0,0.0,0.0, ,true,64,367.962608,28583.7404, ,
false,0,0.0,0.0, ,true,60,25.198512,233.0681, ,false,0,0.0,0.0, ,false,0,0.0,0.0, ,true,64,428.395792,25969.9222, ,
false,0,0.0,0.0, ,true,62,25.982984,290.5506, ,false,0,0.0,0.0, ,false,0,0.0,0.0, ,true,61,367.631376,23332.2076, ,
false,0,0.0,0.0, ,true,63,25.972912,318.7103, ,false,0,0.0,0.0, ,false,0,0.0,0.0, ,true,63,443.300128,32721.3543, ,
false,0,0.0,0.0, ,true,59,26.584968,214.201, ,false,0,0.0,0.0, ,false,0,0.0,0.0, ,true,62,363.150128,25152.7911, ,
false,0,0.0,0.0, ,true,62,25.603816,233.6281, ,false,0,0.0,0.0, ,false,0,0.0,0.0, ,true,61,462.49648,26782.0341, ,
false,0,0.0,0.0, ,true,62,26.94292,248.2633, ,false,0,0.0,0.0, ,false,0,0.0,0.0, ,true,65,475.806056,26587.1202, ,
false,0,0.0,0.0, ,true,39,27.024984,241.7798, ,false,0,0.0,0.0, ,false,0,0.0,0.0, ,true,40,406.655064,19414.5806, ,
false,0,0.0,0.0, ,true,60,27.360392,190.1115, ,false,0,0.0,0.0, ,false,0,0.0,0.0, ,true,63,495.9074,18047.5877, ,
false,0,0.0,0.0, ,true,61,26.955224,223.026599, ,false,0,0.0,0.0, ,false,0,0.0,0.0, ,true,61,461.038424,19309.388, ,
false,0,0.0,0.0, ,true,65,27.575928,221.2677, ,false,0,0.0,0.0, ,false,0,0.0,0.0, ,true,63,363.856736,23216.2042, ,
false,0,0.0,0.0, ,true,62,25.281552,170.183001, ,false,0,0.0,0.0, ,false,0,0.0,0.0, ,true,64,358.402424,16376.853899, ,
false,0,0.0,0.0, ,true,63,25.479536,361.4717, ,false,0,0.0,0.0, ,false,0,0.0,0.0, ,true,64,352.841336,23093.03, ,
false,0,0.0,0.0, ,true,64,27.989992,196.3415, ,false,0,0.0,0.0, ,false,0,0.0,0.0, ,true,64,461.23536,23438.521701, ,
false,0,0.0,0.0, ,true,37,26.696936,252.191399, ,false,0,0.0,0.0, ,false,0,0.0,0.0, ,true,40,266.205024,24890.378701, ,
false,0,0.0,0.0, ,true,38,25.543928,369.6981, ,false,0,0.0,0.0, ,false,0,0.0,0.0, ,true,39,387.768008,24920.2804, ,
false,0,0.0,0.0, ,true,60,27.328352,235.3029, ,false,0,0.0,0.0, ,false,0,0.0,0.0, ,true,64,467.281896,22179.2236, ,
false,0,0.0,0.0, ,true,63,25.478848,228.7879, ,false,0,0.0,0.0, ,false,0,0.0,0.0, ,true,62,242.784752,26116.7516, ,
false,0,0.0,0.0, ,true,58,25.681072,175.0413, ,false,0,0.0,0.0, ,false,0,0.0,0.0, ,true,61,465.047112,17723.6759, ,
false,0,0.0,0.0, ,true,59,24.651064,195.0902, ,false,0,0.0,0.0, ,false,0,0.0,0.0, ,true,62,382.334504,15231.2308, ,
false,0,0.0,0.0, ,true,60,25.738736,223.4961, ,false,0,0.0,0.0, ,false,0,0.0,0.0, ,true,62,242.718688,23633.6077, ,
false,0,0.0,0.0, ,true,37,25.928688,224.8946, ,false,0,0.0,0.0, ,false,0,0.0,0.0, ,true,38,377.50832,20840.0632, ,
false,0,0.0,0.0, ,true,38,26.65848,201.7346, ,false,0,0.0,0.0, ,false,0,0.0,0.0, ,true,39,349.324376,18625.9751, ,
false,0,0.0,0.0, ,true,39,27.252256,225.7804, ,false,0,0.0,0.0, ,false,0,0.0,0.0, ,true,38,406.167544,19714.2219, ,
false,0,0.0,0.0, ,true,39,25.641176,190.5586, ,false,0,0.0,0.0, ,false,0,0.0,0.0, ,true,40,465.427984,18311.497, ,
false,0,0.0,0.0, ,true,39,25.351272,212.9236, ,false,0,0.0,0.0, ,false,0,0.0,0.0, ,true,40,457.364752,19348.9193, ,
false,0,0.0,0.0, ,true,37,25.482624,201.9481, ,false,0,0.0,0.0, ,false,0,0.0,0.0, ,true,39,383.3586,17352.426, ,
