Brute Force (Greedy Optimised),,,,,,
Valid?, Score, RAM (MB), Time (ms), #Individuals, ,
true,57,78.266832,1298.8951,4, ,
true,31,43.512448,1282.1847,5, ,
true,56,56.095488,1079.2895,6, ,
true,30,52.933656,870.6482,7, ,
true,31,52.952432,1069.6097,8, ,
true,56,52.950176,1104.1533,9, ,
true,37,52.950352,1076.5096,10, ,
true,51,52.951104,1161.3409,11, ,
true,56,52.955752,1187.4725,12, ,
true,61,58.200512,1158.4833,13, ,
true,38,52.947,1129.7068,14, ,
true,36,43.520456,1353.0568,15, ,
true,30,43.520792,1260.8665,16, ,
true,52,55.053424,1125.9196,17, ,
true,57,52.964624,1403.0237,18, ,
true,53,52.956832,1426.552,19, ,
true,53,43.51724,1322.0636,20, ,
true,58,52.95692,1354.2609,21, ,
true,54,43.524864,1509.467,22, ,
true,43,43.524448,1811.3909,23, ,
true,44,43.522168,1738.3827,24, ,
true,48,43.524912,1963.2319,25, ,
true,57,43.516136,2048.3932,26, ,
true,58,43.528416,1895.747,27, ,
true,58,43.516512,1734.4242,28, ,
true,71,43.534208,1798.7391,29, ,
true,59,43.526992,1564.4581,30, ,
true,56,43.530704,1575.8944,31, ,
true,48,43.529208,1863.9788,32, ,
true,57,43.531416,2057.6484,33, ,
true,47,43.532936,1954.7348,34, ,
true,46,43.52716,1699.7616,35, ,
true,45,43.534304,2311.2073,36, ,
true,43,43.531936,1821.6625,37, ,
true,62,43.532512,2364.7813,38, ,
true,41,43.53436,2063.8675,39, ,
true,55,43.531984,2220.8143,40, ,
true,63,43.537384,2276.1945,41, ,
true,61,43.527216,1920.3048,42, ,
true,43,43.535584,1993.5512,43, ,
true,64,43.533408,2640.2367,44, ,
true,48,43.53772,2589.3634,45, ,
true,54,43.53788,2086.7197,46, ,
true,51,43.53412,2114.8168,47, ,
true,56,43.523696,2768.4759,48, ,
true,62,43.529912,2222.1411,49, ,
true,57,43.538888,2419.1247,50, ,
true,48,43.527464,2644.4843,51, ,
true,45,43.539032,1913.3371,52, ,
true,47,43.540768,2922.9314,53, ,
true,39,43.540264,2022.7597,54, ,
true,59,43.540752,2373.3076,55, ,
true,45,43.531576,3085.5214,56, ,
true,43,43.517608,2880.0938,57, ,
true,53,43.525408,3031.804,58, ,
true,42,43.532664,2097.7796,59, ,
true,56,43.538872,2550.4749,60, ,
true,50,43.527584,3461.5615,61, ,
true,57,43.538376,2342.4536,62, ,
true,54,43.543,3546.6828,63, ,
true,51,43.530232,2842.7876,64, ,
true,54,43.542576,2594.4517,65, ,
true,62,43.555632,3601.4165,66, ,
true,55,43.538136,2470.8078,67, ,
true,62,43.539496,2509.6148,68, ,
true,53,43.52872,2706.0031,69, ,
true,43,43.544032,3214.7244,70, ,
true,54,43.54372,2838.3208,71, ,
true,45,43.547552,2253.1865,72, ,
true,45,43.547936,3005.8667,73, ,
true,50,43.532648,4346.5058,74, ,
true,43,43.548616,3760.3621,75, ,
true,42,43.547168,2526.8978,76, ,
true,55,43.55456,2618.4696,77, ,
true,51,43.547184,2093.1783,78, ,
true,56,43.528656,1848.833,79, ,
true,49,43.544848,2954.2183,80, ,
true,62,43.544792,3316.4189,81, ,
true,43,43.548808,3383.4922,82, ,
true,64,43.542496,2579.3654,83, ,
true,53,43.546048,3299.6202,84, ,
true,42,43.535936,2297.1887,85, ,
true,40,43.535664,3050.513,86, ,
true,43,43.551528,2475.9064,87, ,
true,43,43.547152,3276.7754,88, ,
true,64,43.538072,3041.1722,89, ,
true,46,43.547584,3540.3761,90, ,
true,52,43.55196,2798.0398,91, ,
true,45,43.547576,2058.9836,92, ,
true,57,43.5422,2713.5086,93, ,
true,62,43.536528,1887.2204,94, ,
true,41,43.557048,4290.2975,95, ,
true,59,43.55064,4685.5115,96, ,
true,57,7.80484,3567.7288,97, ,
true,48,43.53396,2889.0495,98, ,
true,59,43.556912,2878.0865,99, ,
true,49,43.550104,4221.6531,100, ,


The DEFAULT parameters of the random test data: Days:10  Hours:8  Rooms:10  Sessions:100  Individuals:100 (Ignore for the specified parameter).
