Brute Force (Greedy Optimised),,,,,,
Valid?, Score, RAM (MB), Time (ms), #Sessions, ,
true,55,4.699712,6.0642,1, ,
true,32,2.248544,0.2484,1, ,
true,42,2.142504,0.2427,1, ,
true,55,2.142224,0.2216,1, ,
true,52,2.205048,1.0011,2, ,
true,51,3.086936,19.3963,2, ,
true,58,2.962608,4.0036,2, ,
true,67,2.900024,4.7249,2, ,
true,52,3.258504,8.3311,3, ,
true,68,2.619536,2.9456,3, ,
true,67,3.18156,4.147,3, ,
true,47,3.559808,10.5845,3, ,
true,55,3.5602,10.2521,4, ,
true,71,3.903272,11.5007,4, ,
true,71,2.222152,1.5176,4, ,
true,65,3.782424,10.3515,4, ,
true,54,4.556136,18.8894,5, ,
true,62,2.555832,3.5671,5, ,
true,56,4.418832,14.5445,5, ,
true,68,3.413616,8.8214,5, ,
true,68,3.527904,9.6934,6, ,
true,71,3.61144,10.4884,6, ,
true,59,5.107208,11.8133,6, ,
true,55,3.18376,4.2071,6, ,
true,68,3.307496,4.9372,7, ,
true,71,3.741112,3.9007,7, ,
true,70,3.480192,4.7656,7, ,
true,69,4.815736,6.0995,7, ,
true,65,3.5482,6.335,8, ,
true,66,3.759192,6.5556,8, ,
true,64,3.051824,4.9015,8, ,
true,54,5.22944,15.261,8, ,
true,59,3.479248,3.3132,9, ,
true,65,3.962424,10.1143,9, ,
true,62,3.96228,5.66,9, ,
true,73,3.41048,2.7533,9, ,
true,59,4.804192,6.1315,10, ,
true,53,5.51008,11.0581,10, ,
true,73,4.029224,7.3318,10, ,
true,57,4.166944,4.9323,10, ,
true,69,4.665032,6.0565,11, ,
true,64,5.208208,11.8467,11, ,
true,61,3.79572,4.0822,11, ,
true,67,6.280024,12.4747,11, ,
true,64,5.231664,8.4969,12, ,
true,69,3.430504,14.7747,12, ,
true,67,5.231664,15.005,12, ,
true,67,5.830944,10.0675,12, ,
true,61,5.814032,10.7711,13, ,
true,61,6.278552,11.3561,13, ,
true,63,3.526856,6.3575,13, ,
true,65,3.526936,3.511,13, ,
true,70,5.429536,8.2904,14, ,
true,59,3.962976,6.5628,14, ,
true,59,3.9632,7.4649,14, ,
true,71,3.963264,4.7895,14, ,
true,67,6.073432,16.5635,15, ,
true,58,6.833992,15.5439,15, ,
true,64,4.610928,9.9817,15, ,
true,62,5.659224,10.4459,15, ,
true,60,7.544352,16.4482,16, ,
true,63,4.606504,9.1928,16, ,
true,65,5.279512,11.0851,16, ,
true,64,5.946088,10.5485,16, ,
true,67,6.985368,11.4418,17, ,
true,65,5.243144,6.7156,17, ,
true,64,5.418416,8.1996,17, ,
true,64,4.565136,4.8274,17, ,
true,60,5.9382,13.8446,18, ,
true,70,5.233304,11.7963,18, ,
true,60,5.40896,10.4337,18, ,
true,62,6.806064,17.8954,18, ,
true,68,4.795032,11.2213,19, ,
true,63,5.529016,9.1989,19, ,
true,62,5.327088,9.4517,19, ,
true,65,5.24208,10.3591,19, ,
true,69,6.89344,15.3158,20, ,
true,68,4.536824,8.7831,20, ,
true,65,7.76228,28.6796,20, ,
true,71,5.760592,15.7183,20, ,
true,68,4.883808,11.5957,21, ,
true,61,5.122344,20.8801,21, ,
true,63,7.762832,30.1353,21, ,
true,68,6.1244,18.1113,21, ,
true,67,5.07028,14.5709,22, ,
true,67,6.626816,19.9945,22, ,
true,61,6.499048,20.3254,22, ,
true,65,5.090312,9.5652,22, ,
true,66,6.484608,17.9236,23, ,
false,-1,6.410408,22.9051,23, ,
true,59,7.278656,20.6917,23, ,
true,73,7.659392,15.8532,23, ,
true,62,4.247112,5.2702,24, ,
true,62,6.3444,13.4482,24, ,
true,69,7.576088,30.5294,24, ,
true,59,5.298584,14.8112,24, ,
true,61,6.907336,16.0593,25, ,
true,68,5.852592,10.9575,25, ,
true,65,4.885184,6.5605,25, ,
true,61,6.512768,11.7216,25, ,
true,64,5.243968,8.3593,26, ,
true,67,7.765048,20.7365,26, ,
true,64,4.99964,7.547,26, ,
false,-1,6.038664,15.2825,26, ,
true,67,4.564312,10.2588,27, ,
true,60,5.34604,8.2788,27, ,
true,63,5.942984,12.822,27, ,
true,63,4.61944,11.3341,27, ,
true,73,5.593936,10.1595,28, ,
true,69,6.81136,16.8874,28, ,
true,69,4.978536,7.5222,28, ,
true,70,6.189088,10.7881,28, ,
true,61,5.49924,8.6852,29, ,
true,66,6.9934,13.2065,29, ,
true,64,7.765336,17.0741,29, ,
true,67,6.622608,11.3573,29, ,
true,60,7.765408,29.8244,30, ,
true,59,6.819064,12.9406,30, ,
true,64,4.905848,10.7007,30, ,
true,62,5.41828,8.9505,30, ,


The DEFAULT parameters of the random test data: Days:5  Hours:8  Rooms:5  Sessions:12  Individuals:25 (Ignore for the specified parameter).
