CSP Algorithm,,,,,,Times (ms),,,,
Valid?, Score, RAM (MB), Time (ms), #Individuals, , Start, Modelled, Solved, Decoded,
false,-1,25.132352,598.5697,4, ,71.9175,632.2209,662.2646,662.8235,
true,32,34.53612,3476.9508,5, ,677.0919,857.7881,4149.5476,4153.0773,
true,57,22.55296,2416.2633,6, ,4177.8279,4246.8407,6593.3778,6593.9326,
true,51,24.522088,2803.2173,7, ,6609.9767,6658.8987,9412.6388,9413.0824,
true,68,19.360936,1768.3481,8, ,9426.5196,9484.9588,11194.4897,11194.7456,
true,60,23.469904,2141.8925,9, ,11205.7355,11248.0738,13347.3781,13347.5459,
true,39,24.897736,2361.8588,10, ,13357.7113,13391.4019,15719.2274,15719.4668,
true,59,23.824856,2539.5654,11, ,15729.3055,15797.9716,18268.6233,18268.7641,
true,32,24.159272,2597.6238,12, ,18277.1963,18328.6185,20874.4755,20874.6946,
false,-1,16.261344,50.243,13, ,20882.9114,20930.2684,20932.5504,20933.0509,
false,-1,33.538872,64.1581,14, ,20942.1005,21004.1308,21006.0028,21006.1252,
false,-1,17.455608,67.296,15, ,21015.9231,21081.7822,21083.0116,21083.1288,
false,-1,29.638752,75.6008,16, ,21091.4126,21155.3783,21166.7823,21166.9101,
false,-1,29.12676,68.1631,17, ,21178.9114,21243.4833,21246.7167,21246.9463,
true,61,36.31128,2305.5569,18, ,21258.406,21325.9717,23563.6139,23563.803,
true,64,25.406792,2517.1935,19, ,23572.6421,23631.3431,26089.555,26089.7231,
true,46,29.98296,2629.0613,20, ,26098.5365,26162.5488,28727.3316,28727.4842,
false,-1,19.40096,57.4482,21, ,28736.6999,28792.6187,28793.975,28794.065,
true,59,26.439008,2178.9357,22, ,28802.3223,28850.8611,30980.9631,30981.138,
true,35,39.455088,2386.9124,23, ,30990.0456,31035.5095,33376.6534,33376.8397,
true,59,28.606528,2262.3653,24, ,33385.7464,33439.7195,35647.7638,35647.9757,
true,67,26.91652,2513.339,25, ,35656.0981,35717.5263,38169.0014,38169.2971,
false,-1,28.493808,58.5933,26, ,38178.0129,38233.8122,38236.4744,38236.555,
false,-1,21.781728,58.6182,27, ,38245.6893,38300.4554,38304.0275,38304.1506,
true,59,30.030416,2118.3023,28, ,38313.9404,38376.916,40431.7359,40432.0351,
false,-1,21.93912,61.9564,29, ,40440.8928,40501.7897,40502.7154,40502.7693,
true,66,36.003352,2525.1532,30, ,40512.0116,40582.0614,43036.7034,43036.9002,
true,60,28.579712,2491.0218,31, ,43046.8475,43102.2888,45537.5502,45537.7356,
true,65,48.787456,2633.6443,32, ,45547.3507,45595.1697,48180.5444,48180.7336,
true,61,28.3958,2281.5967,33, ,48189.7211,48244.3211,50470.9775,50471.2348,
true,38,29.043704,2846.4175,34, ,50479.7813,50547.3578,53325.5994,53326.0678,
true,38,28.138176,2440.8713,35, ,53334.6624,53391.4541,55775.2275,55775.4074,
false,-1,27.994696,53.0565,36, ,55783.6181,55835.6354,55836.5619,55836.617,
true,64,30.665752,1976.5539,37, ,55843.6371,55898.2854,57819.8031,57820.0101,
true,36,29.21556,3147.6733,38, ,57828.5592,57873.5432,60975.8712,60976.1101,
false,-1,24.455136,59.1379,39, ,60987.6207,61045.6078,61046.524,61046.5837,
false,-1,21.922048,64.3067,40, ,61054.1752,61117.2282,61118.2428,61118.3013,
false,-1,23.74888,55.7432,41, ,61126.1841,61180.0408,61181.7914,61181.8696,
false,-1,26.73128,73.1187,42, ,61191.3324,61262.0839,61264.2302,61264.2907,
false,-1,24.594176,70.7337,43, ,61277.7258,61346.9338,61348.2215,61348.2933,
true,34,37.086248,2764.9203,44, ,61357.6895,61437.1846,64122.1816,64122.3383,
false,-1,24.653864,47.3947,45, ,64129.8951,64175.8278,64177.1036,64177.2062,
false,-1,25.251576,52.2985,46, ,64184.5248,64235.4769,64236.6812,64236.7185,
true,38,33.270952,1904.4011,47, ,64244.4956,64293.3024,66148.5677,66148.7817,
false,-1,23.617832,40.2998,48, ,66156.332,66195.6616,66196.5306,66196.5656,
true,38,32.662104,2282.2439,49, ,66203.6789,66257.8928,68485.6085,68485.7809,
true,60,32.8986,1662.016,50, ,68493.7447,68537.5,70155.499,70155.6905,
false,-1,33.27992,45.9154,51, ,70164.3899,70209.2981,70210.1869,70210.2138,
true,34,31.285392,1886.4687,52, ,70216.9197,70264.8353,72103.1713,72103.3047,
false,-1,26.424648,48.8965,53, ,72111.1013,72159.0677,72159.8821,72159.9138,

,,,,,,,68.587488,1363.504228,0.252822,


The DEFAULT parameters of the random test data: Days:50  Hours:8  Rooms:50  Sessions:45  Individuals:25 (Ignore for the specified parameter).
