,CSP Algorithm,,,,,,,,Times (ms),,,
 #Individuals,Valid?, Score, Score, RAM (MB), RAM (MB), Time (ms), Time (ms), , Start, Modelled, Solved, Decoded
4,TRUE,-1,61,26.2144,26.2144,502.531601,3234.5246, ,40.1608,501.951,3268.5428,3270.1026
5,FALSE,59,-1,24.553496,17.796664,3674.3343,77.5431, ,3300.3347,3376.693,3377.611,3377.6731
6,TRUE,33,64,24.616792,24.107912,3067.581801,3309.3592, ,3388.5337,3445.0019,6696.5352,6697.6575
7,FALSE,-1,-1,17.410568,17.437336,47.150099,54.5823, ,6726.745,6779.8806,6781.0848,6781.153
8,FALSE,34,-1,29.06716,18.635072,3179.359201,40.4098, ,6788.6169,6827.9501,6828.8769,6828.9803
9,TRUE,-1,42,18.157344,39.232936,52.6569,2619.1452, ,6839.3855,6889.2445,9458.1241,9458.3552
10,FALSE,36,-1,37.451264,16.25048,2284.4694,44.7069, ,9481.7712,9525.3697,9526.2601,9526.334
11,FALSE,41,-1,31.472496,31.583976,2646.259001,44.1824, ,9533.8917,9577.1103,9577.9618,9578.0212
12,TRUE,40,58,24.580496,27.376584,2758.769699,2632.6829, ,9586.8795,9636.5633,12219.0995,12219.3304
13,TRUE,40,58,28.438248,25.0626,2321.3106,2795.0224, ,12229.0922,12284.3085,15023.6376,15023.9443
14,TRUE,43,60,44.960416,25.741576,3235.0297,3003.2455, ,15034.3719,15103.4704,18037.2258,18037.482
15,TRUE,60,37,25.5188,25.91636,2865.646099,2721.5414, ,18048.3116,18116.0255,20769.4824,20769.744
16,FALSE,-1,-1,19.827336,17.857504,60.1027,85.0008, ,20779.7767,20840.4724,20842.2798,20864.6776
17,FALSE,35,-1,31.241712,20.226928,2683.309,55.9039, ,20873.9128,20927.9771,20929.604,20929.7182
18,TRUE,-1,36,27.127312,28.815248,68.827301,3168.8831, ,20939.7195,21016.4941,24108.0292,24108.4698
19,TRUE,61,62,29.104624,26.9366,3027.2476,2695.9831, ,24116.99,24184.7339,26812.5489,26812.8188
20,TRUE,40,63,26.048792,28.915112,2916.1442,2086.9858, ,26822.1876,26863.7884,28908.8172,28909.038
21,FALSE,-1,-1,20.696992,25.882624,55.4535,56.2553, ,28918.2461,28973.4675,28974.3231,28974.4063
22,FALSE,-1,-1,26.132216,18.768424,65.1322,47.8535, ,28983.7102,29030.3027,29031.287,29031.3463
23,TRUE,40,60,25.905448,33.864552,2947.8154,3002.8176, ,29039.2148,29094.5977,32041.5782,32041.9156
24,FALSE,39,-1,27.051504,18.785416,3151.7292,49.0185, ,32050.1303,32097.845,32098.9684,32099.0365
25,TRUE,-1,35,21.914424,28.66012,70.1983,2809.6299, ,32107.8535,32154.7226,34916.847,34917.269
26,FALSE,60,-1,26.905984,20.184552,3120.694999,61.6455, ,34926.4425,34986.4401,34987.9018,34988.0209
27,FALSE,59,-1,28.231608,22.775264,3163.431899,50.5664, ,34998.4494,35047.4761,35048.7831,35048.8672
28,FALSE,-1,-1,21.588408,23.557992,57.4687,87.2046, ,35058.9107,35143.8671,35145.8117,35146.013
29,FALSE,-1,-1,20.618696,29.423424,48.8574,72.8763, ,35160.5302,35232.2808,35233.2173,35233.3093
30,FALSE,-1,-1,21.411272,34.982616,41.824199,51.0598, ,35245.1104,35295.1672,35296.0345,35296.0942
31,TRUE,37,61,30.006992,31.086568,2548.783,3640.762, ,35305.2037,35375.7255,38945.3863,38945.7992
32,FALSE,61,-1,28.611288,20.861088,2542.7613,54.0703, ,38955.962,39008.8877,39009.8299,39009.9096
33,FALSE,36,-1,26.57432,32.352592,1996.7522,62.0071, ,39019.3092,39079.9053,39081.1159,39081.1908
34,FALSE,-1,-1,23.976416,36.410672,62.9041,46.1897, ,39090.3562,39135.5343,39136.2577,39136.3023
35,FALSE,36,-1,28.58824,31.976568,3037.1919,71.2604, ,39143.8698,39212.3204,39214.9449,39215.0635
36,TRUE,59,58,29.574008,33.516248,3207.1117,3082.5695, ,39227.5571,39294.2845,42309.6293,42309.8776
37,TRUE,-1,39,25.490336,29.697432,64.046199,2659.7177, ,42318.4696,42366.156,44977.7064,44977.9629
38,FALSE,40,-1,29.798424,22.160248,1953.173601,59.5483, ,44985.8517,45044.0639,45045.1713,45045.2262
39,FALSE,-1,-1,24.933504,23.177464,48.1914,61.3599, ,45052.0198,45112.0864,45113.243,45113.3012
