CSP Algorithm,,,,,,Times (ms),,,,
Valid?, Score, RAM (MB), Time (ms), #Sessions, , Start, Modelled, Solved, Decoded,
true,39,12.561616,274.7757,1, ,37.6935,291.8206,306.2357,307.782,
true,63,3.101088,41.7362,2, ,324.4474,361.9788,365.9197,366.0589,
true,66,2.849312,14.575,3, ,379.5405,385.8001,393.7211,393.9594,
false,-1,2.911448,11.9748,4, ,403.4806,414.4029,415.3316,415.4228,
true,55,2.972632,33.5785,5, ,425.8529,436.3937,459.1693,459.3278,
false,-1,3.165744,13.303,6, ,470.5064,483.2095,483.7109,483.7688,
true,50,3.166368,27.3235,7, ,491.1274,501.9908,518.1491,518.3428,
true,47,3.294272,27.9354,8, ,526.937,540.4466,554.6307,554.7856,
false,-1,3.294912,15.4403,9, ,566.6205,579.5848,581.7749,582.0148,
false,-1,3.227408,12.6323,10, ,592.0932,603.4997,604.5024,604.6626,
false,-1,3.298896,14.2946,11, ,616.9473,629.315,630.8225,631.1792,
true,54,3.680496,33.482,12, ,641.6068,651.6966,674.8586,675.003,
true,55,3.413296,29.5607,13, ,683.6229,689.3356,701.7939,713.0828,
false,-1,3.516192,9.6973,14, ,723.1349,731.6397,732.6538,732.7794,
false,-1,3.67776,8.5647,15, ,747.9796,754.1475,756.3011,756.4956,
true,47,3.83948,56.5395,16, ,766.7061,787.2444,822.7554,823.0511,
true,49,4.495792,88.5597,17, ,838.9996,846.952,927.1074,927.3984,
false,-1,4.149752,8.2556,18, ,944.0386,951.2302,952.1068,952.233,
false,-1,4.233656,9.2679,19, ,968.5773,976.2315,977.5506,977.8121,
false,-1,4.43968,11.741,20, ,995.7578,1005.896,1007.2628,1007.4496,
false,-1,4.487904,10.302,21, ,1026.3661,1035.4734,1036.5026,1036.6309,
false,-1,4.48204,7.8823,22, ,1046.9761,1053.6466,1054.7033,1054.8163,
false,-1,4.415304,7.7187,23, ,1065.8131,1072.3747,1073.3326,1073.489,
false,-1,4.554752,9.2434,24, ,1083.9742,1091.7471,1093.0496,1093.1732,
false,-1,4.679128,11.1468,25, ,1106.4587,1115.7134,1117.4124,1117.5161,

,,,,,,,20.660508,9.983504,0.675056,


The DEFAULT parameters of the random test data: Days:5  Hours:8  Rooms:5  Sessions:12  Individuals:25 (Ignore for the specified parameter).
