CSP Algorithm,,,,,,Times (ms),,,,
Valid?, Score, RAM (MB), Time (ms), #Sessions, , Start, Modelled, Solved, Decoded,
true,35,13.592456,350.3398,1, ,43.209501,356.590901,386.041601,388.8896,
true,55,33.521352,168.861401,2, ,425.264601,524.185601,593.167701,593.946601,
true,38,35.852424,99.8064,3, ,620.8659,666.9918,717.9576,720.330201,
true,39,37.748752,229.973,4, ,751.759601,815.4702,980.960101,981.5201,
true,62,38.054232,308.774101,5, ,997.894701,1059.192201,1305.235101,1306.197201,
true,62,50.887104,485.2616,6, ,1330.435801,1403.061901,1814.814701,1815.435101,
true,37,47.876384,498.1747,7, ,1841.358401,1918.0226,2339.0269,2339.374801,
true,58,37.076592,360.7687,8, ,2359.374401,2409.843801,2719.735301,2719.985601,
true,40,64.113856,737.9564,9, ,2733.701601,2782.763201,3471.109,3471.460401,
true,38,50.56464,634.4165,10, ,3488.555101,3543.869001,4122.362001,4122.728401,
true,38,41.826456,367.661699,11, ,4137.0687,4187.165601,4504.2892,4504.582401,
true,64,62.497048,766.9418,12, ,4517.978,4577.219601,5284.601801,5284.8155,
true,38,47.447968,549.020799,13, ,5299.188601,5337.946501,5847.776601,5848.099001,
true,37,64.96,902.718601,14, ,5859.9,5918.195801,6762.327301,6762.527001,
true,43,70.72496,1031.0938,15, ,6776.272401,6823.352801,7806.746201,7807.007901,
true,63,64.682904,798.3498,16, ,7821.517001,7870.599001,8619.544001,8619.768101,
true,41,65.912184,1130.2933,17, ,8632.522701,8673.242801,9762.426701,9762.684901,
true,40,60.979264,3229.787601,18, ,9787.242101,9860.202301,13016.551701,13016.779401,
true,61,72.518264,1201.3119,19, ,13030.673501,13085.288401,14231.645401,14231.875101,
true,39,75.3254,1015.349301,20, ,14245.344801,14296.561401,15260.322301,15260.576701,
true,41,68.25596,1078.884,21, ,15274.5443,15320.805201,16352.9336,16353.301301,
true,37,93.81276,1510.828,22, ,16368.075901,16426.7547,17878.4916,17878.777401,
true,39,71.183664,1237.5666,23, ,17895.2587,17949.645301,19132.257201,19132.600901,
true,63,64.522784,1459.9204,24, ,19150.342501,19228.748801,20609.5574,20610.050501,
true,35,82.019384,1727.315799,25, ,20626.126101,20691.678401,22352.9507,22353.3234,
true,60,82.267616,1712.1338,26, ,22371.570301,22442.4588,24083.108,24083.5253,
true,59,79.340992,1939.1358,27, ,24101.411801,24167.354801,26040.083001,26040.321001,
true,38,94.207032,2748.885099,28, ,26059.264301,26214.1533,28807.694501,28807.925301,
true,60,116.949984,2971.277,29, ,28830.3056,28927.116101,31801.074501,31801.398701,
true,37,102.544752,2549.5996,30, ,31821.928701,31922.933101,34371.125,34371.371201,
true,37,101.2988,2736.397601,31, ,34389.169201,34456.586201,37125.137201,37125.2997,
true,38,88.02648,2676.6292,32, ,37141.239501,37222.244101,39817.413601,39817.660201,
true,35,90.311784,2020.2318,33, ,39831.2482,39885.158301,41851.1345,41851.362501,
true,36,81.149368,2506.0351,34, ,41867.3509,41939.416001,44373.0607,44373.221201,
true,62,105.094328,2661.9869,35, ,44385.5033,44460.636801,47047.220901,47047.389601,
true,60,95.7326,3142.2987,36, ,47062.252901,47136.656501,50203.932601,50204.215301,
true,59,91.37348,2823.6765,37, ,50218.865601,50295.996201,53042.241801,53042.442501,
true,60,93.985784,2995.2981,38, ,53056.0927,53124.858001,56051.041701,56051.258501,
true,61,80.670152,3098.640701,39, ,56067.118401,56139.226501,59165.264801,59165.500601,
true,63,100.574464,5879.7386,40, ,59182.754101,59260.352601,65062.0836,65062.3284,
true,35,150.373872,3600.703399,41, ,65081.752301,65179.281101,68682.039901,68682.249501,
true,61,105.100152,2480.6745,42, ,68700.831401,68777.915301,71181.128601,71181.296801,
true,60,94.495296,4970.4705,43, ,71196.206901,71302.497701,76166.311201,76166.544801,
true,36,123.619064,3132.6774,44, ,76180.241701,76241.9411,79312.484701,79312.654801,
true,37,136.1928,3479.1604,45, ,79328.932801,79396.8463,82807.814201,82807.9788,
true,59,114.911664,2432.2929,46, ,82823.659901,82881.279901,85255.7476,85255.898001,
true,60,108.957872,3333.7792,47, ,85271.061301,85334.377801,88604.6468,88604.786601,
true,39,116.763344,5019.6069,48, ,88618.155801,88689.234401,93637.446401,93637.679701,
true,60,97.6446,4684.101899,49, ,93654.148501,93720.923301,98338.024501,98338.197501,
true,35,104.38328,3685.8844,50, ,98352.397201,98435.773801,102037.9713,102038.199301,
true,38,108.069568,5765.269799,51, ,102052.3031,102148.521301,107817.3122,107817.517501,
false,-1,145.07316,10366.523501,52, ,107832.175801,107906.381801,118198.6058,118198.664401,
true,62,97.02024,4086.7118,53, ,118214.602901,118284.961301,122301.081801,122301.235501,
false,-1,150.941776,10325.265101,54, ,122314.532401,122388.396501,132639.711601,132639.762201,
false,-1,116.027464,10280.9923,55, ,132658.4743,132738.370701,142939.3587,142939.421001,
false,-1,130.849808,10356.713101,56, ,142952.625401,143042.575701,153309.208501,153309.292101,
false,-1,124.028552,10413.4526,57, ,153323.745201,153415.7106,163737.117701,163737.165901,
false,-1,171.718144,10322.131201,58, ,163751.007301,163836.532301,174073.017701,174073.098001,
false,-1,153.168616,10343.7002,59, ,174088.464701,174181.0319,184432.0441,184432.115701,
false,-1,148.306144,10353.8773,60, ,184448.174401,184545.158001,194801.941801,194802.000601,
false,-1,134.2664,10370.672,61, ,194818.700201,194910.489801,205189.2577,205189.308001,
false,-1,152.686784,10299.571101,62, ,205205.386101,205287.1459,215504.842501,215504.9187,
false,-1,146.895552,10390.9721,63, ,215520.476001,215633.743301,225911.310401,225911.394701,
false,-1,178.18204,10452.470401,64, ,225929.773701,226068.9431,236382.065501,236382.144801,
false,-1,149.394576,10372.3397,65, ,236397.946001,236494.1221,246770.012001,246770.234201,
false,-1,139.056512,10531.138799,66, ,246811.183701,247009.680901,257342.117001,257342.2085,
false,-1,137.832712,10405.324201,67, ,257360.4361,257481.7705,267765.602901,267765.6858,
false,-1,136.394664,10379.9368,68, ,267782.082501,267873.548901,278161.893001,278161.980101,
false,-1,178.202592,10438.1039,69, ,278178.366501,278271.139201,288616.364001,288616.412701,
false,-1,147.282656,10344.2547,70, ,288636.084101,288720.9719,298980.212401,298980.289201,
false,-1,173.809304,10385.907301,71, ,298995.717701,299094.809801,309381.551801,309381.610601,
false,-1,161.728712,10420.7388,72, ,309400.792001,309518.909501,319821.466901,319821.514401,
false,-1,163.44888,10456.878599,73, ,319837.802401,319929.909501,330294.522501,330294.651001,
false,-1,166.008264,10414.3953,74, ,330312.282001,330419.036901,340726.584901,340726.6472,
false,-1,139.405304,10586.0997,75, ,340745.716801,340874.768801,351331.736501,351331.7867,
false,-1,153.479584,10465.879,76, ,351348.426101,351453.197701,361814.173401,361814.287201,
false,-1,198.384528,10499.6847,77, ,361830.876001,361951.622201,372330.494601,372330.542601,
false,-1,148.150712,10445.297601,78, ,372351.627401,372446.3871,382796.8158,382796.8953,
false,-1,174.274424,10446.787701,79, ,382813.335201,382926.1578,393260.047601,393260.103801,
false,-1,174.851248,10463.6371,80, ,393279.008101,393389.735901,403742.5754,403742.627401,
false,-1,179.62296,10459.8971,81, ,403762.589101,403877.707801,414222.369301,414222.453601,
false,-1,158.058272,10505.2031,82, ,414241.693001,414359.302401,424746.8113,424746.864301,
false,-1,148.650416,10468.967,83, ,424765.556501,424876.761201,435234.438901,435234.505501,
false,-1,195.372696,10475.3579,84, ,435251.053101,435354.424301,445726.313301,445726.3909,
false,-1,198.964032,10590.7949,85, ,445746.591801,445891.0451,456337.302501,456337.3682,
false,-1,132.621544,10657.927901,86, ,456362.0364,456526.769401,467019.898001,467019.949001,
false,-1,140.807632,10433.097901,87, ,467038.171701,467142.4976,477471.168101,477471.252801,
false,-1,175.140712,10447.315,88, ,477487.717701,477593.9666,487934.960701,487935.008901,
false,-1,123.829728,10606.988,89, ,487952.932101,488087.102201,498559.830901,498559.903901,
false,-1,153.196496,10543.0101,90, ,498578.755601,498702.706901,509121.685601,509121.748301,
false,-1,167.305832,10537.8758,91, ,509142.412201,509272.596001,519680.176001,519680.269201,
false,-1,211.475328,10603.2753,92, ,519701.7699,519850.188001,530304.919501,530305.025201,
false,-1,182.796608,10517.5429,93, ,530326.405201,530451.1551,540843.8637,540843.8991,
false,-1,159.71904,10644.6895,94, ,540863.536401,540983.557801,551508.113901,551508.207401,
false,-1,207.358688,10555.2319,95, ,551531.3259,551655.632401,562086.470001,562086.521001,
false,-1,207.725192,10583.780601,96, ,562108.3203,562248.256401,572692.022401,572692.083701,
false,-1,100.577976,10619.059499,97, ,572712.413301,572834.527401,583331.429701,583331.457401,
false,-1,164.268528,10533.9918,98, ,583345.435701,583476.7561,593879.373201,593879.404501,
false,-1,138.015632,10573.4172,99, ,593897.9714,594010.948301,604471.322701,604471.352901,
false,-1,182.619312,10519.7353,100, ,604489.2718,604621.203501,615008.936301,615008.967,

,,,,,,,92.374297,6039.490647,0.229759,


The DEFAULT parameters of the random test data: Days:50  Hours:8  Rooms:50  Sessions:75  Individuals:75 (Ignore for the specified parameter(s)).
