Greedy Brute Force,,,,,Brute Force,,,,,Brute Force (Greedy Optimised),,,,,CSP Algorithm,,,,,CSP (Randomised Optimisation),,
Valid?,Score,RAM (MB),Time (ms),,Valid?,Score,RAM (MB),Time (ms),,Valid?,Score,RAM (MB),Time (ms),,Valid?,Score,RAM (MB),Time (ms),,Valid?,Score,RAM,Time (ms),,
false,0,0.0,0.0, ,false,0,0.0,0.0, ,false,0,0.0,0.0, ,true,63,82.882816,2431.1199, ,true,61,70.300544,2027.7358, ,
false,0,0.0,0.0, ,false,0,0.0,0.0, ,false,0,0.0,0.0, ,true,39,60.76192,1572.5399, ,true,41,82.155288,1680.477, ,
false,0,0.0,0.0, ,false,0,0.0,0.0, ,false,0,0.0,0.0, ,true,36,68.894808,1839.2509, ,true,38,113.525952,1970.9289, ,
false,0,0.0,0.0, ,false,0,0.0,0.0, ,false,0,0.0,0.0, ,true,59,52.665552,1244.0637, ,true,62,84.10064,1385.2532, ,
false,0,0.0,0.0, ,false,0,0.0,0.0, ,false,0,0.0,0.0, ,true,63,63.871408,1700.6433, ,true,66,99.033928,2289.1553, ,
false,0,0.0,0.0, ,false,0,0.0,0.0, ,false,0,0.0,0.0, ,true,59,65.360424,1664.5007, ,true,60,89.406272,1741.5637, ,
false,0,0.0,0.0, ,false,0,0.0,0.0, ,false,0,0.0,0.0, ,true,42,72.57428,1535.9918, ,true,42,93.157488,2090.3299, ,
false,0,0.0,0.0, ,false,0,0.0,0.0, ,false,0,0.0,0.0, ,true,59,62.627992,1703.3347, ,true,61,94.310248,1785.6042, ,
false,0,0.0,0.0, ,false,0,0.0,0.0, ,false,0,0.0,0.0, ,true,41,77.481768,1602.17, ,true,43,110.389248,2164.8674, ,
false,0,0.0,0.0, ,false,0,0.0,0.0, ,false,0,0.0,0.0, ,true,40,63.800216,1649.0538, ,true,42,124.782728,2035.8459, ,
false,0,0.0,0.0, ,false,0,0.0,0.0, ,false,0,0.0,0.0, ,true,37,55.398712,1793.2362, ,true,39,55.47132,2293.2303, ,
false,0,0.0,0.0, ,false,0,0.0,0.0, ,false,0,0.0,0.0, ,true,38,53.617704,1708.2458, ,true,40,90.098752,1672.3811, ,
false,0,0.0,0.0, ,false,0,0.0,0.0, ,false,0,0.0,0.0, ,true,68,79.417376,1884.8581, ,true,68,118.740744,1996.0178, ,
false,0,0.0,0.0, ,false,0,0.0,0.0, ,false,0,0.0,0.0, ,true,62,66.361384,1369.693, ,true,64,85.21336,1764.3622, ,
false,0,0.0,0.0, ,false,0,0.0,0.0, ,false,0,0.0,0.0, ,true,38,56.384832,2147.4439, ,true,40,112.703016,2232.2082, ,
false,0,0.0,0.0, ,false,0,0.0,0.0, ,false,0,0.0,0.0, ,true,38,61.782048,1510.5681, ,true,36,85.013296,1731.6417, ,
false,0,0.0,0.0, ,false,0,0.0,0.0, ,false,0,0.0,0.0, ,true,40,60.907752,1112.5237, ,true,39,104.788968,1433.6364, ,
false,0,0.0,0.0, ,false,0,0.0,0.0, ,false,0,0.0,0.0, ,true,41,56.275976,1647.5647, ,true,40,75.03484,1877.8044, ,
false,0,0.0,0.0, ,false,0,0.0,0.0, ,false,0,0.0,0.0, ,true,67,70.574616,2042.9143, ,true,66,110.754136,2340.5377, ,
false,0,0.0,0.0, ,false,0,0.0,0.0, ,false,0,0.0,0.0, ,true,66,62.489104,1745.9494, ,true,68,109.186368,2101.191, ,
false,0,0.0,0.0, ,false,0,0.0,0.0, ,false,0,0.0,0.0, ,true,63,66.536024,1376.4188, ,true,63,119.536912,2022.2798, ,
false,0,0.0,0.0, ,false,0,0.0,0.0, ,false,0,0.0,0.0, ,true,40,58.719856,1600.4649, ,true,41,76.962992,1904.9617, ,
false,0,0.0,0.0, ,false,0,0.0,0.0, ,false,0,0.0,0.0, ,true,39,54.096136,1224.628, ,true,41,106.522352,1744.9465, ,
false,0,0.0,0.0, ,false,0,0.0,0.0, ,false,0,0.0,0.0, ,true,37,56.306872,1495.9952, ,true,38,79.640472,1399.8902, ,
false,0,0.0,0.0, ,false,0,0.0,0.0, ,false,0,0.0,0.0, ,true,60,58.522992,1563.9154, ,true,61,87.20076,1484.5268, ,
false,0,0.0,0.0, ,false,0,0.0,0.0, ,false,0,0.0,0.0, ,true,40,57.228168,1310.3972, ,true,37,78.773936,1339.4495, ,
false,0,0.0,0.0, ,false,0,0.0,0.0, ,false,0,0.0,0.0, ,true,41,84.470736,1556.8009, ,true,42,93.058208,2137.6672, ,
false,0,0.0,0.0, ,false,0,0.0,0.0, ,false,0,0.0,0.0, ,true,40,69.784008,2340.0297, ,true,41,124.22,2484.4536, ,
false,0,0.0,0.0, ,false,0,0.0,0.0, ,false,0,0.0,0.0, ,true,38,72.890272,1542.627, ,true,38,104.490968,1606.3096, ,
false,0,0.0,0.0, ,false,0,0.0,0.0, ,false,0,0.0,0.0, ,true,36,55.842736,1712.5031, ,true,37,109.65192,1822.4898, ,
false,0,0.0,0.0, ,false,0,0.0,0.0, ,false,0,0.0,0.0, ,true,40,69.98664,1925.6137, ,true,42,112.492704,2055.9074, ,
false,0,0.0,0.0, ,false,0,0.0,0.0, ,false,0,0.0,0.0, ,true,38,66.912208,1221.4838, ,true,38,67.401104,1688.026, ,
false,0,0.0,0.0, ,false,0,0.0,0.0, ,false,0,0.0,0.0, ,true,39,64.720648,2156.9162, ,true,41,103.461896,2984.6718, ,
false,0,0.0,0.0, ,false,0,0.0,0.0, ,false,0,0.0,0.0, ,true,60,83.07336,2900.7453, ,true,63,78.68992,2275.6468, ,
false,0,0.0,0.0, ,false,0,0.0,0.0, ,false,0,0.0,0.0, ,true,44,80.98676,1661.1755, ,true,45,95.90268,1700.3935, ,
false,0,0.0,0.0, ,false,0,0.0,0.0, ,false,0,0.0,0.0, ,true,41,68.049528,1263.8742, ,true,41,87.718096,1335.2184, ,
false,0,0.0,0.0, ,false,0,0.0,0.0, ,false,0,0.0,0.0, ,true,45,69.75532,1550.4893, ,true,45,104.630608,2108.3519, ,
false,0,0.0,0.0, ,false,0,0.0,0.0, ,false,0,0.0,0.0, ,true,62,60.82188,1611.1984, ,true,63,107.59896,1884.6965, ,
false,0,0.0,0.0, ,false,0,0.0,0.0, ,false,0,0.0,0.0, ,true,41,66.126136,1215.9864, ,true,44,88.543392,1474.616, ,
false,0,0.0,0.0, ,false,0,0.0,0.0, ,false,0,0.0,0.0, ,true,59,66.222832,1423.8345, ,true,60,83.876552,1481.902, ,
false,0,0.0,0.0, ,false,0,0.0,0.0, ,false,0,0.0,0.0, ,true,40,85.076128,1984.4707, ,true,42,101.225848,1831.0291, ,
false,0,0.0,0.0, ,false,0,0.0,0.0, ,false,0,0.0,0.0, ,true,61,76.505904,2162.1144, ,true,62,117.62244,2496.6841, ,
false,0,0.0,0.0, ,false,0,0.0,0.0, ,false,0,0.0,0.0, ,true,39,55.635048,1709.9063, ,true,41,83.036152,1601.9989, ,
false,0,0.0,0.0, ,false,0,0.0,0.0, ,false,0,0.0,0.0, ,true,40,53.38812,1654.4874, ,true,41,95.050416,1907.7741, ,
false,0,0.0,0.0, ,false,0,0.0,0.0, ,false,0,0.0,0.0, ,true,38,67.661264,1514.046, ,true,38,101.637248,2043.6243, ,
false,0,0.0,0.0, ,false,0,0.0,0.0, ,false,0,0.0,0.0, ,true,65,58.41792,1571.3183, ,true,65,88.937904,1584.1666, ,
false,0,0.0,0.0, ,false,0,0.0,0.0, ,false,0,0.0,0.0, ,true,39,63.793632,1708.9545, ,true,40,97.45648,1915.9434, ,
false,0,0.0,0.0, ,false,0,0.0,0.0, ,false,0,0.0,0.0, ,true,61,59.741872,1560.083, ,true,64,107.077872,1780.6648, ,
false,0,0.0,0.0, ,false,0,0.0,0.0, ,false,0,0.0,0.0, ,true,60,66.774136,1654.0011, ,true,61,82.9648,1485.114, ,
false,0,0.0,0.0, ,false,0,0.0,0.0, ,false,0,0.0,0.0, ,true,40,74.458624,1656.6848, ,true,40,121.3868,1893.7375, ,
false,0,0.0,0.0, ,false,0,0.0,0.0, ,false,0,0.0,0.0, ,true,61,63.292984,1160.6072, ,true,62,87.307304,1403.0691, ,
