Greedy Brute Force,,,,,Brute Force,,,,,Brute Force (Greedy Optimised),,,,,CSP Algorithm,,,,,CSP (Randomised Optimisation),,,,
Valid?,Score,RAM (MB),Time (ms),,Valid?,Score,RAM (MB),Time (ms),,Valid?,Score,RAM (MB),Time (ms),,Valid?,Score,RAM (MB),Time (ms),,Valid?,Score,RAM,Time (ms),
FALSE,0,0,0, ,FALSE,0,0,0, ,FALSE,0,0,0, ,FALSE,-1,35.922432,1307.0339, ,FALSE,-1,42.82372,467.1904, 
FALSE,0,0,0, ,FALSE,0,0,0, ,FALSE,0,0,0, ,TRUE,62,45.465208,9008.0395, ,TRUE,62,47.246472,2418.271, 
FALSE,0,0,0, ,FALSE,0,0,0, ,FALSE,0,0,0, ,FALSE,-1,35.378944,113.5545, ,FALSE,-1,35.182776,125.6509, 
FALSE,0,0,0, ,FALSE,0,0,0, ,FALSE,0,0,0, ,TRUE,36,44.197768,3996.5543, ,TRUE,37,49.281224,1729.7066, 
FALSE,0,0,0, ,FALSE,0,0,0, ,FALSE,0,0,0, ,FALSE,-1,36.9766,95.4919, ,FALSE,-1,36.100848,96.3335, 
FALSE,0,0,0, ,FALSE,0,0,0, ,FALSE,0,0,0, ,TRUE,64,45.447112,3648.5273, ,TRUE,64,49.986424,1914.5168, 
FALSE,0,0,0, ,FALSE,0,0,0, ,FALSE,0,0,0, ,TRUE,63,42.998456,3669.219, ,TRUE,63,50.474848,1874.2032, 
FALSE,0,0,0, ,FALSE,0,0,0, ,FALSE,0,0,0, ,FALSE,-1,35.422632,128.964, ,FALSE,-1,36.243416,160.9351, 
FALSE,0,0,0, ,FALSE,0,0,0, ,FALSE,0,0,0, ,TRUE,58,44.637784,3887.8742, ,TRUE,59,48.316112,1888.2089, 
FALSE,0,0,0, ,FALSE,0,0,0, ,FALSE,0,0,0, ,TRUE,62,42.883016,4347.6644, ,TRUE,62,50.131816,2078.9204, 
FALSE,0,0,0, ,FALSE,0,0,0, ,FALSE,0,0,0, ,TRUE,64,55.822112,4857.5536, ,TRUE,63,51.059464,1968.9351, 
FALSE,0,0,0, ,FALSE,0,0,0, ,FALSE,0,0,0, ,TRUE,40,43.725872,3397.2064, ,TRUE,38,43.931616,1432.1735, 
FALSE,0,0,0, ,FALSE,0,0,0, ,FALSE,0,0,0, ,TRUE,35,46.187104,3451.9879, ,TRUE,35,46.626568,1819.5173, 
FALSE,0,0,0, ,FALSE,0,0,0, ,FALSE,0,0,0, ,TRUE,39,44.912456,3916.9307, ,TRUE,40,48.200344,2279.9911, 
FALSE,0,0,0, ,FALSE,0,0,0, ,FALSE,0,0,0, ,TRUE,60,48.304936,4262.6165, ,TRUE,60,50.61752,2045.3315, 
FALSE,0,0,0, ,FALSE,0,0,0, ,FALSE,0,0,0, ,TRUE,39,47.484928,3036.8144, ,TRUE,40,47.134536,1543.3803, 
FALSE,0,0,0, ,FALSE,0,0,0, ,FALSE,0,0,0, ,TRUE,37,45.620408,4763.332, ,TRUE,37,49.80068,1424.3784, 
FALSE,0,0,0, ,FALSE,0,0,0, ,FALSE,0,0,0, ,FALSE,-1,35.794984,91.1302, ,FALSE,-1,36.249576,92.7004, 
FALSE,0,0,0, ,FALSE,0,0,0, ,FALSE,0,0,0, ,TRUE,38,44.39868,3749.0525, ,TRUE,39,48.91868,1687.6497, 
FALSE,0,0,0, ,FALSE,0,0,0, ,FALSE,0,0,0, ,TRUE,62,42.4714,2689.0565, ,TRUE,62,47.159168,1302.1049, 
FALSE,0,0,0, ,FALSE,0,0,0, ,FALSE,0,0,0, ,FALSE,-1,36.216512,133.0493, ,FALSE,-1,42.260096,189.5925, 
FALSE,0,0,0, ,FALSE,0,0,0, ,FALSE,0,0,0, ,FALSE,-1,35.683528,164.7637, ,FALSE,-1,46.25744,196.8417, 
FALSE,0,0,0, ,FALSE,0,0,0, ,FALSE,0,0,0, ,TRUE,58,54.145272,2612.6465, ,TRUE,58,44.916792,1540.1539, 
FALSE,0,0,0, ,FALSE,0,0,0, ,FALSE,0,0,0, ,FALSE,-1,37.558128,113.9625, ,FALSE,-1,43.952184,133.1377, 
FALSE,0,0,0, ,FALSE,0,0,0, ,FALSE,0,0,0, ,TRUE,60,45.59432,4185.618, ,TRUE,61,49.28216,1793.4107, 
FALSE,0,0,0, ,FALSE,0,0,0, ,FALSE,0,0,0, ,FALSE,-1,35.982808,85.2054, ,FALSE,-1,36.719,81.4542, 
FALSE,0,0,0, ,FALSE,0,0,0, ,FALSE,0,0,0, ,FALSE,-1,38.172736,110.9584, ,FALSE,-1,46.688176,114.3288, 
FALSE,0,0,0, ,FALSE,0,0,0, ,FALSE,0,0,0, ,TRUE,58,51.920592,3014.8023, ,TRUE,57,46.341312,1407.5665, 
FALSE,0,0,0, ,FALSE,0,0,0, ,FALSE,0,0,0, ,TRUE,62,46.327848,3960.7061, ,TRUE,63,48.589944,1828.4178, 
FALSE,0,0,0, ,FALSE,0,0,0, ,FALSE,0,0,0, ,TRUE,62,55.732064,3857.2436, ,TRUE,62,50.27624,2013.1246, 
FALSE,0,0,0, ,FALSE,0,0,0, ,FALSE,0,0,0, ,FALSE,-1,35.507648,156.4226, ,FALSE,-1,43.639112,167.3628, 
FALSE,0,0,0, ,FALSE,0,0,0, ,FALSE,0,0,0, ,FALSE,-1,36.644976,107.6376, ,FALSE,-1,37.980208,102.0689, 
FALSE,0,0,0, ,FALSE,0,0,0, ,FALSE,0,0,0, ,TRUE,37,49.006824,3169.7651, ,TRUE,36,47.392624,1271.9924, 
FALSE,0,0,0, ,FALSE,0,0,0, ,FALSE,0,0,0, ,TRUE,65,56.035424,4406.1046, ,TRUE,63,48.775328,1205.0304, 
FALSE,0,0,0, ,FALSE,0,0,0, ,FALSE,0,0,0, ,FALSE,-1,50.123232,77.4508, ,FALSE,-1,36.626536,80.574, 
FALSE,0,0,0, ,FALSE,0,0,0, ,FALSE,0,0,0, ,TRUE,61,42.57116,1859.4639, ,TRUE,62,45.946,1186.0254, 
FALSE,0,0,0, ,FALSE,0,0,0, ,FALSE,0,0,0, ,TRUE,60,42.186432,3387.0568, ,TRUE,60,48.445592,1519.989, 
FALSE,0,0,0, ,FALSE,0,0,0, ,FALSE,0,0,0, ,FALSE,-1,46.458272,93.3902, ,FALSE,-1,36.2042,110.9014, 
FALSE,0,0,0, ,FALSE,0,0,0, ,FALSE,0,0,0, ,TRUE,37,43.071944,2843.4774, ,TRUE,38,47.156712,1728.4657, 
FALSE,0,0,0, ,FALSE,0,0,0, ,FALSE,0,0,0, ,TRUE,61,45.408944,3194.884, ,TRUE,60,48.936592,1465.0893, 
FALSE,0,0,0, ,FALSE,0,0,0, ,FALSE,0,0,0, ,TRUE,60,46.309552,3575.3617, ,TRUE,61,48.315216,2045.3204, 
FALSE,0,0,0, ,FALSE,0,0,0, ,FALSE,0,0,0, ,FALSE,-1,49.488512,85.1417, ,FALSE,-1,35.253792,77.3582, 
FALSE,0,0,0, ,FALSE,0,0,0, ,FALSE,0,0,0, ,FALSE,-1,45.979936,123.7895, ,FALSE,-1,35.906512,114.9708, 
FALSE,0,0,0, ,FALSE,0,0,0, ,FALSE,0,0,0, ,TRUE,38,64.351792,2927.205, ,TRUE,38,46.552896,1548.6314, 
FALSE,0,0,0, ,FALSE,0,0,0, ,FALSE,0,0,0, ,TRUE,60,52.038168,4056.7336, ,TRUE,61,47.211064,1383.4826, 
FALSE,0,0,0, ,FALSE,0,0,0, ,FALSE,0,0,0, ,FALSE,-1,36.025304,82.4182, ,FALSE,-1,35.550936,85.6533, 
FALSE,0,0,0, ,FALSE,0,0,0, ,FALSE,0,0,0, ,TRUE,58,43.0498,2917.7341, ,TRUE,57,45.51016,1476.531, 
FALSE,0,0,0, ,FALSE,0,0,0, ,FALSE,0,0,0, ,FALSE,-1,37.340608,83.1432, ,FALSE,-1,36.81724,75.7281, 
FALSE,0,0,0, ,FALSE,0,0,0, ,FALSE,0,0,0, ,FALSE,-1,46.328496,105.2845, ,FALSE,-1,43.20864,98.8578, 
FALSE,0,0,0, ,FALSE,0,0,0, ,FALSE,0,0,0, ,TRUE,37,42.478384,2846.4427, ,TRUE,37,48.678624,1291.4205, 
FALSE,0,0,0, ,FALSE,0,0,0, ,FALSE,0,0,0, ,TRUE,61,44.234144,3369.3516, ,TRUE,61,51.238784,1682.7234, 
FALSE,0,0,0, ,FALSE,0,0,0, ,FALSE,0,0,0, ,FALSE,-1,32.671248,74.1538, ,FALSE,-1,32.658952,85.1517, 
FALSE,0,0,0, ,FALSE,0,0,0, ,FALSE,0,0,0, ,TRUE,36,52.777768,2658.6026, ,TRUE,37,46.937768,1385.7992, 
FALSE,0,0,0, ,FALSE,0,0,0, ,FALSE,0,0,0, ,FALSE,-1,49.561376,79.5956, ,FALSE,-1,36.488304,88.7151, 
FALSE,0,0,0, ,FALSE,0,0,0, ,FALSE,0,0,0, ,FALSE,-1,36.377128,77.3528, ,FALSE,-1,37.083688,84.2485, 
FALSE,0,0,0, ,FALSE,0,0,0, ,FALSE,0,0,0, ,FALSE,-1,46.159624,138.5842, ,FALSE,-1,35.35708,157.3216, 
FALSE,0,0,0, ,FALSE,0,0,0, ,FALSE,0,0,0, ,TRUE,35,80.495048,3535.8622, ,TRUE,35,47.250584,1558.9013, 
FALSE,0,0,0, ,FALSE,0,0,0, ,FALSE,0,0,0, ,TRUE,63,47.88252,3656.0535, ,TRUE,62,47.993256,1664.3649, 
FALSE,0,0,0, ,FALSE,0,0,0, ,FALSE,0,0,0, ,TRUE,64,47.584848,3663.3625, ,TRUE,63,48.12496,1655.1068, 
FALSE,0,0,0, ,FALSE,0,0,0, ,FALSE,0,0,0, ,FALSE,-1,35.81056,85.2839, ,FALSE,-1,36.28004,96.5339, 
