CSP (Randomised Optimisation),,,,,,Times (ms),,,,
Valid?, Score, RAM (MB), Time (ms), #Individuals, , Start, Modelled, Solved, Decoded,
true,55,25.165824,2628.6144,4, ,36.6846,428.4884,2660.4773,2661.4679,
false,-1,16.639104,91.9616,5, ,2678.7793,2769.1541,2770.5528,2770.6484,
false,-1,18.056664,73.6192,6, ,2782.7867,2854.3427,2856.1651,2856.2688,
false,-1,33.34504,66.3688,7, ,2865.0436,2929.6062,2931.1612,2931.2713,
false,-1,35.337016,64.3052,8, ,2940.1578,3002.947,3004.2844,3004.3615,
true,34,29.083232,2328.0937,9, ,3012.0724,3073.9151,5339.6087,5340.0178,
true,43,29.916288,1937.7465,10, ,5350.9031,5444.3609,7288.0937,7288.4693,
true,37,30.218664,1411.4433,11, ,7297.566,7352.9567,8708.6222,8708.8852,
false,-1,18.667152,55.1078,12, ,8716.824,8770.6332,8771.769,8771.8901,
true,58,23.803848,1457.1716,13, ,8779.7988,8816.2935,10236.5994,10236.815,
false,-1,35.669056,55.5435,14, ,10244.767,10299.1412,10300.1223,10300.1907,
true,58,31.676392,2179.8513,15, ,10308.828,10372.1055,12488.31,12488.5779,
true,63,34.188416,2485.358,16, ,12499.6298,12562.7427,14973.9581,14984.7077,
false,-1,19.817216,104.5641,17, ,15000.3002,15103.3108,15104.6271,15104.7037,
true,56,37.97272,1907.5486,18, ,15123.7383,15235.1974,17030.8914,17031.1345,
false,-1,17.711208,41.6599,19, ,17038.8223,17079.6775,17080.3675,17080.4324,
false,-1,21.141896,38.3713,20, ,17087.8705,17125.1772,17126.073,17126.1687,
true,57,31.922384,1617.4019,21, ,17135.5172,17198.4221,18752.2798,18752.7803,
true,62,30.99912,3883.5826,22, ,18765.7226,18838.2352,22648.796,22649.1133,
true,64,29.994864,2302.2423,23, ,22662.0228,22757.4603,24963.8163,24964.1028,
true,34,31.427848,2067.9059,24, ,24973.7592,25035.1261,27041.3441,27041.5764,
true,59,30.429192,1927.3608,25, ,27050.4687,27107.9505,28977.4795,28977.7433,
false,-1,29.34592,50.9993,26, ,28986.3057,29036.2383,29037.171,29037.2497,
true,64,31.121048,1410.1324,27, ,29045.3921,29099.5275,30455.0282,30455.3073,
true,63,31.619968,1744.5834,28, ,30463.7358,30515.7529,32207.8955,32208.2094,
true,57,31.68772,1329.1826,29, ,32217.67,32273.0966,33546.4912,33546.7531,
false,-1,26.90092,52.3218,30, ,33556.2846,33607.5402,33608.3535,33608.4348,
false,-1,30.832808,51.0698,31, ,33616.2715,33665.769,33667.1902,33667.2618,
false,-1,24.770272,56.4192,32, ,33674.8835,33730.2748,33731.17,33731.2126,
true,66,33.80548,2133.6664,33, ,33739.1702,33793.8305,35872.5593,35872.7078,
true,33,34.514904,2420.7856,34, ,35882.2972,35931.4141,38302.7119,38302.9832,
false,-1,27.170216,78.3134,35, ,38314.0091,38390.7731,38392.194,38392.2526,
true,61,34.372856,3892.0689,36, ,38404.5305,38482.9632,42289.3666,42296.3466,
false,-1,34.969264,169.9424,37, ,42319.0744,42485.6361,42488.6975,42488.8011,
false,-1,23.60436,215.9351,38, ,42504.2272,42714.5889,42719.5826,42719.7511,
true,38,32.538536,3181.3325,39, ,42737.2003,42873.1386,45918.0743,45918.2493,
true,59,34.38644,1360.778,40, ,45930.3962,46010.0702,47290.7723,47290.9927,
false,-1,24.817272,66.9576,41, ,47300.3925,47366.2686,47367.0726,47367.1094,
true,60,35.014832,1926.2957,42, ,47376.0485,47441.2304,49302.1066,49302.2476,
true,61,35.663136,1320.4835,43, ,49312.353,49359.845,50632.4091,50632.7011,
true,40,36.291312,1907.9336,44, ,50641.7017,50703.9443,52549.2133,52549.4758,
true,60,35.434936,1996.7107,45, ,52565.7212,52652.5459,54562.0204,54562.3246,
false,-1,27.105904,95.4578,46, ,54572.9701,54666.8826,54668.2806,54668.3397,
false,-1,31.240792,82.9906,47, ,54679.8113,54760.5439,54762.5144,54762.5977,
true,61,33.935256,4210.3421,48, ,54771.4959,54859.4969,58981.101,58981.4251,
true,43,35.475592,3116.511,49, ,58995.1997,59098.6656,62111.2316,62111.4982,
false,-1,28.514712,82.7503,50, ,62123.1203,62204.1221,62205.4903,62205.5516,
true,38,37.080336,3410.1345,51, ,62214.1299,62294.0335,65623.9807,65624.1154,
false,-1,26.593064,67.5356,52, ,65633.7032,65699.9391,65701.1523,65701.207,
true,38,36.36756,1778.1042,53, ,65710.8391,65787.4161,67488.6351,67488.8639,
true,35,36.949752,1852.4268,54, ,67504.1612,67626.2736,69356.264,69356.4854,
true,38,37.701576,2663.9901,55, ,69367.4953,69438.3943,72031.2499,72031.4032,
false,-1,33.082448,83.0841,56, ,72043.29,72124.8998,72126.0882,72126.2159,
false,-1,29.126568,93.9238,57, ,72137.7429,72230.0723,72231.5569,72231.6145,
false,-1,28.596704,150.6099,58, ,72243.92,72393.3726,72394.3811,72394.4416,
false,-1,50.196328,108.1368,59, ,72407.4251,72514.2256,72515.4528,72515.5095,
true,62,36.385176,2760.8051,60, ,72535.5373,72644.9893,75295.7145,75295.886,
true,61,38.235248,1300.2596,61, ,75305.4665,75358.0165,76605.5413,76605.6772,
false,-1,29.231184,54.2976,62, ,76615.6109,76668.9661,76669.8162,76669.8493,
false,-1,29.307648,82.6413,63, ,76678.2367,76760.067,76760.8175,76760.848,
false,-1,29.577472,92.1273,64, ,76769.8065,76861.0336,76861.8374,76861.8752,
false,-1,29.677624,86.0725,65, ,76871.5058,76956.2639,76957.4988,76957.5388,
true,61,40.960576,1624.5389,66, ,76968.2865,77068.2678,78592.6361,78592.7794,
false,-1,52.381392,82.4738,67, ,78602.5396,78683.9263,78684.9351,78684.982,
false,-1,33.510016,70.6923,68, ,78693.6517,78762.9428,78764.2582,78764.2967,
true,64,40.389552,1430.6646,69, ,78773.4819,78844.2253,80203.8886,80204.0691,
false,-1,56.953408,67.9253,70, ,80216.9008,80284.0297,80284.7674,80284.7908,
false,-1,46.922768,75.3809,71, ,80292.8226,80367.262,80368.1171,80368.158,
true,37,43.223984,1440.5075,72, ,80377.895,80440.1224,81818.2177,81818.3411,
false,-1,43.7898,92.3823,73, ,81828.6034,81918.9603,81920.8224,81920.9522,
true,61,41.156984,1706.6412,74, ,81933.117,82002.4832,83639.5571,83639.684,
false,-1,31.764352,77.1226,75, ,83649.1939,83725.4804,83726.257,83726.2826,
true,59,49.7932,1329.9424,76, ,83736.0867,83820.6179,85065.6521,85065.9515,
false,-1,31.583864,78.7809,77, ,85075.7347,85153.7538,85154.4762,85154.4992,
false,-1,31.881832,72.5982,78, ,85163.2076,85235.02,85235.755,85235.7774,
false,-1,50.525448,70.3922,79, ,85244.6315,85314.2411,85314.9805,85315.0045,
false,-1,33.532624,68.7901,80, ,85323.3726,85391.2242,85392.1147,85392.1486,
false,-1,33.922264,65.6236,81, ,85399.904,85464.5153,85465.4837,85465.5139,
false,-1,32.34628,73.7896,82, ,85473.5688,85546.6212,85547.3173,85547.3426,
true,35,50.138152,2777.1472,83, ,85556.0413,85627.92,88332.5859,88333.0717,
false,-1,31.725352,183.1144,84, ,88359.0665,88536.3322,88541.843,88542.1469,
true,64,46.028216,3537.3995,85, ,88557.8685,88736.7962,92094.9834,92095.2104,
false,-1,50.937728,165.1504,86, ,92110.9898,92271.9212,92276.0648,92276.1126,
true,60,56.569912,3163.443,87, ,92293.0043,92595.4655,95454.9538,95456.0521,
false,-1,33.653152,163.1095,88, ,95475.807,95636.53,95638.8085,95638.8866,
false,-1,34.894432,140.1564,89, ,95658.7813,95796.4773,95798.8085,95798.8679,
true,59,46.189568,2222.7443,90, ,95814.5508,95952.2921,98037.1265,98037.2486,
true,64,50.782928,1863.6473,91, ,98048.9885,98174.8927,99912.3371,99912.5844,
false,-1,33.98632,84.6785,92, ,99923.0614,100005.8899,100007.6743,100007.7141,
true,61,56.049888,1219.5345,93, ,100016.6416,100098.3856,101235.954,101236.1388,
true,62,45.73312,1602.8001,94, ,101247.4454,101325.9815,102850.0425,102850.2084,
false,-1,52.685072,92.3561,95, ,102860.0983,102950.5911,102952.3721,102952.431,
false,-1,46.264536,97.2511,96, ,102961.1011,103055.1185,103058.2767,103058.3336,
true,63,46.843616,1663.4688,97, ,103069.9319,103165.8356,104733.1848,104733.369,
false,-1,35.376736,85.4038,98, ,104746.1264,104830.6631,104831.4837,104831.5012,
false,-1,35.45724,82.8596,99, ,104840.7409,104922.0582,104923.5528,104923.5766,
true,62,57.90384,1747.4728,100, ,104933.1451,105028.4472,106680.3465,106680.5674,
true,38,49.388608,1647.7327,101, ,106693.6843,106780.4338,108341.1095,108341.3729,
false,-1,46.808072,133.3216,102, ,108353.5647,108484.2517,108486.8246,108486.8627,
true,36,48.483552,2176.6861,103, ,108498.3951,108619.6149,110665.9401,110675.0152,

,,,,,,,89.657306,1005.18634,0.428946,


The DEFAULT parameters of the random test data: Days:50  Hours:8  Rooms:50  Sessions:50  Individuals:100 (Ignore for the specified parameter).
