CSP (Randomised Optimisation),,,,,,Times (ms),,,,
Valid?, Score, RAM (MB), Time (ms), #Sessions, , Start, Modelled, Solved, Decoded,
false,-1,12.59244,283.1173,1, ,40.4698,300.3331,-8.570149996387E8,-8.570149996387E8,
true,70,35.29948,315.4803,2, ,333.8284,416.8431,648.0359,648.8178,
true,35,15.655176,142.3826,3, ,660.8371,710.9304,802.5763,803.0768,
true,64,44.253448,151.1101,4, ,813.0897,913.231,963.8498,964.1078,
true,61,33.87476,109.0472,5, ,972.8422,1001.7429,1081.5375,1081.8078,
true,69,37.73888,232.3874,6, ,1091.4749,1155.5472,1323.4816,1323.7485,
false,-1,38.92436,50.7312,7, ,1331.6699,1381.49,-8.570149996387E8,-8.570149996387E8,
false,-1,37.372256,52.2688,8, ,1393.1203,1444.2373,-8.570149996387E8,-8.570149996387E8,
true,58,36.035768,118.4412,9, ,1456.7913,1496.4243,1574.8119,1575.1089,
true,59,30.487128,241.1942,10, ,1584.9912,1639.9311,1825.1487,1825.9178,
true,39,30.131704,296.6068,11, ,1837.9253,1889.2251,2134.1143,2134.4396,
true,56,39.72836,148.5793,12, ,2145.0999,2183.8989,2293.316,2293.5692,
true,57,36.125504,200.4164,13, ,2301.3064,2333.1585,2493.6063,2493.8915,
true,63,32.739392,268.2122,14, ,2511.5639,2556.9252,2779.3727,2779.6454,
true,46,28.629712,412.3603,15, ,2788.3867,2827.5359,3200.3491,3200.6455,
false,-1,17.2766,29.6754,16, ,3208.5946,3237.3119,-8.570149996387E8,-8.570149996387E8,
true,39,33.077152,371.7687,17, ,3245.5418,3278.4415,3616.6893,3617.1239,
true,61,29.204248,383.0877,18, ,3629.1243,3663.4658,4011.8755,4012.1272,
true,41,37.26496,329.9487,19, ,4019.3447,4051.6671,4348.9109,4349.1879,
true,59,35.5182,365.7988,20, ,4356.3621,4386.9242,4721.8528,4722.0907,
true,36,30.334248,317.153,21, ,4729.3061,4754.456,5046.1853,5046.3788,
true,64,33.522784,435.4502,22, ,5059.643,5087.8158,5494.7656,5495.0264,
true,63,29.246232,585.9374,23, ,5504.1119,5543.7414,6089.4916,6089.9426,
true,41,38.301736,814.0133,24, ,6097.9051,6145.8367,6911.5566,6911.8082,
false,-1,37.992152,46.8246,25, ,6923.343,6968.2525,-8.570149996387E8,-8.570149996387E8,
false,-1,33.053352,63.7662,26, ,6980.8474,7043.4331,-8.570149996387E8,-8.570149996387E8,
true,63,29.372392,688.8965,27, ,7053.6806,7102.4404,7742.078,7742.3326,
true,59,32.193928,781.0538,28, ,7750.5631,7794.4061,8531.2803,8531.5313,
true,36,28.70236,778.9632,29, ,8538.7044,8578.6758,9317.2989,9317.587,
true,40,32.915656,710.568,30, ,9327.9138,9375.4034,10037.9757,10038.3117,

,,,,,,,52.511426,-1.71403409046576E8,0.26881,


The DEFAULT parameters of the random test data: Days:50  Hours:8  Rooms:50  Sessions:45  Individuals:25 (Ignore for the specified parameter).
