,CSP (Randomised Optimisation),,,,,Times (ms),,,
 #Sessions,Valid?, Score, RAM (MB), Time (ms), , Start, Modelled, Solved, Decoded
1,FALSE,-1,13.592048,372.8542, ,39.6273,380.2049,406.2716,406.8498
2,TRUE,40,36.044864,414.0496, ,423.5259,573.1917,835.7267,836.9413
3,TRUE,71,35.828976,198.3142, ,853.5263,938.491,1050.9303,1051.6198
4,TRUE,62,36.455312,145.1712, ,1068.3303,1125.7403,1213.0131,1213.3067
5,TRUE,68,31.185456,161.7801, ,1223.4248,1274.2854,1384.6584,1385.0048
6,FALSE,-1,28.994112,44.4416, ,1395.5174,1438.2415,1439.7498,1439.8647
7,TRUE,41,27.731024,182.1077, ,1449.5748,1490.7814,1630.4636,1631.5314
8,TRUE,64,27.174624,238.2689, ,1643.9656,1688.4354,1881.7284,1882.0733
9,TRUE,63,25.140192,203.5282, ,1894.0717,1935.5895,2096.9647,2097.3969
10,TRUE,37,36.084008,253.4992, ,2110.9366,2185.8646,2363.5097,2364.2098
11,TRUE,36,28.373672,195.8763, ,2379.7492,2437.631,2574.9362,2575.4083
12,TRUE,36,23.048832,222.1445, ,2585.222,2620.5178,2806.9013,2807.2598
13,FALSE,-1,25.332368,77.2649, ,2817.2819,2892.8982,2894.3067,2894.474
14,FALSE,-1,30.053376,46.6605, ,2905.6781,2951.4531,2952.1397,2952.225
15,TRUE,63,32.291032,386.3635, ,2960.3179,3016.1643,3346.269,3346.5621
16,TRUE,63,26.282088,247.307, ,3355.7124,3400.6733,3602.6073,3602.8942
17,FALSE,-1,30.665032,70.753, ,3615.6674,3684.7504,3686.1499,3686.2369
18,TRUE,60,38.938504,351.886, ,3698.3527,3753.0521,4049.807,4050.1372
19,TRUE,37,31.011048,344.7433, ,4061.4313,4100.1529,4405.5811,4405.9463
20,TRUE,32,32.181584,349.9111, ,4416.8336,4482.7985,4766.4132,4766.6309
21,TRUE,39,26.747312,311.9355, ,4774.7642,4811.204,5086.3494,5086.6125
22,FALSE,-1,21.62516,45.4619, ,5096.4219,5140.8563,5141.7386,5141.8
23,FALSE,-1,25.184192,62.0657, ,5152.1765,5213.1132,5213.973,5214.0539
24,FALSE,-1,26.06932,44.4808, ,5223.9498,5267.2439,5268.1985,5268.3024
25,FALSE,-1,26.30228,63.5927, ,5278.2702,5338.5526,5341.4421,5341.7101
26,TRUE,64,30.744704,713.6297, ,5355.7301,5420.5378,6069.0695,6069.2137
27,TRUE,41,31.342576,704.0042, ,6080.6096,6119.8454,6784.3424,6784.5227
28,TRUE,64,29.851864,720.5318, ,6793.2087,6833.1806,7513.3988,7513.6503
29,FALSE,-1,23.355976,38.9988, ,7522.7387,7560.6351,7561.5754,7561.6479
30,TRUE,61,29.23724,499.1543, ,7569.8784,7607.5991,8068.7498,8068.9493
31,TRUE,35,29.424072,615.2857, ,8077.2232,8118.5245,8692.0891,8692.3617
32,TRUE,41,31.512456,697.4144, ,8700.7288,8743.6179,9397.8383,9398.0342
33,TRUE,65,31.194616,662.9635, ,9406.9223,9452.4926,10069.5806,10069.7766
34,TRUE,38,29.286848,599.2853, ,10078.3883,10119.4874,10677.3396,10677.5385
35,TRUE,61,31.612976,821.5576, ,10686.1344,10736.6398,11507.3209,11507.52
36,TRUE,65,32.014768,856.1867, ,11516.7745,11560.1037,12372.6266,12372.8386
37,TRUE,61,29.646888,689.2107, ,12382.3166,12422.8041,13071.129,13071.3304
38,FALSE,-1,26.091104,45.9869, ,13080.5806,13125.5551,13126.4629,13126.508
