Greedy Brute Force, , , , ,Brute Force, , , , ,Brute Force (Greedy Optimised), , , , ,CSP Algorithm, , , , ,CSP (Randomised Optimisation), ,
Valid?, Score, RAM, Time (ms), ,Valid?, Score, RAM, Time (ms), ,Valid?, Score, RAM, Time (ms), ,Valid?, Score, RAM, Time (ms), ,Valid?, Score, RAM, Time (ms), ,
true,42,4163424,3.5149, ,true,49,4163424,1.8554, ,true,58,6796856,44.5352, ,false,-1,17282616,355.4412, ,false,-1,19379752,29.129, ,
true,61,19379752,0.2393, ,true,63,19379752,0.374, ,true,65,23574072,25.6909, ,false,-1,24077424,7.5888, ,false,-1,24622648,8.3783, ,
true,57,24622648,0.2698, ,true,64,25126008,0.4724, ,true,66,25165824,29.3489, ,false,-1,6029152,8.2443, ,false,-1,7599968,10.5029, ,
true,58,7599968,0.1918, ,true,61,7599968,0.3275, ,true,67,9174880,10.1666, ,false,-1,9697120,7.0367, ,false,-1,10745696,7.8804, ,
true,50,10745696,0.3196, ,true,51,10745696,0.2754, ,true,60,12842848,14.2728, ,false,-1,13891424,3.8706, ,false,-1,14417760,4.2736, ,
true,47,14417760,0.3251, ,true,51,14417760,0.2777, ,true,55,15988576,4.5839, ,false,-1,16514912,35.1507, ,false,-1,17563488,26.2738, ,
true,53,17563488,0.2519, ,true,50,17563488,0.3648, ,true,59,18612064,3.5631, ,false,-1,19134304,17.3401, ,false,-1,20182880,15.1136, ,
true,57,0,0.1916, ,true,62,20182880,0.5545, ,true,65,22280032,6.567, ,false,-1,22806368,15.6924, ,false,-1,23854944,15.6271, ,
true,60,0,0.271, ,true,62,0,0.3268, ,true,69,25952096,6.318, ,false,-1,26474336,10.8045, ,false,-1,27522912,13.5606, ,
true,48,0,0.2203, ,true,52,0,0.3728, ,true,61,28571488,7.484, ,false,-1,29620064,14.0241, ,false,-1,30668640,17.5431, ,
true,51,0,0.3058, ,true,54,0,1.4421, ,true,57,32765792,19.6947, ,false,-1,34340704,44.1021, ,false,-1,35389280,14.4014, ,
true,62,0,0.1337, ,true,67,0,0.2472, ,true,69,36960096,7.3517, ,false,-1,38008672,5.56, ,false,-1,39057248,5.1752, ,
true,56,0,0.5339, ,true,58,39057248,0.3678, ,true,62,40105824,4.6041, ,false,-1,41154400,6.9911, ,false,-1,41680736,6.3168, ,
