Greedy Brute Force, , , , ,Brute Force, , , , ,Brute Force (Greedy Optimised), , , , ,CSP Algorithm, , , , ,CSP (Randomised Optimisation), ,
Valid?, Score, RAM (MB), Time (ms), ,Valid?, Score, RAM (MB), Time (ms), ,Valid?, Score, RAM (MB), Time (ms), ,Valid?, Score, RAM (MB), Time (ms), ,Valid?, Score, RAM, Time (ms), ,
true,44,4.163456,3.6842, ,true,55,2.179648,1.711, ,true,65,3.733408,32.0109, ,false,-1,5.3034,332.4134, ,false,-1,4.404464,45.0081, ,
true,55,2.340248,0.4143, ,true,60,2.37264,0.3126, ,true,68,4.410384,22.9278, ,false,-1,3.19396,9.9078, ,false,-1,3.202824,21.1907, ,
true,56,0.0,0.4622, ,true,61,0.0,0.776, ,true,62,3.439632,12.4451, ,false,-1,3.69308,100.696, ,false,-1,3.596104,37.3074, ,
true,53,0.0,0.738, ,true,54,2.478488,1.9322, ,true,67,3.032176,2.896, ,false,-1,3.529648,7.6074, ,false,-1,3.57188,11.5146, ,
true,59,0.0,0.338, ,true,64,0.0,0.3744, ,true,65,5.367736,12.7484, ,false,-1,3.804848,19.6889, ,false,-1,3.69916,14.3251, ,
true,60,2.826136,0.1845, ,true,60,2.828856,2.6952, ,true,62,4.412536,6.7511, ,false,-1,3.810848,21.0158, ,false,-1,3.762544,16.1819, ,
true,60,0.0,0.4729, ,true,62,0.0,0.8692, ,true,70,4.279848,5.5133, ,false,-1,3.62884,4.7058, ,false,-1,3.569656,3.4349, ,
true,57,0.0,0.2559, ,true,62,0.0,0.2963, ,true,63,4.490064,6.6931, ,false,-1,3.904816,11.6629, ,false,-1,3.894504,11.8828, ,
true,63,0.0,4.2032, ,true,64,0.0,0.3447, ,true,68,4.823984,10.2431, ,false,-1,3.72908,15.721, ,false,-1,3.641184,13.1405, ,
true,46,0.0,0.6878, ,true,51,2.841384,0.3668, ,true,61,3.374272,2.3097, ,false,-1,3.823376,24.1834, ,false,-1,3.771672,14.7678, ,
true,44,0.0,0.2136, ,true,48,0.0,0.3478, ,true,57,0.0,3.7781, ,false,-1,3.650656,13.0127, ,false,-1,3.577424,11.6364, ,
true,61,0.0,0.1811, ,true,62,0.0,13.9032, ,true,71,0.0,2.9478, ,false,-1,3.892168,13.1581, ,false,-1,3.823624,13.4424, ,
true,54,0.0,0.3192, ,true,55,0.0,0.5155, ,true,64,3.508936,4.3829, ,false,-1,3.746488,13.285, ,false,-1,3.713568,9.9289, ,
true,50,0.0,0.185, ,true,55,2.842928,0.3259, ,true,68,3.580632,3.5474, ,false,-1,3.900016,12.3812, ,false,-1,3.894832,9.7878, ,
true,52,0.0,0.1197, ,true,55,0.0,0.2722, ,true,59,0.0,9.05, ,false,-1,3.642536,10.4597, ,false,-1,3.65456,9.2853, ,
true,59,0.0,0.1884, ,true,62,0.0,0.2163, ,true,70,4.027056,4.7311, ,false,-1,3.80848,7.4035, ,false,-1,3.798008,8.6096, ,
true,58,0.0,0.12, ,true,62,2.847592,0.2744, ,true,63,5.009448,7.5195, ,false,-1,3.606888,2.8498, ,false,-1,3.604704,2.7898, ,
true,52,0.0,0.0995, ,true,56,2.8412,0.244, ,true,57,4.848744,7.0056, ,false,-1,3.606408,2.855, ,false,-1,3.608728,4.6945, ,
true,50,0.0,0.1179, ,true,60,2.841256,0.2611, ,true,64,3.799216,4.178, ,false,-1,3.736952,3.5512, ,false,-1,3.73284,3.0583, ,
true,49,0.0,0.1366, ,true,49,0.0,0.1732, ,true,54,4.020448,5.0637, ,false,-1,3.544304,2.2632, ,false,-1,3.545216,3.4322, ,
true,51,0.0,0.1014, ,true,54,0.0,0.1876, ,true,57,4.020904,7.2335, ,false,-1,3.737616,7.2025, ,false,-1,3.732992,3.5404, ,
true,55,0.0,0.2758, ,true,57,0.0,0.1389, ,true,65,4.021176,4.7336, ,false,-1,3.672208,7.3337, ,false,-1,3.6716,5.604, ,
true,49,0.0,0.1131, ,true,49,0.0,0.1805, ,true,64,3.482584,1.49, ,false,-1,3.419056,1.8145, ,false,-1,3.416288,1.5535, ,
true,47,0.0,0.0956, ,true,48,0.0,0.1868, ,true,58,4.469632,7.4981, ,false,-1,3.552504,9.8214, ,false,-1,3.568136,7.8874, ,
true,55,0.0,0.1165, ,true,60,0.0,0.2202, ,true,72,3.546136,2.1641, ,false,-1,3.678432,11.8956, ,false,-1,3.71224,10.4998, ,
true,46,0.0,0.1027, ,true,55,0.0,0.1816, ,true,68,4.15036,4.6307, ,false,-1,3.6758,10.857, ,false,-1,3.623552,12.2307, ,
true,61,0.0,0.138, ,true,59,0.0,0.158, ,true,68,3.67412,2.6558, ,false,-1,3.673768,3.2144, ,false,-1,3.67104,2.1191, ,
true,52,0.0,0.1136, ,true,59,0.0,0.2437, ,true,61,4.0228,2.9443, ,false,-1,3.802056,3.1205, ,false,-1,3.736544,4.6614, ,
true,58,0.0,0.1615, ,true,61,0.0,0.2723, ,true,68,3.674088,3.6336, ,false,-1,3.610048,3.6049, ,false,-1,3.607536,2.8454, ,
true,48,0.0,0.123, ,true,55,0.0,0.2329, ,true,61,4.469664,8.0955, ,false,-1,3.741744,10.8097, ,false,-1,3.687568,6.5097, ,
true,52,0.0,0.1554, ,true,53,2.844744,0.2679, ,true,58,5.071472,10.745, ,false,-1,3.54696,7.9045, ,false,-1,3.536776,6.793, ,
true,42,0.0,0.103, ,true,53,0.0,0.1687, ,true,54,4.519936,6.9935, ,false,-1,3.664904,4.9565, ,false,-1,3.661992,8.1306, ,
true,46,0.0,0.1002, ,true,55,0.0,0.1754, ,true,56,5.630952,14.0883, ,false,-1,3.5334,10.0505, ,false,-1,3.52396,8.8647, ,
true,45,0.0,0.2256, ,true,47,0.0,0.3217, ,true,61,3.717896,3.4986, ,false,-1,3.583808,2.6515, ,false,-1,3.58124,2.1676, ,
true,39,0.0,0.1254, ,true,42,0.0,0.1416, ,true,51,3.965752,3.623, ,false,-1,3.583704,2.1833, ,false,-1,3.58116,3.1943, ,
false,-1,2.845168,0.616, ,false,-1,0.0,0.2996, ,false,-1,4.498144,6.3643, ,false,-1,3.515032,1.6366, ,false,-1,3.515248,3.6301, ,
true,47,0.0,0.1335, ,true,49,0.0,0.1808, ,true,67,3.45048,2.6338, ,false,-1,3.517504,3.9983, ,false,-1,3.515008,3.4374, ,
true,64,0.0,0.1334, ,true,65,0.0,0.2274, ,true,66,4.367224,7.5531, ,false,-1,3.83004,9.0967, ,false,-1,3.807152,18.7154, ,
true,52,0.0,0.1288, ,true,57,0.0,0.1809, ,true,68,3.899432,5.9442, ,false,-1,3.732472,7.0673, ,false,-1,3.723296,8.1647, ,
true,55,0.0,0.1174, ,true,60,0.0,0.1587, ,true,65,3.966536,3.611, ,false,-1,3.718176,4.4984, ,false,-1,3.715416,4.5361, ,
true,53,0.0,0.1838, ,true,55,0.0,0.1958, ,true,59,4.16716,6.6451, ,false,-1,3.7184,3.1671, ,false,-1,3.648624,2.4353, ,
true,59,0.0,0.1138, ,true,60,0.0,0.1612, ,true,61,4.835528,8.7714, ,false,-1,3.7346,5.893, ,false,-1,3.729224,7.7244, ,
