Greedy Brute Force, , , , ,Brute Force, , , , ,Brute Force (Greedy Optimised), , , , ,CSP Algorithm, , , , ,CSP (Randomised Optimisation), ,
Valid?, Score, RAM, Time, ,Valid?, Score, RAM, Time, ,Valid?, Score, RAM, Time, ,Valid?, Score, RAM, Time, ,Valid?, Score, RAM, Time, ,
true,48,0,10863700, ,true,48,0,720800, ,true,48,0,674000, ,true,48,0,488500, ,true,48,0,500300, ,
true,57,0,499200, ,true,57,0,497100, ,true,57,0,529700, ,true,57,0,542800, ,true,57,0,796700, ,
true,59,0,489700, ,true,59,0,411600, ,true,59,0,436500, ,true,59,0,237900, ,true,59,0,397100, ,
true,43,0,405500, ,true,43,0,382800, ,true,43,0,370900, ,true,43,0,354400, ,true,43,0,417000, ,
true,49,0,507500, ,true,49,0,320300, ,true,49,0,462900, ,true,49,0,492200, ,true,49,0,396400, ,
true,52,0,309800, ,true,52,0,428100, ,true,52,0,437200, ,true,52,0,500900, ,true,52,0,886100, ,
true,55,0,295700, ,true,55,0,332200, ,true,55,0,443500, ,true,55,0,344300, ,true,55,0,291400, ,
true,63,0,801500, ,true,63,0,489200, ,true,63,0,238600, ,true,63,0,246400, ,true,63,0,337900, ,
true,52,0,297900, ,true,52,0,299300, ,true,52,0,299800, ,true,52,0,323300, ,true,52,0,474700, ,
true,46,0,224600, ,true,46,0,191900, ,true,46,0,347000, ,true,46,0,257200, ,true,46,0,297200, ,
true,58,0,339500, ,true,58,0,252400, ,true,58,0,271900, ,true,58,0,260900, ,true,58,0,246100, ,
true,50,0,266800, ,true,50,0,173500, ,true,50,0,174300, ,true,50,0,171900, ,true,50,0,206500, ,
true,50,0,226700, ,true,50,0,270800, ,true,50,0,254400, ,true,50,0,212500, ,true,50,0,316100, ,
true,61,0,230600, ,true,61,0,393200, ,true,61,0,323500, ,true,61,0,203800, ,true,61,0,187700, ,
true,52,0,343400, ,true,52,0,288200, ,true,52,0,185900, ,true,52,0,769100, ,true,52,0,576200, ,
