Greedy Brute Force, , , , ,Brute Force, , , , ,Brute Force (Greedy Optimised), , , , ,CSP Algorithm, , , , ,CSP (Randomised Optimisation), ,
Valid?, Score, RAM, Time (ms), ,Valid?, Score, RAM, Time (ms), ,Valid?, Score, RAM, Time (ms), ,Valid?, Score, RAM, Time (ms), ,Valid?, Score, RAM, Time (ms), ,
true,55,0,5.6714, ,true,56,0,2.5027, ,true,64,0,33.5507, ,false,-1,0,361.6296, ,false,-1,0,50.3493, ,
true,56,0,0.3582, ,true,61,0,0.647, ,true,64,0,31.2765, ,false,-1,0,76.8655, ,false,-1,0,46.5668, ,
true,56,0,0.4804, ,true,64,0,0.7691, ,true,69,0,22.9897, ,false,-1,0,17.5667, ,false,-1,0,24.6278, ,
true,58,0,0.5872, ,true,60,0,0.8299, ,true,62,0,38.0242, ,false,-1,0,8.0811, ,false,-1,0,7.6565, ,
true,54,0,0.5831, ,true,61,0,0.9346, ,true,63,0,17.0279, ,false,-1,0,6.8317, ,false,-1,0,7.4588, ,
true,54,0,0.4049, ,true,54,0,0.6646, ,true,71,0,5.6415, ,false,-1,0,10.0209, ,false,-1,0,6.1957, ,
true,55,0,0.3416, ,true,65,0,0.6665, ,true,69,0,8.7074, ,false,-1,0,47.186, ,false,-1,0,31.9554, ,
true,51,0,0.2386, ,true,56,0,0.398, ,true,64,0,8.6075, ,false,-1,0,37.7574, ,false,-1,0,20.7675, ,
true,58,0,0.2298, ,true,59,0,0.4204, ,true,64,0,9.9228, ,false,-1,0,20.7851, ,false,-1,0,15.4001, ,
true,57,0,0.3743, ,true,62,0,0.578, ,true,71,0,5.9972, ,false,-1,0,11.8326, ,false,-1,0,12.7203, ,
true,44,0,0.245, ,true,47,0,0.4887, ,true,59,0,13.6447, ,false,-1,0,6.7355, ,false,-1,0,6.9093, ,
true,50,0,0.2268, ,true,55,0,0.3561, ,true,60,0,7.9759, ,false,-1,0,17.4214, ,false,-1,0,23.7136, ,
true,42,0,0.2124, ,true,44,0,0.368, ,true,53,0,16.4085, ,false,-1,0,14.6703, ,false,-1,0,6.3198, ,
true,60,0,0.234, ,true,59,0,0.3306, ,true,67,0,9.4547, ,false,-1,0,11.1121, ,false,-1,0,5.5449, ,
true,53,0,0.1975, ,true,59,0,0.3164, ,true,67,0,5.1451, ,false,-1,0,6.7949, ,false,-1,0,6.5242, ,
true,56,0,2.0111, ,true,62,0,0.3431, ,true,70,0,8.0279, ,false,-1,0,23.3576, ,false,-1,0,21.0404, ,
true,48,0,0.1267, ,true,55,0,0.2261, ,true,59,0,11.8523, ,false,-1,0,7.534, ,false,-1,0,4.7188, ,
true,46,0,0.1545, ,true,52,0,0.2992, ,true,58,0,8.3254, ,false,-1,0,6.861, ,false,-1,0,8.4794, ,
true,50,0,0.2924, ,true,52,0,0.391, ,true,67,0,8.1087, ,false,-1,0,6.9691, ,false,-1,0,5.3003, ,
true,51,0,0.1448, ,true,56,0,0.3247, ,true,63,0,12.1223, ,false,-1,0,25.6791, ,false,-1,0,17.6991, ,
true,52,0,0.2035, ,true,51,0,0.3216, ,true,65,0,4.9542, ,false,-1,0,14.3313, ,false,-1,0,17.0785, ,
true,42,0,0.1268, ,true,47,0,0.221, ,true,65,0,6.6221, ,false,-1,0,8.4322, ,false,-1,0,5.5208, ,
true,50,0,0.1363, ,true,51,0,0.3479, ,true,63,0,10.6709, ,false,-1,0,12.0687, ,false,-1,0,9.0803, ,
true,63,0,0.1451, ,true,66,0,0.5862, ,true,69,0,15.4461, ,false,-1,0,18.2248, ,false,-1,0,16.8045, ,
true,51,0,0.1242, ,true,54,0,0.2392, ,true,60,0,14.1806, ,false,-1,0,14.8327, ,false,-1,0,14.4173, ,
true,52,0,0.1884, ,true,60,0,0.2869, ,true,66,0,5.8782, ,false,-1,0,7.0733, ,false,-1,0,6.1705, ,
true,51,0,0.2067, ,true,54,0,0.4778, ,true,64,0,11.5842, ,false,-1,0,18.7426, ,false,-1,0,24.1854, ,
true,53,0,0.1159, ,true,55,0,0.1874, ,true,63,0,8.4085, ,false,-1,0,3.9312, ,false,-1,0,4.4186, ,
true,57,0,0.1479, ,true,63,0,0.2687, ,true,70,0,8.6311, ,false,-1,0,5.8271, ,false,-1,0,5.4739, ,
true,54,0,0.1297, ,true,59,0,0.1991, ,true,61,0,8.5078, ,false,-1,0,5.0618, ,false,-1,0,7.52, ,
true,46,0,0.1468, ,true,49,0,0.1944, ,true,57,0,10.418, ,false,-1,0,19.7166, ,false,-1,0,19.5987, ,
true,44,0,0.1368, ,true,51,0,0.2142, ,true,57,0,27.8359, ,false,-1,0,15.2497, ,false,-1,0,16.0441, ,
true,45,0,0.1051, ,true,54,0,0.1811, ,true,58,0,7.4546, ,false,-1,0,13.4002, ,false,-1,0,12.1354, ,
true,44,0,0.0957, ,true,49,0,0.1801, ,true,57,0,4.1034, ,false,-1,0,6.2894, ,false,-1,0,5.7444, ,
true,44,0,0.1444, ,true,49,0,0.2637, ,true,58,0,8.7305, ,false,-1,0,3.7497, ,false,-1,0,3.7822, ,
true,59,0,0.1122, ,true,62,0,0.195, ,true,70,0,6.0293, ,false,-1,0,4.5989, ,false,-1,0,4.7602, ,
true,56,0,0.2163, ,true,60,0,0.1855, ,true,67,0,13.6487, ,false,-1,0,3.5941, ,false,-1,0,3.8567, ,
true,60,0,0.1358, ,true,60,0,0.3467, ,true,67,0,4.5296, ,false,-1,0,15.8157, ,false,-1,0,18.7662, ,
true,47,0,0.1409, ,true,48,0,0.3471, ,true,56,0,11.1036, ,false,-1,0,13.4721, ,false,-1,0,15.0833, ,
true,53,0,0.0957, ,true,56,0,0.1706, ,true,67,0,7.0633, ,false,-1,0,22.0806, ,false,-1,0,18.4156, ,
