Greedy Brute Force, , , , ,Brute Force, , , , ,Brute Force (Greedy Optimised), , , , ,CSP Algorithm, , , , ,CSP (Randomised Optimisation), ,
Valid?, Score, RAM, Time (ms), ,Valid?, Score, RAM, Time (ms), ,Valid?, Score, RAM, Time (ms), ,Valid?, Score, RAM, Time (ms), ,Valid?, Score, RAM, Time (ms), ,
true,56,0,4.3301, ,true,61,0,1.5241, ,true,63,0,36.3517, ,false,-1,0,332.8803, ,false,-1,0,58.014, ,
true,65,0,0.207, ,true,63,0,0.4452, ,true,70,0,11.6568, ,false,-1,0,11.782, ,false,-1,0,19.5626, ,
true,56,0,0.2064, ,true,55,0,0.3273, ,true,66,0,11.1424, ,false,-1,0,17.3837, ,false,-1,0,12.258, ,
true,51,0,0.2528, ,true,52,0,0.5876, ,true,66,0,6.1814, ,false,-1,0,3.7465, ,false,-1,0,2.2086, ,
true,49,0,0.1097, ,true,57,0,0.1693, ,true,64,0,5.1322, ,false,-1,0,7.3493, ,false,-1,0,6.4771, ,
true,51,0,0.1387, ,true,56,0,0.2573, ,true,67,0,2.6858, ,false,-1,0,3.5112, ,false,-1,0,3.7559, ,
false,-1,0,0.9962, ,false,-1,0,0.4597, ,false,-1,0,12.3508, ,false,-1,0,5.6115, ,false,-1,0,3.8097, ,
true,58,0,0.2077, ,true,57,0,0.3229, ,true,69,0,6.011, ,false,-1,0,5.7444, ,false,-1,0,3.8875, ,
true,49,0,0.1406, ,true,53,0,0.2246, ,true,62,0,5.4565, ,false,-1,0,9.457, ,false,-1,0,7.3382, ,
true,54,0,0.4688, ,true,56,0,0.7865, ,true,66,0,2.674, ,false,-1,0,10.6169, ,false,-1,0,12.8984, ,
true,47,0,0.313, ,true,49,0,0.1608, ,true,59,0,3.5905, ,false,-1,0,4.9463, ,false,-1,0,4.4679, ,
true,50,0,0.19, ,true,60,0,0.3629, ,true,65,0,7.3725, ,false,-1,0,5.8116, ,false,-1,0,3.6227, ,
false,-1,0,0.3028, ,false,-1,0,0.2359, ,false,-1,0,4.5465, ,false,-1,0,6.1059, ,false,-1,0,5.4701, ,
true,42,0,0.2205, ,true,51,0,0.3107, ,true,65,0,6.4338, ,false,-1,0,13.8129, ,false,-1,0,9.6107, ,
false,-1,0,0.1691, ,false,-1,0,0.3324, ,false,-1,0,5.0279, ,false,-1,0,4.5353, ,false,-1,0,3.6533, ,
true,46,0,0.1112, ,true,57,0,0.191, ,true,62,0,8.9533, ,false,-1,0,10.0453, ,false,-1,0,7.4693, ,
true,55,0,0.1833, ,true,61,0,0.1767, ,true,70,0,3.3586, ,false,-1,0,7.5982, ,false,-1,0,4.6571, ,
true,48,0,0.107, ,true,49,0,0.2569, ,true,61,0,3.8028, ,false,-1,0,14.3996, ,false,-1,0,18.754, ,
true,56,0,1.1261, ,true,59,0,0.5311, ,true,73,0,3.044, ,false,-1,0,19.0908, ,false,-1,0,19.8268, ,
true,59,0,0.1783, ,true,59,0,0.1903, ,true,71,0,5.3441, ,false,-1,0,2384.767, ,false,-1,0,1229.0778, ,
true,48,0,0.0673, ,true,55,0,0.1472, ,true,59,0,2.5909, ,false,-1,0,2.4106, ,false,-1,0,1.9149, ,
true,64,0,0.067, ,true,66,0,0.0925, ,true,70,0,3.7832, ,false,-1,0,6.1477, ,false,-1,0,5.6357, ,
true,56,0,0.1741, ,true,64,0,0.1565, ,true,66,0,2.936, ,false,-1,0,2.1743, ,false,-1,0,2.0274, ,
true,53,0,0.0552, ,true,59,0,0.0964, ,true,64,0,2.7734, ,false,-1,0,1.6246, ,false,-1,0,1.4713, ,
true,54,0,0.0548, ,true,55,0,0.0922, ,true,62,0,3.2037, ,false,-1,0,2.0811, ,false,-1,0,1.9258, ,
true,48,0,0.0918, ,true,52,0,0.1279, ,true,62,0,5.1434, ,false,-1,0,1.6499, ,false,-1,0,1.4823, ,
true,60,0,0.0907, ,true,66,0,0.131, ,true,67,0,3.1842, ,false,-1,0,2.3188, ,false,-1,0,2.2945, ,
true,47,0,0.0607, ,true,51,0,0.0917, ,true,55,0,8.0547, ,false,-1,0,1.6871, ,false,-1,0,1.2101, ,
true,49,0,0.0643, ,true,49,0,0.073, ,true,56,0,3.2006, ,false,-1,0,1.2521, ,false,-1,0,1.2026, ,
true,54,0,0.0447, ,true,57,0,0.0708, ,true,63,0,2.9806, ,false,-1,0,1.4225, ,false,-1,0,1.3394, ,
true,50,0,0.0491, ,true,55,0,0.1085, ,true,65,0,2.8851, ,false,-1,0,3.5337, ,false,-1,0,3.1814, ,
true,51,0,0.0756, ,true,58,0,0.0779, ,true,66,0,1.8302, ,false,-1,0,1.6773, ,false,-1,0,1.6323, ,
true,48,0,0.0739, ,true,51,0,0.0732, ,true,54,0,8.0887, ,false,-1,0,1.2806, ,false,-1,0,1.1794, ,
true,46,0,0.041, ,true,49,0,0.0684, ,true,56,0,3.4335, ,false,-1,0,4.661, ,false,-1,0,5.3669, ,
true,35,0,0.0615, ,true,43,0,0.1373, ,true,60,0,2.4494, ,false,-1,0,2.9992, ,false,-1,0,3.3212, ,
true,53,0,0.0484, ,true,53,0,0.0814, ,true,64,0,0.997, ,false,-1,0,4.1926, ,false,-1,0,4.0476, ,
true,45,0,0.0421, ,true,45,0,0.0787, ,true,60,0,2.2645, ,false,-1,0,2.3615, ,false,-1,0,1.8762, ,
true,54,0,0.0444, ,true,55,0,0.0661, ,true,63,0,2.3425, ,false,-1,0,1.1087, ,false,-1,0,1.142, ,
true,47,0,0.0584, ,true,52,0,0.101, ,true,57,0,3.5887, ,false,-1,0,3.5873, ,false,-1,0,3.2967, ,
true,47,0,0.0329, ,true,56,0,0.0817, ,true,65,0,0.4974, ,false,-1,0,2.2211, ,false,-1,0,2.0087, ,
