Greedy Brute Force,,,,,,
Valid?, Score, RAM (MB), Time (ms), #Individuals, ,
true,40,5.20304,22.9097,4, ,
true,29,3.739416,27.5048,5, ,
true,47,3.003728,5.649,6, ,
true,43,3.005616,4.8044,7, ,
true,55,3.0062,3.8503,8, ,
true,53,2.94336,3.5123,9, ,
true,63,2.943648,4.1644,10, ,
true,44,2.944728,3.1366,11, ,
true,28,2.944936,2.3266,12, ,
true,46,2.945048,2.1349,13, ,
true,31,2.945536,3.5367,14, ,
true,29,2.945368,3.1595,15, ,
true,23,3.008504,3.6743,16, ,
true,53,3.009,2.3038,17, ,
true,49,3.008928,6.4681,18, ,
true,31,3.009176,5.6319,19, ,
true,60,3.009312,5.2541,20, ,
true,28,3.009448,4.8688,21, ,
true,50,3.009176,4.9268,22, ,
true,50,3.009936,4.9116,23, ,
true,28,3.009816,3.5771,24, ,
true,53,3.009912,5.4213,25, ,
true,29,3.009864,4.7075,26, ,
true,48,3.072824,5.485,27, ,
true,52,3.077264,5.7239,28, ,
true,48,3.077024,5.8387,29, ,
true,48,3.077152,6.8589,30, ,
true,28,3.0774,4.2641,31, ,
true,49,3.077528,3.201,32, ,
true,27,3.077632,4.5163,33, ,
true,50,3.07776,5.3431,34, ,
true,49,3.078064,7.5504,35, ,
true,49,3.078224,4.9769,36, ,
true,29,3.07864,3.8234,37, ,
true,54,3.078488,9.5304,38, ,
true,51,3.078752,7.5331,39, ,
true,29,3.078776,7.8858,40, ,
true,28,3.142016,6.5723,41, ,
true,31,3.142272,5.6012,42, ,
true,46,3.142432,6.3758,43, ,
true,50,3.142568,8.3864,44, ,
true,53,3.14248,6.008,45, ,
true,28,3.142888,5.647,46, ,
true,53,3.143608,13.3189,47, ,
true,52,3.20648,13.1997,48, ,
true,26,3.145096,9.6291,49, ,
true,51,3.145192,9.8537,50, ,
true,53,3.145552,9.6818,51, ,
true,29,3.145688,10.9598,52, ,
true,49,3.209144,10.789,53, ,
true,27,3.335104,14.134,54, ,
true,63,3.994024,37.6209,55, ,
true,64,3.637312,15.8442,56, ,
true,25,3.6372,24.4149,57, ,
true,25,3.63764,15.0024,58, ,
true,26,3.637504,10.7859,59, ,
true,59,3.63744,11.6124,60, ,
true,35,3.638216,9.2042,61, ,
true,24,3.638376,11.9813,62, ,
true,24,3.638432,21.1011,63, ,
true,50,3.680784,23.0432,64, ,
true,47,3.680728,21.4272,65, ,
true,53,3.68144,21.2688,66, ,
true,50,3.68112,17.612,67, ,
true,48,3.681424,17.6327,68, ,
true,47,3.682488,20.6721,69, ,
true,62,3.682824,18.8796,70, ,
true,24,3.682552,12.9782,71, ,
true,26,3.725728,19.2212,72, ,
true,24,3.725272,16.1168,73, ,
true,24,3.725592,11.7895,74, ,
true,61,3.72636,18.6685,75, ,
true,49,3.72652,18.4324,76, ,
true,52,3.726016,17.3416,77, ,
true,62,3.725936,23.821,78, ,
true,48,3.726528,28.6637,79, ,
true,49,3.768784,13.1166,80, ,
true,46,3.768552,11.9846,81, ,
true,24,3.76964,17.992,82, ,
true,52,3.769256,24.3589,83, ,
true,48,3.769088,21.047,84, ,
true,37,3.769944,26.6778,85, ,
true,22,3.770416,16.9603,86, ,
true,48,3.770408,13.9118,87, ,
true,25,3.812976,13.9987,88, ,
true,26,3.813016,26.187,89, ,
true,46,3.813616,16.6375,90, ,
true,48,3.814192,21.5985,91, ,
true,25,3.813696,21.2007,92, ,
true,21,3.81428,18.7919,93, ,
true,23,3.81416,16.1682,94, ,
true,47,3.855928,13.4988,95, ,
true,24,3.857176,23.6257,96, ,
true,21,3.856624,30.5681,97, ,
true,22,3.857608,29.0121,98, ,
true,47,3.857744,19.8972,99, ,
true,38,3.85772,23.1724,100, ,
true,38,3.857952,30.4078,101, ,
true,35,3.858088,24.2853,102, ,
true,22,3.858736,23.6503,103, ,


The DEFAULT parameters of the random test data: Days:50  Hours:8  Rooms:50  Sessions:50  Individuals:100 (Ignore for the specified parameter).
