,Greedy Brute Force,,,,,
 #Individuals,Valid?, Score, RAM (MB), Time (ms),, 
4,TRUE,45,7.300192,42.319,, 
5,TRUE,19,3.411992,35.761,, 
6,TRUE,67,2.845256,8.4002,, 
7,TRUE,28,2.909176,9.0563,, 
8,TRUE,26,2.847032,11.4473,, 
9,TRUE,24,2.847328,7.7502,, 
10,TRUE,49,2.84724,7.4286,, 
11,TRUE,52,2.848224,6.9988,, 
12,TRUE,27,2.848392,11.5086,, 
13,TRUE,43,2.8498,7.4793,, 
14,TRUE,28,2.848976,10.648,, 
15,TRUE,67,2.848832,6.7017,, 
16,TRUE,29,2.85204,10.9003,, 
17,TRUE,51,2.852504,7.1372,, 
18,TRUE,66,2.852832,12.7679,, 
19,TRUE,50,2.852384,12.9293,, 
20,TRUE,30,2.91588,7.6126,, 
21,TRUE,24,2.852976,9.7964,, 
22,TRUE,23,2.916648,12.6778,, 
23,TRUE,29,2.916632,8.302,, 
24,TRUE,50,2.91748,11.8639,, 
25,TRUE,26,2.91784,14.7744,, 
26,TRUE,51,2.980312,8.8244,, 
27,TRUE,46,2.981296,6.1997,, 
28,TRUE,26,2.918448,16.9773,, 
29,TRUE,28,2.918512,13.3324,, 
30,TRUE,27,2.918664,14.2711,, 
31,TRUE,28,2.919024,21.7371,, 
32,TRUE,48,2.919336,11.2706,, 
33,TRUE,47,2.919504,18.167,, 
34,TRUE,23,2.982752,15.802,, 
35,TRUE,49,3.655576,19.4397,, 
36,TRUE,53,3.502656,12.0498,, 
37,TRUE,25,3.3718,15.089,, 
38,TRUE,23,3.37236,15.8146,, 
39,TRUE,51,3.41364,28.9003,, 
40,TRUE,26,3.414408,15.7358,, 
41,TRUE,22,3.414856,27.0105,, 
42,TRUE,24,3.41496,21.8811,, 
43,TRUE,49,3.415024,31.1659,, 
44,TRUE,36,3.4154,20.2868,, 
45,TRUE,24,3.415928,27.8888,, 
46,TRUE,23,3.41572,22.7302,, 
47,TRUE,28,3.488744,32.2593,, 
48,TRUE,48,3.456896,29.8329,, 
49,TRUE,27,3.457064,22.093,, 
50,TRUE,25,3.457488,41.0568,, 
51,TRUE,43,3.4578,42.8587,, 
52,TRUE,24,3.458248,33.802,, 
53,TRUE,49,3.458104,38.1636,, 
54,TRUE,64,3.499224,23.5048,, 
55,TRUE,47,3.458752,30.2094,, 
56,TRUE,20,3.45888,35.2823,, 
57,TRUE,24,3.500424,34.3192,, 
58,TRUE,49,3.500064,23.0664,, 
59,TRUE,25,3.500312,19.6338,, 
60,TRUE,47,3.500312,40.409,, 
61,TRUE,60,3.500896,31.7154,, 
62,TRUE,23,3.5012,25.638,, 
63,TRUE,61,3.501992,18.7541,, 
64,TRUE,44,3.542048,18.8254,, 
65,TRUE,47,3.542232,24.0876,, 
66,TRUE,29,3.5428,38.2502,, 
67,TRUE,23,3.54288,41.0655,, 
68,TRUE,26,3.543304,29.5819,, 
69,TRUE,27,3.543696,37.2631,, 
70,TRUE,49,3.543312,31.628,, 
71,TRUE,25,3.543656,29.5117,, 
72,TRUE,48,3.584888,35.0465,, 
73,TRUE,26,3.585256,54.3165,, 
74,TRUE,43,3.585336,28.7761,, 
75,TRUE,28,3.586368,26.4106,, 
76,TRUE,28,3.586024,30.0458,, 
77,TRUE,47,3.58644,32.5357,, 
78,TRUE,43,3.586856,37.8986,, 
79,TRUE,61,3.586488,35.419,, 
80,TRUE,24,3.628,37.4789,, 
81,TRUE,25,3.628608,46.4473,, 
82,TRUE,61,3.627376,57.1938,, 
83,TRUE,36,3.628384,33.92,, 
84,TRUE,38,3.628496,34.2678,, 
85,TRUE,38,3.629016,36.1717,, 
86,TRUE,25,3.628776,55.0228,, 
87,TRUE,36,3.669944,47.3348,, 
88,TRUE,24,3.670592,41.0535,, 
89,TRUE,59,3.671048,40.6039,, 
90,TRUE,24,3.67136,37.1406,, 
91,TRUE,21,3.671688,37.8825,, 
92,TRUE,26,3.672192,47.3633,, 
93,TRUE,29,3.67216,41.3342,, 
94,TRUE,38,3.672032,53.7233,, 
95,TRUE,21,3.713456,72.1251,, 
96,TRUE,24,3.7136,35.5437,, 
97,TRUE,24,3.713128,61.8645,, 
98,TRUE,39,3.714248,64.9456,, 
99,TRUE,24,3.713888,39.0966,, 
100,TRUE,23,3.714816,49.878,, 
101,TRUE,38,3.715728,81.6585,, 
102,TRUE,46,3.715312,42.2608,, 
103,TRUE,47,3.756288,38.0143,, 
104,TRUE,62,3.75636,53.0269,, 
105,TRUE,45,3.757216,91.2413,, 
106,TRUE,63,3.758008,68.6846,, 
107,TRUE,50,3.75748,64.4354,, 
108,TRUE,26,3.757648,49.4938,, 
109,TRUE,48,3.75828,54.1176,, 
110,TRUE,21,3.78004,77.7172,, 
111,TRUE,27,3.780752,57.5477,, 
112,TRUE,28,3.77984,121.1497,, 
113,TRUE,60,3.780472,78.1415,, 
114,TRUE,47,3.823912,74.0194,, 
115,TRUE,62,3.821152,81.3785,, 
116,TRUE,61,3.819016,90.4731,, 
117,TRUE,25,3.81808,89.6532,, 
118,TRUE,60,3.850576,184.0845,, 
119,TRUE,20,3.817744,115.1131,, 
120,TRUE,49,3.849016,94.1857,, 
121,TRUE,49,3.850072,72.4505,, 
122,TRUE,61,3.849904,78.4568,, 
123,TRUE,37,3.849792,105.2156,, 
124,TRUE,37,3.851016,102.9119,, 
125,TRUE,47,3.884424,69.0633,, 
126,TRUE,50,3.885568,122.593,, 
127,TRUE,46,3.885704,76.6903,, 
128,TRUE,38,3.886248,83.1579,, 
129,TRUE,60,3.920216,121.5725,, 
130,TRUE,62,3.886728,137.2197,, 
131,TRUE,47,3.922176,107.1262,, 
132,TRUE,50,3.959504,191.1352,, 
133,TRUE,48,3.963336,211.5776,, 
134,TRUE,39,3.930072,150.644,, 
135,TRUE,38,3.99828,232.0318,, 
136,TRUE,22,3.968136,136.7013,, 
137,TRUE,45,4.005616,183.2577,, 
138,TRUE,61,4.00972,212.343,, 
139,TRUE,23,4.011592,227.4053,, 
140,TRUE,22,4.0862,218.9662,, 
141,TRUE,38,4.01872,245.569,, 
142,TRUE,25,4.054648,233.1262,, 
143,TRUE,29,4.130936,263.8681,, 
144,TRUE,23,4.218496,270.4833,, 
145,TRUE,27,4.076144,169.2269,, 
146,TRUE,48,4.11428,313.7693,, 
147,TRUE,49,4.116632,188.5694,, 
148,TRUE,24,4.197592,200.5512,, 
149,TRUE,62,4.248592,218.2596,, 
150,TRUE,20,4.09296,125.3016,, 
151,TRUE,47,4.20664,274.3319,, 
152,TRUE,22,4.213056,219.2212,, 
153,TRUE,23,4.300208,246.3156,, 
154,TRUE,47,4.186168,162.2565,, 
155,TRUE,40,4.3486,225.2862,, 
156,TRUE,47,4.238504,212.817,, 
157,TRUE,43,4.280424,216.6237,, 
158,TRUE,23,4.28516,186.3798,, 
159,TRUE,27,4.376992,197.9239,, 
160,TRUE,23,4.345832,277.6338,, 
161,TRUE,60,4.304552,267.362,, 
162,TRUE,48,4.48864,504.7265,, 
163,TRUE,62,4.421568,326.3835,, 
164,TRUE,24,4.28144,323.9963,, 
165,TRUE,25,4.45676,260.4066,, 
166,TRUE,45,4.429344,276.866,, 
167,TRUE,49,4.47956,295.3778,, 
168,TRUE,36,4.492928,230.5466,, 
169,TRUE,24,4.844512,258.7795,, 
170,TRUE,23,4.393672,226.6134,, 
171,TRUE,47,4.626952,268.3701,, 
172,TRUE,25,4.597776,218.5619,, 
173,TRUE,37,4.554064,216.0184,, 
174,TRUE,45,4.601032,189.7299,, 
