,Greedy Brute Force,,,,,
 #Sessions,Valid?, Score, RAM (MB), Time (ms),, 
1,TRUE,37,4.69988,20.5042,, 
2,TRUE,56,3.035088,11.3411,, 
3,TRUE,38,3.03544,5.1474,, 
4,TRUE,37,2.974136,3.3562,, 
5,TRUE,28,2.974552,9.8974,, 
6,TRUE,31,,4.9853,, 
7,TRUE,51,2.976264,4.8642,, 
8,TRUE,63,3.040936,9.2831,, 
9,TRUE,38,3.040808,13.2048,, 
10,TRUE,38,2.977592,5.8799,, 
11,TRUE,33,2.978144,8.2554,, 
12,TRUE,20,2.97796,2.0013,, 
13,TRUE,26,,2.1506,, 
14,TRUE,49,,1.7503,, 
15,TRUE,38,2.978992,4.671,, 
16,TRUE,26,2.978848,9.456,, 
17,TRUE,33,2.982424,3.0143,, 
18,TRUE,39,2.982048,6.1169,, 
19,TRUE,26,,2.3985,, 
20,TRUE,53,2.983,9.3852,, 
21,TRUE,28,2.982872,5.3751,, 
22,TRUE,49,2.983208,4.4282,, 
23,TRUE,51,2.983648,5.5273,, 
24,TRUE,25,3.046488,4.9967,, 
25,TRUE,35,3.047,49.0754,, 
26,TRUE,40,2.984,4.0047,, 
27,TRUE,50,2.984552,3.3645,, 
28,TRUE,23,2.98468,3.8851,, 
29,TRUE,32,2.984696,7.6004,, 
30,TRUE,50,3.300176,7.9612,, 
31,TRUE,27,3.30924,7.5049,, 
32,TRUE,27,3.43624,7.6626,, 
33,TRUE,29,3.488024,4.2014,, 
34,TRUE,47,3.538584,6.757,, 
35,TRUE,37,3.413184,6.6411,, 
36,TRUE,50,3.413456,4.1226,, 
37,TRUE,63,3.413664,4.8259,, 
38,TRUE,40,3.413624,7.5647,, 
39,TRUE,52,3.413784,7.2486,, 
40,TRUE,36,3.413856,7.4715,, 
41,TRUE,47,3.41412,9.0803,, 
42,TRUE,26,3.414432,7.7695,, 
43,TRUE,63,3.41488,6.4085,, 
44,TRUE,62,3.477456,8.9878,, 
45,TRUE,49,3.4148,6.0203,, 
46,TRUE,28,3.414968,11.3332,, 
47,TRUE,39,3.414608,9.4415,, 
48,TRUE,26,3.415248,11.1587,, 
49,TRUE,48,3.352224,9.4647,, 
50,TRUE,60,3.478672,9.8657,, 
51,TRUE,47,3.416816,15.7388,, 
52,TRUE,30,3.41736,7.5383,, 
53,TRUE,61,3.417232,15.5532,, 
54,TRUE,22,3.417528,11.0923,, 
55,TRUE,25,3.417784,17.7339,, 
56,TRUE,47,3.418184,9.1177,, 
57,TRUE,37,3.418024,11.8173,, 
58,TRUE,38,3.418032,10.5348,, 
59,TRUE,46,3.418664,12.7599,, 
60,TRUE,23,3.418288,9.6393,, 
61,TRUE,62,3.418416,11.8213,, 
62,TRUE,28,3.41868,11.5587,, 
63,TRUE,26,3.4188,18.0856,, 
64,TRUE,50,3.419384,9.9724,, 
65,TRUE,52,3.419032,21.879,, 
66,TRUE,38,3.4198,13.3167,, 
67,TRUE,46,3.419584,14.8041,, 
68,TRUE,50,3.4198,17.7572,, 
69,TRUE,45,3.420168,14.3243,, 
70,TRUE,51,3.420216,11.0953,, 
71,TRUE,40,3.42036,23.9861,, 
72,TRUE,24,3.420656,19.175,, 
73,TRUE,29,3.421208,28.6939,, 
74,TRUE,46,3.42072,19.6137,, 
75,TRUE,26,3.421296,17.3083,, 
76,TRUE,57,3.484792,11.9404,, 
77,TRUE,47,3.485824,21.4342,, 
78,TRUE,47,3.422392,15.1075,, 
79,TRUE,37,3.48592,18.773,, 
80,TRUE,25,3.422944,26.5678,, 
81,TRUE,27,3.486264,22.1904,, 
82,TRUE,49,3.42336,18.8703,, 
83,TRUE,54,3.48636,22.0905,, 
84,TRUE,46,3.4864,12.5969,, 
85,TRUE,45,3.48696,20.3677,, 
86,TRUE,63,3.48704,31.9857,, 
87,TRUE,51,3.48728,17.0698,, 
88,TRUE,29,3.487432,22.787,, 
89,TRUE,29,3.487432,16.3733,, 
90,TRUE,39,3.487848,13.9394,, 
91,TRUE,25,3.488072,35.3683,, 
92,TRUE,25,3.488144,28.2661,, 
93,TRUE,20,3.488168,21.0331,, 
94,TRUE,61,3.488592,16.5042,, 
95,TRUE,63,3.48864,22.5919,, 
96,TRUE,24,3.488696,28.66,, 
97,TRUE,60,3.426352,22.7046,, 
98,TRUE,48,3.489392,20.366,, 
99,TRUE,49,3.489424,20.4562,, 
100,TRUE,49,3.489632,23.4771,, 
101,TRUE,44,3.48976,26.8398,, 
102,TRUE,47,3.48984,13.4588,, 
103,TRUE,63,3.490096,29.5469,, 
104,TRUE,48,3.49016,14.5094,, 
105,TRUE,27,3.490288,18.5218,, 
106,TRUE,46,3.490464,30.8722,, 
107,TRUE,47,3.490864,20.2882,, 
108,TRUE,61,3.490824,28.9969,, 
109,TRUE,39,3.491008,38.5102,, 
110,TRUE,49,3.491096,30.6469,, 
111,TRUE,60,3.491528,24.1728,, 
112,TRUE,27,3.49164,23.5059,, 
113,TRUE,27,3.49208,23.5377,, 
114,TRUE,48,3.492432,20.4462,, 
115,TRUE,24,3.491968,30.4503,, 
116,TRUE,27,3.492432,24.4676,, 
117,TRUE,26,3.492432,28.4388,, 
118,TRUE,48,3.492832,26.4705,, 
119,TRUE,26,3.492672,23.4441,, 
120,TRUE,49,3.492952,28.3535,, 
121,TRUE,24,3.493664,34.055,, 
122,TRUE,25,3.493848,22.3664,, 
123,TRUE,47,3.4944,24.2863,, 
124,TRUE,20,3.493928,38.89,, 
125,TRUE,61,3.49456,27.4751,, 
126,TRUE,44,3.494296,38.4386,, 
127,TRUE,38,3.49444,18.9131,, 
128,TRUE,38,3.494712,41.7966,, 
129,TRUE,24,3.494736,43.4645,, 
130,TRUE,25,3.495232,40.9058,, 
131,TRUE,26,3.494976,27.5454,, 
132,TRUE,61,3.49544,23.4058,, 
133,TRUE,27,3.495768,41.8411,, 
134,TRUE,45,3.495544,25.6956,, 
135,TRUE,27,3.496048,57.5256,, 
136,TRUE,59,3.496184,24.4411,, 
137,TRUE,26,3.496944,35.9507,, 
138,TRUE,24,3.496944,35.5348,, 
139,TRUE,60,3.497168,27.8574,, 
140,TRUE,45,3.497528,33.0011,, 
141,TRUE,24,3.497224,34.0233,, 
142,TRUE,25,3.496768,18.7953,, 
143,TRUE,25,3.497344,38.5616,, 
144,TRUE,25,3.497304,31.9457,, 
145,TRUE,62,3.49744,44.36,, 
146,TRUE,45,3.497376,39.3769,, 
147,TRUE,24,3.498336,35.2967,, 
148,TRUE,35,3.498568,44.6557,, 
149,TRUE,60,3.498296,46.8592,, 
150,TRUE,27,3.498136,42.9103,, 
151,TRUE,24,3.499256,28.5844,, 
152,TRUE,22,3.499504,48.0957,, 
153,TRUE,49,3.499712,42.8705,, 
154,TRUE,49,3.498856,25.9116,, 
155,TRUE,47,3.499088,51.2021,, 
156,TRUE,25,3.49936,26.0809,, 
157,TRUE,64,3.49924,47.3366,, 
158,TRUE,39,3.499368,32.9151,, 
159,TRUE,25,3.499576,32.9788,, 
160,TRUE,50,3.49988,34.2171,, 
161,TRUE,60,3.499552,47.9916,, 
162,TRUE,48,3.500072,39.0445,, 
163,TRUE,48,3.500048,28.4541,, 
164,TRUE,26,3.500384,49.8549,, 
165,TRUE,49,3.500848,38.2365,, 
166,TRUE,50,3.500768,34.2957,, 
167,TRUE,39,3.501024,27.6492,, 
168,TRUE,38,3.501368,29.708,, 
169,TRUE,45,3.501648,28.0715,, 
170,TRUE,49,3.502584,40.4075,, 
171,TRUE,49,3.501784,49.0302,, 
172,TRUE,45,3.502176,49.8944,, 
173,TRUE,24,3.502552,33.1583,, 
174,TRUE,25,3.502616,64.0504,, 
175,TRUE,59,3.50312,39.2997,, 
176,TRUE,38,3.502768,41.5865,, 
177,TRUE,48,3.503232,40.743,, 
178,TRUE,58,3.503352,45.5664,, 
179,TRUE,24,3.503472,48.9327,, 
180,TRUE,25,3.503512,37.67,, 
181,TRUE,39,3.503968,45.0369,, 
182,TRUE,46,3.504048,46.0437,, 
183,TRUE,47,3.504128,40.7368,, 
184,TRUE,48,3.567296,30.9175,, 
185,TRUE,44,3.504672,37.9109,, 
186,TRUE,27,3.504704,54.1666,, 
187,TRUE,22,3.568168,28.4025,, 
188,TRUE,27,3.567952,56.0749,, 
189,TRUE,44,3.568424,30.9882,, 
190,TRUE,46,3.568168,59.8142,, 
191,TRUE,61,3.568872,54.5313,, 
192,TRUE,59,3.569104,48.9364,, 
193,TRUE,36,3.569072,53.2593,, 
194,TRUE,46,3.56928,56.3997,, 
195,TRUE,47,3.569208,43.9399,, 
196,TRUE,45,3.569224,63.1222,, 
197,TRUE,39,3.569736,58.0491,, 
198,TRUE,60,3.570008,54.6522,, 
199,TRUE,46,3.570064,61.492,, 
200,TRUE,49,3.570016,43.0814,, 
201,TRUE,50,3.570248,33.0516,, 
202,TRUE,45,3.57052,54.5953,, 
203,TRUE,36,3.570568,45.5022,, 
204,TRUE,28,3.570832,44.1512,, 
205,TRUE,24,3.570904,71.7663,, 
206,TRUE,24,3.571008,41.6899,, 
207,TRUE,39,3.571352,80.8678,, 
208,TRUE,49,3.571816,45.7063,, 
209,TRUE,25,3.571624,47.8477,, 
210,TRUE,47,3.571728,64.1223,, 
211,TRUE,23,3.571568,40.9704,, 
212,TRUE,26,3.572304,57.0244,, 
213,TRUE,38,3.572368,44.0481,, 
214,TRUE,26,3.5726,54.0673,, 
215,TRUE,49,3.572704,83.1172,, 
216,TRUE,47,3.572904,46.9087,, 
217,TRUE,48,3.573096,67.9992,, 
218,TRUE,23,3.573376,58.7262,, 
219,TRUE,48,3.57328,46.0343,, 
220,TRUE,65,3.57328,58.2083,, 
221,TRUE,24,3.573624,52.318,, 
222,TRUE,26,3.573648,64.1886,, 
223,TRUE,41,3.57364,64.6448,, 
224,TRUE,24,3.574168,69.6971,, 
225,TRUE,64,3.574536,87.9054,, 
226,TRUE,44,3.574592,55.3566,, 
227,TRUE,47,3.57472,49.0027,, 
228,TRUE,45,3.574632,95.6476,, 
229,TRUE,28,3.57504,48.7949,, 
230,TRUE,47,3.575088,51.8436,, 
231,TRUE,26,3.575848,47.5407,, 
232,TRUE,60,3.575664,79.2734,, 
233,TRUE,48,3.575672,71.2854,, 
234,TRUE,42,3.577992,55.0986,, 
235,TRUE,46,3.57772,62.2971,, 
236,TRUE,42,3.580056,73.2463,, 
237,TRUE,26,3.578392,74.2349,, 
238,TRUE,50,3.5782,65.0273,, 
239,TRUE,64,3.57816,73.6238,, 
240,TRUE,63,3.579456,59.3205,, 
241,TRUE,59,3.578824,70.7291,, 
242,TRUE,52,3.579008,40.0297,, 
243,TRUE,26,3.579024,79.0105,, 
244,TRUE,49,3.642392,60.7224,, 
245,TRUE,46,3.5796,58.5621,, 
246,TRUE,38,3.579872,74.9223,, 
247,TRUE,27,3.578808,60.6303,, 
248,TRUE,49,3.580864,60.0045,, 
249,TRUE,26,3.579328,83.0201,, 
250,TRUE,44,3.579312,44.2506,, 
251,TRUE,27,3.579168,50.8042,, 
252,TRUE,21,3.578752,71.4293,, 
253,TRUE,47,3.579584,77.618,, 
254,TRUE,44,3.579648,99.1609,, 
255,TRUE,22,3.580288,76.4878,, 
256,TRUE,46,3.643464,77.7027,, 
257,TRUE,46,3.64376,66.0709,, 
258,TRUE,62,3.580384,83.2583,, 
259,TRUE,43,3.64424,97.162,, 
260,TRUE,50,3.64388,106.7461,, 
261,TRUE,47,3.644128,53.8597,, 
262,TRUE,25,3.58124,70.3081,, 
263,TRUE,48,3.581016,88.6987,, 
264,TRUE,47,3.644568,62.8607,, 
265,TRUE,23,3.645312,56.5122,, 
266,TRUE,48,3.64508,83.4991,, 
267,TRUE,45,3.644744,53.6964,, 
268,TRUE,39,3.645104,71.6376,, 
269,TRUE,26,3.645544,92.2208,, 
270,TRUE,24,3.644768,45.5514,, 
271,TRUE,45,3.646016,60.7565,, 
272,TRUE,26,3.64624,77.0466,, 
273,TRUE,57,3.64572,70.8127,, 
274,TRUE,26,3.646616,79.543,, 
275,TRUE,45,3.64636,79.3339,, 
276,TRUE,47,3.646992,89.3859,, 
277,TRUE,25,3.647288,80.6896,, 
278,TRUE,23,3.646928,92.8287,, 
279,TRUE,48,3.647144,53.0549,, 
280,TRUE,48,3.647544,68.9887,, 
