Greedy Brute Force,,,,,,
Valid?, Score, RAM (MB), Time (ms), #Individuals, ,
true,48,4.699704,5.0528,4, ,
true,60,2.172488,0.831,4, ,
true,52,2.171304,0.4346,4, ,
true,59,2.171248,0.5592,4, ,
false,-1,2.234304,2.7455,5, ,
false,-1,2.229704,0.3882,5, ,
true,60,2.166776,0.5808,5, ,
true,58,2.233384,0.694,5, ,
true,64,2.170832,0.3078,6, ,
true,61,2.170952,0.2384,6, ,
true,47,2.170888,0.3061,6, ,
true,72,2.234112,0.4078,6, ,
true,62,2.234024,0.4189,7, ,
true,56,2.2346,0.2732,7, ,
true,74,0.0,0.5579,7, ,
true,58,2.17248,0.218,7, ,
true,60,2.17248,0.2919,8, ,
true,49,2.1726,0.2713,8, ,
true,52,2.172816,0.3085,8, ,
true,58,2.17288,0.4113,8, ,
true,46,2.172824,0.3302,9, ,
true,42,2.17304,0.5285,9, ,
true,56,2.17304,0.3558,9, ,
true,55,2.172928,0.3653,9, ,
true,50,2.173048,0.5535,10, ,
true,41,2.17316,0.297,10, ,
true,59,2.17304,0.341,10, ,
true,47,2.173168,0.2528,10, ,
true,51,2.173048,0.2665,11, ,
true,61,2.173184,0.3908,11, ,
true,45,2.173232,0.2676,11, ,
true,55,2.173464,1.5151,11, ,
true,57,0.0,0.7561,12, ,
true,54,2.17412,0.5965,12, ,
true,56,2.174,1.7465,12, ,
true,58,2.173944,0.4826,12, ,
true,67,0.0,0.4043,13, ,
true,54,2.174288,0.2457,13, ,
true,63,0.0,0.5079,13, ,
true,42,2.1744,0.3523,13, ,
true,50,2.174336,0.1884,14, ,
true,42,2.17428,0.6733,14, ,
true,73,2.174456,0.5213,14, ,
true,44,2.174392,0.2741,14, ,
true,55,2.174448,0.5329,15, ,
false,-1,2.174504,0.4322,15, ,
true,47,2.17056,0.2945,15, ,
true,58,0.0,0.2912,15, ,
true,54,2.174456,0.3843,16, ,
true,49,2.237576,0.4939,16, ,
true,61,2.175352,0.4108,16, ,
true,49,2.17552,0.2975,16, ,
true,58,2.175352,0.3167,17, ,
true,50,2.175576,0.2886,17, ,
true,58,2.17552,0.5073,17, ,
true,50,2.175344,0.3512,17, ,
true,54,2.23856,0.4187,18, ,
true,40,2.17596,0.266,18, ,
true,31,2.175912,0.1401,18, ,
true,45,2.176072,0.2432,18, ,
true,58,2.175904,0.166,19, ,
true,52,2.175912,0.2224,19, ,
true,55,2.175904,0.1396,19, ,
true,40,2.17596,0.2096,19, ,
true,67,2.17624,0.1881,20, ,
true,59,2.17624,0.1929,20, ,
true,57,2.177056,0.2125,20, ,
true,40,2.180336,0.1511,20, ,
true,55,2.180104,0.2747,21, ,
true,61,2.180616,0.2272,21, ,
true,45,2.180504,0.1852,21, ,
true,44,2.180384,0.1393,21, ,
true,57,2.18044,0.1366,22, ,
true,49,0.0,0.0944,22, ,
true,61,2.180784,0.1493,22, ,
true,51,2.18028,0.1259,22, ,
true,51,2.180496,0.1441,23, ,
true,51,2.180768,0.136,23, ,
true,55,2.18088,0.1454,23, ,
true,52,2.180544,0.216,23, ,
true,48,2.1806,0.1911,24, ,
true,52,2.181,0.1936,24, ,
true,51,2.180664,0.1423,24, ,
true,57,2.180944,0.1514,24, ,
true,58,2.180888,0.2989,25, ,
true,51,2.180832,0.1479,25, ,
true,58,2.181,0.2825,25, ,
true,64,2.181048,0.2663,25, ,
true,46,2.18088,0.1699,26, ,
true,48,2.181,0.2858,26, ,
true,47,2.181,0.213,26, ,
true,56,2.181112,0.2297,26, ,
true,54,2.18144,0.1869,27, ,
true,45,0.0,0.1721,27, ,
true,54,2.18156,0.1889,27, ,
true,50,0.0,0.3011,27, ,
true,62,2.181568,0.2617,28, ,
true,56,2.18156,0.1452,28, ,
true,51,2.181272,0.166,28, ,
true,50,2.181616,0.1954,28, ,
false,-1,2.18156,0.2846,29, ,
true,62,2.177784,0.2483,29, ,
true,62,0.0,0.1535,29, ,
true,63,0.0,0.1502,29, ,
true,43,2.244768,0.2163,30, ,
true,44,2.314792,0.2386,30, ,
true,59,2.285536,0.2162,30, ,
true,51,0.0,0.1672,30, ,
true,58,2.346528,0.1495,31, ,
true,48,2.387896,0.2593,31, ,
true,52,2.439624,0.1493,31, ,
true,58,2.444096,0.1221,31, ,
true,53,0.0,0.1477,32, ,
true,51,0.0,0.1366,32, ,
true,42,0.0,0.2521,32, ,
true,44,0.0,0.124,32, ,
true,51,2.45472,0.1446,33, ,
true,46,2.460672,0.1165,33, ,
true,49,0.0,0.1807,33, ,
true,51,0.0,0.1269,33, ,
true,45,0.0,0.1755,34, ,
true,61,0.0,0.1602,34, ,
true,54,0.0,0.1071,34, ,
true,53,0.0,0.2136,34, ,
true,43,0.0,0.1179,35, ,
true,47,0.0,0.1262,35, ,
true,58,0.0,0.1136,35, ,
true,48,2.576432,0.1634,35, ,
true,42,2.575408,0.1279,36, ,
true,53,0.0,0.0927,36, ,
true,51,0.0,0.1153,36, ,
true,61,0.0,0.1548,36, ,
true,53,2.58824,0.1011,37, ,
true,60,0.0,0.1892,37, ,
true,49,2.589528,0.1247,37, ,
true,54,2.665664,0.3646,37, ,
true,58,0.0,0.1088,38, ,
true,46,0.0,0.0883,38, ,
true,62,0.0,0.1033,38, ,
false,-1,2.67744,0.1971,38, ,
false,-1,2.714032,0.1501,39, ,
true,54,0.0,0.1695,39, ,
true,57,2.614408,0.14,39, ,
true,43,0.0,0.1276,39, ,
true,54,0.0,0.1203,40, ,
true,60,0.0,0.2535,40, ,
true,57,2.614792,0.1286,40, ,
true,56,2.614504,4.4288,40, ,
true,44,0.0,0.1205,41, ,
true,36,0.0,0.1524,41, ,
true,62,2.616136,0.1409,41, ,
true,49,0.0,0.1138,41, ,
true,49,0.0,0.1074,42, ,
true,59,0.0,0.1047,42, ,
true,55,0.0,0.152,42, ,
true,52,0.0,0.1781,42, ,
true,58,2.615904,0.1734,43, ,
true,61,2.616464,0.2288,43, ,
true,52,0.0,0.0981,43, ,
true,46,2.6158,0.1052,43, ,
true,60,0.0,0.1077,44, ,
true,58,0.0,0.1096,44, ,
true,51,0.0,0.1003,44, ,
true,59,0.0,0.106,44, ,
true,58,0.0,0.1114,45, ,
true,40,0.0,0.1453,45, ,
true,52,2.616424,0.127,45, ,
true,50,0.0,0.2541,45, ,
true,49,0.0,0.1201,46, ,
true,52,0.0,0.1306,46, ,
true,56,0.0,0.103,46, ,
true,54,0.0,0.1006,46, ,
true,50,0.0,0.3018,47, ,
true,43,0.0,0.1033,47, ,
true,48,0.0,0.2846,47, ,
true,39,0.0,0.2376,47, ,
true,52,2.616872,0.1814,48, ,
true,54,0.0,0.1353,48, ,
true,50,0.0,0.1217,48, ,
true,46,2.61704,0.1689,48, ,
true,56,2.616632,0.2089,49, ,
true,46,0.0,0.1256,49, ,
true,46,0.0,0.1461,49, ,
true,50,2.617248,0.1861,49, ,
true,59,0.0,0.1158,50, ,
true,49,0.0,0.1643,50, ,
true,60,0.0,0.1439,50, ,
true,53,0.0,0.1395,50, ,
true,57,0.0,0.158,51, ,
true,53,0.0,0.1905,51, ,
true,53,0.0,0.1242,51, ,
true,53,0.0,0.1468,51, ,
true,56,0.0,0.1691,52, ,
true,49,0.0,0.1002,52, ,
true,43,0.0,0.1707,52, ,
true,47,2.61736,0.1578,52, ,
true,56,0.0,0.1052,53, ,
true,56,0.0,0.1311,53, ,
true,41,0.0,0.0617,53, ,
true,62,0.0,0.1044,53, ,
true,60,0.0,0.1215,54, ,
true,49,0.0,0.1111,54, ,
true,47,0.0,0.11,54, ,
true,58,0.0,0.1527,54, ,
true,55,0.0,0.2793,55, ,
true,53,0.0,0.1049,55, ,
false,-1,2.618256,0.2041,55, ,
true,61,0.0,0.108,55, ,
true,42,0.0,0.1419,56, ,
