Brute Force,,,,,,
Valid?, Score, RAM (MB), Time (ms), #Individuals, ,
true,61,4.69992,4.969,4, ,
false,-1,2.337184,1.6251,4, ,
true,67,2.204672,0.892,4, ,
true,55,2.2712,0.7234,4, ,
true,55,2.208456,1.5463,5, ,
true,57,2.208624,1.7357,5, ,
true,64,2.271536,1.6215,5, ,
false,-1,2.208672,0.5162,5, ,
true,58,2.20504,0.6695,6, ,
true,56,2.208832,0.3705,6, ,
true,58,2.271944,0.5452,6, ,
true,56,2.209032,0.5757,6, ,
true,50,2.272176,0.2488,7, ,
true,64,2.210176,0.4699,7, ,
false,-1,2.2104,0.7788,7, ,
true,66,2.143608,0.625,7, ,
true,56,2.21012,0.4311,8, ,
true,53,2.210392,0.4016,8, ,
true,60,2.210464,0.4015,8, ,
true,60,2.21052,0.8497,8, ,
true,56,2.21064,0.4578,9, ,
true,49,2.210632,0.6895,9, ,
true,59,2.21068,0.2524,9, ,
true,53,2.210624,0.5198,9, ,
true,46,2.210632,0.3383,10, ,
true,56,2.210832,0.3655,10, ,
true,61,2.210736,0.4235,10, ,
true,52,2.273688,0.4161,10, ,
true,53,0.0,0.4203,11, ,
true,41,2.211112,0.3688,11, ,
true,60,2.211168,0.2583,11, ,
true,71,2.211688,0.4329,11, ,
true,51,2.211512,0.3899,12, ,
true,56,0.0,0.3251,12, ,
true,49,0.0,0.3562,12, ,
true,49,2.211976,0.5906,12, ,
true,53,2.21164,0.3263,13, ,
true,64,2.212024,0.8051,13, ,
true,66,2.211992,0.35,13, ,
true,46,2.21192,0.5345,13, ,
true,63,2.211872,0.2745,14, ,
true,51,2.212152,0.2171,14, ,
true,66,2.211976,0.3056,14, ,
true,48,2.21204,0.2907,14, ,
true,56,2.212152,0.2976,15, ,
true,53,2.212088,0.4028,15, ,
false,-1,2.212312,0.4383,15, ,
true,61,2.208416,0.4011,15, ,
true,47,2.275304,0.4521,16, ,
true,51,2.213448,3.4143,16, ,
true,52,2.21316,0.176,16, ,
true,56,2.213272,0.1613,16, ,
true,57,2.213096,0.1733,17, ,
true,57,2.276208,0.3618,17, ,
true,43,2.21372,0.1773,17, ,
true,49,2.213496,0.3081,17, ,
true,61,2.213496,0.3804,18, ,
true,59,2.213432,0.1819,18, ,
true,62,2.2136,0.2308,18, ,
true,54,2.2136,0.1665,18, ,
true,51,2.213664,0.2062,19, ,
true,59,2.213784,0.2612,19, ,
true,56,2.213664,0.1997,19, ,
true,57,2.21388,0.2925,19, ,
true,68,2.21372,0.2518,20, ,
false,-1,2.21372,0.2172,20, ,
true,60,2.21416,0.2935,20, ,
true,53,2.218048,0.199,20, ,
true,57,2.21788,0.1673,21, ,
true,51,2.218048,0.1689,21, ,
true,64,2.218112,0.141,21, ,
true,51,2.218104,0.1647,21, ,
true,58,2.218056,0.1933,22, ,
true,51,2.218048,0.1616,22, ,
true,69,2.217992,0.144,22, ,
true,43,2.218168,0.4203,22, ,
true,54,2.21828,0.2603,23, ,
true,50,0.0,0.1365,23, ,
true,58,2.218552,0.3241,23, ,
true,53,2.218432,0.307,23, ,
true,53,2.218264,0.2376,24, ,
true,55,2.218544,0.2562,24, ,
true,65,2.21848,0.178,24, ,
true,54,2.218696,0.1797,24, ,
true,61,2.21864,0.2613,25, ,
true,58,2.218624,0.2677,25, ,
true,54,2.218416,0.2896,25, ,
true,60,2.218688,0.2579,25, ,
true,57,2.218624,0.2447,26, ,
true,57,2.218864,0.2653,26, ,
true,53,2.218752,0.1464,26, ,
true,60,2.218752,0.2349,26, ,
true,72,2.218984,0.411,27, ,
true,48,2.218856,0.1923,27, ,
true,52,2.219032,0.2415,27, ,
true,65,2.218968,0.2524,27, ,
true,50,2.2192,0.2301,28, ,
true,67,2.218912,0.1997,28, ,
true,52,2.218808,0.2263,28, ,
true,55,2.219256,0.1631,28, ,
true,53,2.219368,0.2499,29, ,
true,60,2.219424,0.195,29, ,
true,53,2.219216,0.2578,29, ,
true,64,2.219584,0.1971,29, ,
true,55,2.282304,0.2379,30, ,
true,52,2.2196,0.22,30, ,
true,50,2.219552,0.2126,30, ,
true,57,2.219904,0.2395,30, ,
true,64,2.219736,0.2173,31, ,
true,57,2.219624,0.1943,31, ,
true,59,0.0,0.2357,31, ,
true,62,2.219504,0.2748,31, ,
true,57,2.219624,0.1309,32, ,
true,58,0.0,0.1988,32, ,
true,61,2.219728,0.2639,32, ,
true,42,2.219952,0.2466,32, ,
true,46,0.0,0.2597,33, ,
true,53,2.220304,0.2463,33, ,
true,55,2.219848,0.2162,33, ,
true,68,2.219896,0.2869,33, ,
true,51,2.220016,0.1851,34, ,
true,59,2.283136,0.2507,34, ,
true,52,0.0,0.2803,34, ,
true,48,2.22044,0.2757,34, ,
true,54,0.0,0.1308,35, ,
true,51,2.220544,0.1883,35, ,
true,59,0.0,0.2656,35, ,
true,58,2.22076,0.2037,35, ,
true,63,2.220696,0.2309,36, ,
true,62,2.220528,0.2227,36, ,
true,64,2.220688,0.2556,36, ,
true,66,2.220816,0.2301,36, ,
false,-1,2.220464,0.254,37, ,
true,53,2.217248,0.2016,37, ,
true,48,2.220648,0.2717,37, ,
true,45,2.22108,0.2332,37, ,
true,52,0.0,0.2317,38, ,
true,52,0.0,0.1677,38, ,
true,55,0.0,0.2937,38, ,
true,55,0.0,0.1931,38, ,
true,51,2.284184,0.2621,39, ,
true,61,2.290088,0.2565,39, ,
false,-1,0.0,0.2393,39, ,
true,50,0.0,0.1989,39, ,
true,44,0.0,1.2604,40, ,
true,57,2.415856,0.1775,40, ,
false,-1,0.0,0.3501,40, ,
true,54,2.478984,0.1647,40, ,
true,59,0.0,0.2597,41, ,
true,55,0.0,0.1765,41, ,
true,61,2.491384,0.2131,41, ,
true,51,2.50044,0.2924,41, ,
true,48,0.0,0.16,42, ,
true,56,0.0,0.1746,42, ,
true,55,0.0,0.1688,42, ,
true,52,2.53424,0.2075,42, ,
true,60,2.53552,0.206,43, ,
true,59,0.0,0.2252,43, ,
true,65,0.0,0.2269,43, ,
true,57,0.0,0.1691,43, ,
true,52,0.0,0.1843,44, ,
true,66,0.0,0.2713,44, ,
true,44,0.0,0.1627,44, ,
true,43,0.0,0.225,44, ,
true,54,0.0,0.2954,45, ,
true,49,0.0,0.238,45, ,
true,50,2.65192,0.2055,45, ,
true,57,2.6928,0.1656,45, ,
true,61,0.0,0.2861,46, ,
true,58,0.0,0.1925,46, ,
true,46,0.0,0.1779,46, ,
false,-1,0.0,0.2273,46, ,
true,59,0.0,0.1886,47, ,
true,55,0.0,0.1951,47, ,
true,52,0.0,0.2185,47, ,
true,53,0.0,0.255,47, ,
true,59,0.0,0.2093,48, ,
true,51,0.0,0.2202,48, ,
true,51,2.654328,0.2311,48, ,
true,56,2.654552,0.3072,48, ,
true,63,0.0,0.2204,49, ,
true,54,0.0,0.1883,49, ,
true,50,2.654624,0.3529,49, ,
true,51,2.654784,0.2221,49, ,
false,-1,2.654832,0.2847,50, ,
true,63,2.65116,0.1862,50, ,
true,55,2.6546,0.1727,50, ,
true,64,0.0,0.162,50, ,
true,52,2.654552,0.1775,51, ,
true,52,2.654928,0.1711,51, ,
true,59,2.655104,0.2461,51, ,
true,59,2.654592,0.213,51, ,
true,47,2.654776,0.1829,52, ,
true,47,0.0,0.1557,52, ,
true,58,0.0,0.1733,52, ,
true,52,2.655104,0.1824,52, ,
true,54,2.655216,0.2014,53, ,
true,67,2.655168,0.2557,53, ,
true,46,2.655104,0.2185,53, ,
true,45,2.655208,0.1915,53, ,
true,63,2.655088,0.1698,54, ,
false,-1,2.655496,0.2039,54, ,
true,65,0.0,0.1605,54, ,
true,59,0.0,0.2273,54, ,
true,55,0.0,0.3038,55, ,
true,64,2.655896,0.2477,55, ,
true,59,2.655608,0.259,55, ,
true,60,2.655832,0.2822,55, ,
true,56,0.0,0.153,56, ,
true,50,2.655376,0.1863,56, ,
true,65,2.655712,0.165,56, ,
true,55,2.655496,0.2885,56, ,
true,56,0.0,0.2157,57, ,
true,54,0.0,0.1769,57, ,
true,54,2.656176,0.2098,57, ,
true,64,2.655992,0.1624,57, ,
false,-1,2.655832,0.1644,58, ,
true,55,2.65236,0.202,58, ,
true,60,2.655992,0.1495,58, ,
true,60,2.656056,0.1964,58, ,
true,61,2.655832,0.1972,59, ,
true,57,2.656224,0.2073,59, ,
true,46,0.0,0.1539,59, ,
true,52,2.656064,0.2087,59, ,
true,66,2.656168,0.2574,60, ,
true,61,2.656056,0.2297,60, ,
false,-1,2.65584,0.3924,60, ,
true,50,2.652264,0.213,60, ,
true,62,2.656272,0.2382,61, ,
true,52,2.65616,0.1777,61, ,
true,54,2.656664,0.1315,61, ,
true,59,2.656536,0.1529,61, ,
true,46,0.0,0.2049,62, ,
true,64,2.656392,0.2337,62, ,
true,62,0.0,0.157,62, ,
true,55,0.0,0.1066,62, ,
true,54,2.656504,0.1958,63, ,
true,62,0.0,0.1271,63, ,
true,64,2.657,0.2092,63, ,
true,61,0.0,0.1106,63, ,
true,57,2.656736,0.1843,64, ,
true,57,2.656384,0.2033,64, ,
true,57,2.656728,0.1944,64, ,
true,64,2.65668,0.2578,64, ,
true,54,2.657,0.1723,65, ,
true,63,2.65712,0.1936,65, ,
true,57,2.656888,0.213,65, ,
true,65,2.657336,0.1504,65, ,
true,62,2.65644,0.2181,66, ,
true,55,2.656552,0.2329,66, ,
true,46,0.0,0.1063,66, ,
true,53,0.0,0.1355,66, ,
true,57,2.657512,0.2576,67, ,
true,55,2.65728,0.1869,67, ,
true,53,0.0,0.1614,67, ,
