Brute Force,,,,,,
Valid?, Score, RAM (MB), Time (ms), #Sessions, ,
true,57,4.194304,2.4741,1, ,
true,48,2.229616,0.3443,2, ,
true,53,2.102944,0.324,3, ,
true,70,2.103056,0.5201,4, ,
true,60,2.187056,0.4928,5, ,
true,56,2.187296,0.5062,6, ,
true,56,2.146128,0.87,7, ,
true,61,2.146184,0.4716,8, ,
true,51,2.146352,0.6278,9, ,
true,56,2.146576,0.5617,10, ,
true,53,2.146472,0.8176,11, ,
true,63,2.147,0.7565,12, ,
true,62,2.189816,0.7923,13, ,
true,62,2.190224,0.5605,14, ,
true,49,2.23248,0.6232,15, ,
true,52,2.190808,0.546,16, ,
true,47,2.190944,0.5788,17, ,
true,47,2.190824,0.6584,18, ,
true,50,0.0,0.9018,19, ,
true,62,2.233392,1.0691,20, ,
true,56,2.234392,0.6291,21, ,
true,55,2.234432,0.6553,22, ,
true,47,0.0,0.6882,23, ,
true,48,2.234832,0.7923,24, ,
true,56,2.235008,1.1865,25, ,
true,54,2.23512,0.7104,26, ,
true,59,2.23536,0.5954,27, ,
true,55,2.277688,4.6446,28, ,
true,50,2.27788,0.8274,29, ,
true,46,2.277536,0.6538,30, ,
true,62,2.278392,0.7122,31, ,
true,45,2.278528,0.7442,32, ,
true,43,2.278224,0.8983,33, ,
true,56,2.320752,0.6539,34, ,
true,44,2.320712,0.9231,35, ,


The DEFAULT parameters of the random test data: Days:5  Hours:8  Rooms:5  Sessions:12  Individuals:25 (Ignore for the specified parameter).
