Greedy Brute Force,,,,,Brute Force,,,,,Brute Force (Greedy Optimised),,,,,CSP Algorithm,,,,,CSP (Randomised Optimisation),,,,
Valid?,Score,RAM (MB),Time (ms),,Valid?,Score,RAM (MB),Time (ms),,Valid?,Score,RAM (MB),Time (ms),,Valid?,Score,RAM (MB),Time (ms),,Valid?,Score,RAM,Time (ms),
FALSE,0,0,0, ,TRUE,61,7.845424,76.4406, ,TRUE,63,54.170144,16349.7535, ,FALSE,0,0,0, ,FALSE,0,0,0, 
FALSE,0,0,0, ,TRUE,61,5.635824,9.9093, ,TRUE,62,43.638352,21813.1293, ,FALSE,0,0,0, ,FALSE,0,0,0, 
FALSE,0,0,0, ,TRUE,43,5.532616,7.561, ,TRUE,44,43.638984,18973.0956, ,FALSE,0,0,0, ,FALSE,0,0,0, 
FALSE,0,0,0, ,TRUE,36,5.42184,6.4353, ,TRUE,39,43.677896,18813.5041, ,FALSE,0,0,0, ,FALSE,0,0,0, 
FALSE,0,0,0, ,TRUE,65,5.41848,8.151, ,TRUE,66,43.644816,16733.1741, ,FALSE,0,0,0, ,FALSE,0,0,0, 
FALSE,0,0,0, ,TRUE,59,5.326776,5.5655, ,TRUE,60,43.644664,16761.7327, ,FALSE,0,0,0, ,FALSE,0,0,0, 
FALSE,0,0,0, ,TRUE,67,5.427504,6.058, ,TRUE,67,43.611416,16023.9241, ,FALSE,0,0,0, ,FALSE,0,0,0, 
FALSE,0,0,0, ,TRUE,38,5.221928,5.8215, ,TRUE,39,43.646536,15167.0201, ,FALSE,0,0,0, ,FALSE,0,0,0, 
FALSE,0,0,0, ,TRUE,62,5.431408,12.4414, ,TRUE,63,43.641176,153851.4378, ,FALSE,0,0,0, ,FALSE,0,0,0, 
FALSE,0,0,0, ,TRUE,62,5.528168,6.3243, ,TRUE,62,56.19424,19591.221, ,FALSE,0,0,0, ,FALSE,0,0,0, 
FALSE,0,0,0, ,TRUE,38,5.32712,6.1042, ,TRUE,40,60.460816,16626.9093, ,FALSE,0,0,0, ,FALSE,0,0,0, 
FALSE,0,0,0, ,TRUE,39,5.326424,7.4857, ,TRUE,41,56.233416,16721.3991, ,FALSE,0,0,0, ,FALSE,0,0,0, 
FALSE,0,0,0, ,TRUE,63,5.32164,5.3098, ,TRUE,65,53.118872,15590.1743, ,FALSE,0,0,0, ,FALSE,0,0,0, 
FALSE,0,0,0, ,TRUE,41,5.431208,6.6515, ,TRUE,42,53.083576,14823.2938, ,FALSE,0,0,0, ,FALSE,0,0,0, 
FALSE,0,0,0, ,TRUE,61,5.326664,7.6522, ,TRUE,61,43.609376,17731.4758, ,FALSE,0,0,0, ,FALSE,0,0,0, 
FALSE,0,0,0, ,TRUE,43,5.432008,7.6487, ,TRUE,43,43.610168,17466.0998, ,FALSE,0,0,0, ,FALSE,0,0,0, 
FALSE,0,0,0, ,TRUE,42,5.327944,5.4011, ,TRUE,43,43.64688,18561.7268, ,FALSE,0,0,0, ,FALSE,0,0,0, 
FALSE,0,0,0, ,TRUE,60,5.433008,5.6376, ,TRUE,63,43.679328,17498.3351, ,FALSE,0,0,0, ,FALSE,0,0,0, 
FALSE,0,0,0, ,TRUE,60,5.43236,5.8078, ,TRUE,62,43.688784,18453.5106, ,FALSE,0,0,0, ,FALSE,0,0,0, 
FALSE,0,0,0, ,TRUE,44,5.43264,6.2634, ,TRUE,44,53.049584,17275.9544, ,FALSE,0,0,0, ,FALSE,0,0,0, 
FALSE,0,0,0, ,TRUE,45,5.432256,5.9021, ,TRUE,47,43.643912,17299.0766, ,FALSE,0,0,0, ,FALSE,0,0,0, 
FALSE,0,0,0, ,TRUE,62,5.423896,5.6592, ,TRUE,64,43.6516,19246.6057, ,FALSE,0,0,0, ,FALSE,0,0,0, 
FALSE,0,0,0, ,TRUE,40,5.423712,6.6335, ,TRUE,42,43.681816,18592.6239, ,FALSE,0,0,0, ,FALSE,0,0,0, 
FALSE,0,0,0, ,TRUE,58,5.428432,6.2723, ,TRUE,60,56.231192,17733.9751, ,FALSE,0,0,0, ,FALSE,0,0,0, 
FALSE,0,0,0, ,TRUE,63,5.223472,5.982, ,TRUE,65,53.120872,12882.6264, ,FALSE,0,0,0, ,FALSE,0,0,0, 
FALSE,0,0,0, ,TRUE,56,5.428064,5.9705, ,TRUE,58,43.686168,16110.4467, ,FALSE,0,0,0, ,FALSE,0,0,0, 
FALSE,0,0,0, ,TRUE,47,5.328808,6.7763, ,TRUE,47,43.61308,19766.1818, ,FALSE,0,0,0, ,FALSE,0,0,0, 
FALSE,0,0,0, ,TRUE,47,5.3284,5.2383, ,TRUE,48,54.134168,17277.3428, ,FALSE,0,0,0, ,FALSE,0,0,0, 
FALSE,0,0,0, ,TRUE,46,5.324568,5.2372, ,TRUE,48,43.686192,17685.0295, ,FALSE,0,0,0, ,FALSE,0,0,0, 
FALSE,0,0,0, ,TRUE,62,5.327792,4.8137, ,TRUE,64,57.28172,18000.7534, ,FALSE,0,0,0, ,FALSE,0,0,0, 
FALSE,0,0,0, ,TRUE,40,5.430544,5.5615, ,TRUE,41,53.07928,19042.8175, ,FALSE,0,0,0, ,FALSE,0,0,0, 
FALSE,0,0,0, ,TRUE,61,5.217616,5.004, ,TRUE,61,43.612944,17544.0793, ,FALSE,0,0,0, ,FALSE,0,0,0, 
FALSE,0,0,0, ,TRUE,62,5.328832,4.7491, ,TRUE,63,43.649824,16687.8632, ,FALSE,0,0,0, ,FALSE,0,0,0, 
FALSE,0,0,0, ,TRUE,44,5.223536,5.0644, ,TRUE,44,43.60904,15020.0558, ,FALSE,0,0,0, ,FALSE,0,0,0, 
FALSE,0,0,0, ,TRUE,39,5.328816,5.4378, ,TRUE,40,53.083536,15360.9299, ,FALSE,0,0,0, ,FALSE,0,0,0, 
FALSE,0,0,0, ,TRUE,47,5.328528,5.5973, ,TRUE,48,53.086936,15089.2843, ,FALSE,0,0,0, ,FALSE,0,0,0, 
FALSE,0,0,0, ,TRUE,66,5.325016,5.5708, ,TRUE,66,43.610824,16077.9715, ,FALSE,0,0,0, ,FALSE,0,0,0, 
FALSE,0,0,0, ,TRUE,61,5.429944,6.0504, ,TRUE,61,59.33548,14818.2143, ,FALSE,0,0,0, ,FALSE,0,0,0, 
FALSE,0,0,0, ,TRUE,60,5.321384,4.9002, ,TRUE,63,53.083216,14779.131, ,FALSE,0,0,0, ,FALSE,0,0,0, 
FALSE,0,0,0, ,TRUE,42,5.328176,4.2298, ,TRUE,43,53.085048,16523.0785, ,FALSE,0,0,0, ,FALSE,0,0,0, 
