Greedy Brute Force,,,,,Brute Force,,,,,Brute Force (Greedy Optimised),,,,,CSP Algorithm,,,,,CSP (Randomised Optimisation),,,,
Valid?,Score,RAM (MB),Time (ms),,Valid?,Score,RAM (MB),Time (ms),,Valid?,Score,RAM (MB),Time (ms),,Valid?,Score,RAM (MB),Time (ms),,Valid?,Score,RAM,Time (ms),
FALSE,0,0,0, ,TRUE,60,13.088688,96.7481, ,FALSE,0,0,0, ,FALSE,-1,36.498976,515.8306, ,FALSE,0,0,0, 
FALSE,0,0,0, ,TRUE,37,12.856824,27.6902, ,FALSE,0,0,0, ,TRUE,35,90.776904,3312.3489, ,FALSE,0,0,0, 
FALSE,0,0,0, ,TRUE,65,12.661152,65.8713, ,FALSE,0,0,0, ,FALSE,-1,35.234504,97.3632, ,FALSE,0,0,0, 
FALSE,0,0,0, ,TRUE,38,43.535648,59.0093, ,FALSE,0,0,0, ,FALSE,-1,36.13592,103.8797, ,FALSE,0,0,0, 
FALSE,0,0,0, ,TRUE,59,40.135144,45.242, ,FALSE,0,0,0, ,FALSE,-1,34.66472,121.5392, ,FALSE,0,0,0, 
FALSE,0,0,0, ,TRUE,57,43.123872,69.7204, ,FALSE,0,0,0, ,TRUE,60,43.654848,2456.1569, ,FALSE,0,0,0, 
FALSE,0,0,0, ,TRUE,64,12.215104,45.4244, ,FALSE,0,0,0, ,FALSE,-1,36.576304,94.6616, ,FALSE,0,0,0, 
FALSE,0,0,0, ,TRUE,40,44.325368,40.8033, ,FALSE,0,0,0, ,FALSE,-1,34.8916,88.7687, ,FALSE,0,0,0, 
FALSE,0,0,0, ,TRUE,38,46.01232,50.173, ,FALSE,0,0,0, ,TRUE,38,42.54664,2052.9295, ,FALSE,0,0,0, 
FALSE,0,0,0, ,TRUE,62,13.041424,54.1684, ,FALSE,0,0,0, ,TRUE,64,54.107808,3372.2285, ,FALSE,0,0,0, 
FALSE,0,0,0, ,TRUE,35,12.861736,39.8353, ,FALSE,0,0,0, ,TRUE,38,53.281416,3236.5009, ,FALSE,0,0,0, 
FALSE,0,0,0, ,TRUE,58,12.309,44.4278, ,FALSE,0,0,0, ,FALSE,-1,37.654344,75.3627, ,FALSE,0,0,0, 
FALSE,0,0,0, ,TRUE,63,12.612488,41.725, ,FALSE,0,0,0, ,TRUE,61,43.392192,2043.6542, ,FALSE,0,0,0, 
FALSE,0,0,0, ,TRUE,62,12.121408,52.0279, ,FALSE,0,0,0, ,FALSE,-1,36.365576,89.8038, ,FALSE,0,0,0, 
