Greedy Brute Force,,,,,Brute Force,,,,,Brute Force (Greedy Optimised),,,,,CSP Algorithm,,,,,CSP (Randomised Optimisation),,,,
Valid?,Score,RAM (MB),Time (ms),,Valid?,Score,RAM (MB),Time (ms),,Valid?,Score,RAM (MB),Time (ms),,Valid?,Score,RAM (MB),Time (ms),,Valid?,Score,RAM,Time (ms),
FALSE,0,0,0, ,TRUE,61,13.592016,153.502, ,FALSE,0,0,0, ,FALSE,0,0,0, ,FALSE,,35.740128,722.6047, 
FALSE,0,0,0, ,TRUE,63,50.225136,220.1926, ,FALSE,0,0,0, ,FALSE,0,0,0, ,FALSE,,42.70352,309.8301, 
FALSE,0,0,0, ,TRUE,34,13.006384,57.1994, ,FALSE,0,0,0, ,FALSE,0,0,0, ,FALSE,,47.560648,235.0492, 
FALSE,0,0,0, ,TRUE,38,13.177336,92.4012, ,FALSE,0,0,0, ,FALSE,0,0,0, ,TRUE,37,49.35628,3580.0678, 
FALSE,0,0,0, ,TRUE,40,12.945496,94.3147, ,FALSE,0,0,0, ,FALSE,0,0,0, ,TRUE,39,49.485256,2563.8688, 
FALSE,0,0,0, ,TRUE,39,12.596184,32.4998, ,FALSE,0,0,0, ,FALSE,0,0,0, ,FALSE,,34.848616,106.3813, 
FALSE,0,0,0, ,TRUE,59,46.711416,28.6358, ,FALSE,0,0,0, ,FALSE,0,0,0, ,TRUE,60,47.873368,3327.6034, 
FALSE,0,0,0, ,TRUE,65,12.504648,49.1141, ,FALSE,0,0,0, ,FALSE,0,0,0, ,FALSE,,35.277816,384.7375, 
FALSE,0,0,0, ,TRUE,63,46.70492,117.8384, ,FALSE,0,0,0, ,FALSE,0,0,0, ,FALSE,,35.309176,153.6017, 
FALSE,0,0,0, ,TRUE,61,47.050672,53.0092, ,FALSE,0,0,0, ,FALSE,0,0,0, ,FALSE,,34.5178,165.5065, 
FALSE,0,0,0, ,TRUE,63,44.60048,42.9441, ,FALSE,0,0,0, ,FALSE,0,0,0, ,FALSE,,35.22508,111.6218, 
FALSE,0,0,0, ,TRUE,63,41.931408,43.4516, ,FALSE,0,0,0, ,FALSE,0,0,0, ,FALSE,,36.944288,128.7474, 
FALSE,0,0,0, ,TRUE,60,48.4824,47.5043, ,FALSE,0,0,0, ,FALSE,0,0,0, ,TRUE,60,46.342176,1567.2449, 
FALSE,0,0,0, ,TRUE,35,12.558376,24.4707, ,FALSE,0,0,0, ,FALSE,0,0,0, ,TRUE,35,44.559696,1179.5923, 
FALSE,0,0,0, ,TRUE,61,13.918152,29.0354, ,FALSE,0,0,0, ,FALSE,0,0,0, ,FALSE,,35.897184,81.0748, 
FALSE,0,0,0, ,TRUE,60,13.444392,30.47, ,FALSE,0,0,0, ,FALSE,0,0,0, ,TRUE,60,46.221736,1342.5534, 
FALSE,0,0,0, ,TRUE,39,13.933832,52.032, ,FALSE,0,0,0, ,FALSE,0,0,0, ,FALSE,,35.625048,97.8376, 
FALSE,0,0,0, ,TRUE,38,42.868728,38.5289, ,FALSE,0,0,0, ,FALSE,0,0,0, ,FALSE,,37.054464,108.49, 
FALSE,0,0,0, ,TRUE,37,12.82876,31.7605, ,FALSE,0,0,0, ,FALSE,0,0,0, ,TRUE,37,46.827856,1544.6488, 
FALSE,0,0,0, ,TRUE,41,13.439256,27.9248, ,FALSE,0,0,0, ,FALSE,0,0,0, ,TRUE,38,81.570296,1230.4866, 
FALSE,0,0,0, ,TRUE,67,12.625176,32.3199, ,FALSE,0,0,0, ,FALSE,0,0,0, ,TRUE,64,54.57088,1206.3497, 
FALSE,0,0,0, ,TRUE,60,13.437616,43.9373, ,FALSE,0,0,0, ,FALSE,0,0,0, ,TRUE,61,47.237496,1527.9956, 
FALSE,0,0,0, ,TRUE,61,53.968856,31.3706, ,FALSE,0,0,0, ,FALSE,0,0,0, ,FALSE,,36.345528,78.6947, 
FALSE,0,0,0, ,TRUE,40,44.113576,31.9329, ,FALSE,0,0,0, ,FALSE,0,0,0, ,TRUE,38,47.185912,1402.4256, 
FALSE,0,0,0, ,TRUE,36,13.63148,26.1475, ,FALSE,0,0,0, ,FALSE,0,0,0, ,FALSE,,34.378,83.8989, 
FALSE,0,0,0, ,TRUE,34,12.956208,29.5475, ,FALSE,0,0,0, ,FALSE,0,0,0, ,FALSE,,35.494072,97.5452, 
FALSE,0,0,0, ,TRUE,65,44.195024,38.4821, ,FALSE,0,0,0, ,FALSE,0,0,0, ,TRUE,63,48.160864,1713.5054, 
FALSE,0,0,0, ,TRUE,38,13.684176,28.5026, ,FALSE,0,0,0, ,FALSE,0,0,0, ,TRUE,37,48.093424,1489.6081, 
FALSE,0,0,0, ,TRUE,41,12.260408,28.8614, ,FALSE,0,0,0, ,FALSE,0,0,0, ,FALSE,,45.811728,84.2188, 
FALSE,0,0,0, ,TRUE,63,12.14208,24.1315, ,FALSE,0,0,0, ,FALSE,0,0,0, ,TRUE,63,48.650632,1424.6261, 
FALSE,0,0,0, ,TRUE,35,13.721392,34.77, ,FALSE,0,0,0, ,FALSE,0,0,0, ,TRUE,36,46.718,1238.1992, 
FALSE,0,0,0, ,TRUE,62,14.274632,31.5081, ,FALSE,0,0,0, ,FALSE,0,0,0, ,FALSE,,34.620016,89.637, 
FALSE,0,0,0, ,TRUE,38,37.10892,27.4845, ,FALSE,0,0,0, ,FALSE,0,0,0, ,FALSE,,36.867064,88.6736, 
FALSE,0,0,0, ,TRUE,62,13.22956,33.805, ,FALSE,0,0,0, ,FALSE,0,0,0, ,FALSE,,36.881824,95.876, 
FALSE,0,0,0, ,TRUE,38,13.323096,33.6114, ,FALSE,0,0,0, ,FALSE,0,0,0, ,TRUE,37,49.791432,1664.4967, 
FALSE,0,0,0, ,TRUE,41,13.164456,27.9912, ,FALSE,0,0,0, ,FALSE,0,0,0, ,FALSE,,34.932936,73.3057, 
FALSE,0,0,0, ,TRUE,37,13.566064,33.766, ,FALSE,0,0,0, ,FALSE,0,0,0, ,TRUE,37,47.185912,1464.1072, 
FALSE,0,0,0, ,TRUE,40,41.876736,34.5716, ,FALSE,0,0,0, ,FALSE,0,0,0, ,FALSE,,38.289176,75.7409, 
FALSE,0,0,0, ,TRUE,36,13.520736,32.8466, ,FALSE,0,0,0, ,FALSE,0,0,0, ,TRUE,36,48.564088,1566.2343, 
FALSE,0,0,0, ,TRUE,40,58.353856,25.2794, ,FALSE,0,0,0, ,FALSE,0,0,0, ,FALSE,,35.0638,75.2722, 
FALSE,0,0,0, ,TRUE,61,13.26728,26.9211, ,FALSE,0,0,0, ,FALSE,0,0,0, ,TRUE,60,46.353552,1517.9946, 
FALSE,0,0,0, ,TRUE,40,13.770296,28.5343, ,FALSE,0,0,0, ,FALSE,0,0,0, ,TRUE,39,51.833784,1361.4002, 
FALSE,0,0,0, ,TRUE,65,13.050744,39.8381, ,FALSE,0,0,0, ,FALSE,0,0,0, ,TRUE,63,49.511312,1677.5954, 
FALSE,0,0,0, ,TRUE,66,54.81352,22.8386, ,FALSE,0,0,0, ,FALSE,0,0,0, ,FALSE,,36.116952,83.8785, 
FALSE,0,0,0, ,TRUE,37,14.128248,33.9386, ,FALSE,0,0,0, ,FALSE,0,0,0, ,TRUE,37,47.208944,1467.2807, 
FALSE,0,0,0, ,TRUE,34,12.558808,23.7952, ,FALSE,0,0,0, ,FALSE,0,0,0, ,FALSE,,35.211616,73.0905, 
FALSE,0,0,0, ,TRUE,62,14.51832,30.5959, ,FALSE,0,0,0, ,FALSE,0,0,0, ,TRUE,62,48.12444,1504.9804, 
FALSE,0,0,0, ,TRUE,62,51.316424,25.2307, ,FALSE,0,0,0, ,FALSE,0,0,0, ,FALSE,,35.26676,74.6239, 
FALSE,0,0,0, ,TRUE,36,14.0316,29.4834, ,FALSE,0,0,0, ,FALSE,0,0,0, ,FALSE,,35.364832,78.6504, 
FALSE,0,0,0, ,TRUE,64,13.350992,37.0627, ,FALSE,0,0,0, ,FALSE,0,0,0, ,TRUE,62,47.73236,1250.1434, 
FALSE,0,0,0, ,TRUE,62,13.719568,28.3901, ,FALSE,0,0,0, ,FALSE,0,0,0, ,TRUE,59,48.12768,1374.2516, 
FALSE,0,0,0, ,TRUE,63,39.706688,35.8156, ,FALSE,0,0,0, ,FALSE,0,0,0, ,FALSE,,35.776048,76.5751, 
FALSE,0,0,0, ,TRUE,36,12.911208,24.3576, ,FALSE,0,0,0, ,FALSE,0,0,0, ,TRUE,36,47.114136,1239.0839, 
FALSE,0,0,0, ,TRUE,41,44.223176,37.6652, ,FALSE,0,0,0, ,FALSE,0,0,0, ,FALSE,,36.483576,77.9828, 
FALSE,0,0,0, ,TRUE,61,13.329096,28.742, ,FALSE,0,0,0, ,FALSE,0,0,0, ,TRUE,61,46.372264,1385.732, 
FALSE,0,0,0, ,TRUE,59,13.379776,26.241, ,FALSE,0,0,0, ,FALSE,0,0,0, ,TRUE,60,47.733768,1181.8595, 
FALSE,0,0,0, ,TRUE,65,13.602408,29.1219, ,FALSE,0,0,0, ,FALSE,0,0,0, ,TRUE,62,48.44636,1645.2444, 
FALSE,0,0,0, ,TRUE,37,43.162536,22.4432, ,FALSE,0,0,0, ,FALSE,0,0,0, ,TRUE,38,47.187584,1237.9361, 
FALSE,0,0,0, ,TRUE,62,13.53584,33.2299, ,FALSE,0,0,0, ,FALSE,0,0,0, ,TRUE,62,47.452496,1350.491, 
FALSE,0,0,0, ,TRUE,34,12.27376,38.5019, ,FALSE,0,0,0, ,FALSE,0,0,0, ,TRUE,35,55.573688,1314.1654, 
FALSE,0,0,0, ,TRUE,63,12.346064,27.3798, ,FALSE,0,0,0, ,FALSE,0,0,0, ,FALSE,,35.29068,71.2211, 
