Brute Force (Greedy Optimised),,,,,,
Valid?, Score, RAM (MB), Time (ms), #Individuals, ,
true,83,8.894,37.6695,4, ,
true,63,2.928064,3.6934,4, ,
true,79,4.689976,11.4423,4, ,
true,57,5.233472,18.1261,4, ,
true,63,4.501688,12.0454,5, ,
true,59,3.104424,4.51,5, ,
true,83,3.429072,7.4042,5, ,
true,54,3.864632,8.6804,5, ,
true,55,6.252384,17.3604,6, ,
true,59,5.99672,11.1596,6, ,
true,66,3.670624,4.9208,6, ,
true,64,5.463936,11.0625,6, ,
false,-1,3.718136,6.9521,7, ,
true,58,3.350504,4.8403,7, ,
true,54,4.183528,12.5398,7, ,
true,80,4.293056,7.7202,7, ,
false,-1,2.683816,2.3992,8, ,
true,69,3.79728,3.7861,8, ,
true,80,3.032608,1.6299,8, ,
true,69,3.132072,2.705,8, ,
true,60,5.181736,9.5539,9, ,
true,70,4.292968,6.9374,9, ,
false,-1,2.486824,1.6542,9, ,
true,63,4.915176,4.6027,9, ,
true,65,4.016496,4.6157,10, ,
true,64,5.232728,5.3205,10, ,
true,60,4.9792,11.5881,10, ,
true,60,4.46972,4.2615,10, ,
true,64,4.717936,4.3062,11, ,
true,68,3.768,4.9535,11, ,
true,69,5.232792,8.5559,11, ,
true,70,2.750632,1.4603,11, ,
true,67,5.232624,10.0774,12, ,
true,61,4.00548,7.0634,12, ,
true,69,4.815272,7.7998,12, ,
true,65,5.232912,7.8848,12, ,
true,68,4.478472,5.0438,13, ,
true,67,5.885856,5.6819,13, ,
true,67,3.787424,2.6541,13, ,
true,63,5.698936,6.2482,13, ,
true,64,4.278072,5.9047,14, ,
false,-1,3.810128,6.2053,14, ,
true,67,5.190888,7.3835,14, ,
true,75,3.116984,3.4409,14, ,
true,67,3.57156,2.4916,15, ,
true,64,4.487952,3.96,15, ,
true,63,5.233376,8.8121,15, ,
true,72,4.615952,10.1578,15, ,
true,62,3.242456,3.8303,16, ,
true,69,3.774624,4.2527,16, ,
true,62,2.932328,2.7551,16, ,
true,69,4.030088,3.9876,16, ,
true,63,3.190024,1.969,17, ,
true,70,5.23544,12.4174,17, ,
true,66,4.28952,4.7829,17, ,
true,71,4.76232,4.6911,17, ,
true,69,3.43764,3.7097,18, ,
true,69,3.370632,2.1591,18, ,
true,50,4.047488,4.0189,18, ,
true,59,2.427768,0.8206,18, ,
true,64,3.5266,3.8169,19, ,
true,65,3.740744,3.3786,19, ,
true,70,4.656864,7.9258,19, ,
true,68,5.235784,10.4151,19, ,
true,63,5.480976,14.3266,20, ,
true,70,4.03948,5.2309,20, ,
true,77,5.6222,7.5238,20, ,
true,65,6.987584,8.1689,20, ,
true,60,5.065992,4.3555,21, ,
true,60,4.35376,4.4322,21, ,
true,59,6.53732,10.6483,21, ,
true,63,4.89756,7.5502,21, ,
true,71,4.968064,6.9854,22, ,
true,60,5.043512,5.8956,22, ,
true,65,7.22208,13.7259,22, ,
true,74,3.922008,2.5883,22, ,
true,66,5.759992,10.2165,23, ,
true,68,4.162344,3.9393,23, ,
true,60,4.792568,6.7435,23, ,
true,59,7.042808,15.3634,23, ,
true,62,4.406336,6.2553,24, ,
true,66,4.874024,8.9719,24, ,
true,69,5.99628,9.3108,24, ,
true,59,5.527928,15.0088,24, ,
true,63,4.623424,7.3276,25, ,
true,62,6.110336,10.8323,25, ,
true,64,5.849024,10.346,25, ,
true,64,4.968104,7.8758,25, ,
true,69,5.379168,9.3947,26, ,
true,77,4.275552,5.7886,26, ,
false,-1,4.449904,6.8398,26, ,
true,62,6.89368,13.1608,26, ,
true,59,4.621216,5.8227,27, ,
true,65,4.621448,5.4909,27, ,
true,66,3.56976,3.1426,27, ,
true,67,5.668856,11.1724,27, ,
true,72,5.457784,11.0443,28, ,
true,64,5.768272,11.0989,28, ,
true,63,6.206328,15.0858,28, ,
true,66,4.110752,5.561,28, ,
true,59,4.377488,5.4664,29, ,
true,67,4.804144,3.9215,29, ,
true,59,4.5766,3.8595,29, ,
true,52,5.758248,9.9973,29, ,
true,61,4.954776,4.2796,30, ,
true,66,6.488912,11.7732,30, ,
