,Brute Force (Greedy Optimised),,, Time (ms),,
 #Individuals,Valid?, Score, RAM (MB),,, 
4,TRUE,57,78.266832,1298.8951,, 
5,TRUE,31,43.512448,1282.1847,, 
6,TRUE,56,56.095488,1079.2895,, 
7,TRUE,30,52.933656,870.6482,, 
8,TRUE,31,52.952432,1069.6097,, 
9,TRUE,56,52.950176,1104.1533,, 
10,TRUE,37,52.950352,1076.5096,, 
11,TRUE,51,52.951104,1161.3409,, 
12,TRUE,56,52.955752,1187.4725,, 
13,TRUE,61,58.200512,1158.4833,, 
14,TRUE,38,52.947,1129.7068,, 
15,TRUE,36,43.520456,1353.0568,, 
16,TRUE,30,43.520792,1260.8665,, 
17,TRUE,52,55.053424,1125.9196,, 
18,TRUE,57,52.964624,1403.0237,, 
19,TRUE,53,52.956832,1426.552,, 
20,TRUE,53,43.51724,1322.0636,, 
21,TRUE,58,52.95692,1354.2609,, 
22,TRUE,54,43.524864,1509.467,, 
23,TRUE,43,43.524448,1811.3909,, 
24,TRUE,44,43.522168,1738.3827,, 
25,TRUE,48,43.524912,1963.2319,, 
26,TRUE,57,43.516136,2048.3932,, 
27,TRUE,58,43.528416,1895.747,, 
28,TRUE,58,43.516512,1734.4242,, 
29,TRUE,71,43.534208,1798.7391,, 
30,TRUE,59,43.526992,1564.4581,, 
31,TRUE,56,43.530704,1575.8944,, 
32,TRUE,48,43.529208,1863.9788,, 
33,TRUE,57,43.531416,2057.6484,, 
34,TRUE,47,43.532936,1954.7348,, 
35,TRUE,46,43.52716,1699.7616,, 
36,TRUE,45,43.534304,2311.2073,, 
37,TRUE,43,43.531936,1821.6625,, 
38,TRUE,62,43.532512,2364.7813,, 
39,TRUE,41,43.53436,2063.8675,, 
40,TRUE,55,43.531984,2220.8143,, 
41,TRUE,63,43.537384,2276.1945,, 
42,TRUE,61,43.527216,1920.3048,, 
43,TRUE,43,43.535584,1993.5512,, 
44,TRUE,64,43.533408,2640.2367,, 
45,TRUE,48,43.53772,2589.3634,, 
46,TRUE,54,43.53788,2086.7197,, 
47,TRUE,51,43.53412,2114.8168,, 
48,TRUE,56,43.523696,2768.4759,, 
49,TRUE,62,43.529912,2222.1411,, 
50,TRUE,57,43.538888,2419.1247,, 
51,TRUE,48,43.527464,2644.4843,, 
52,TRUE,45,43.539032,1913.3371,, 
53,TRUE,47,43.540768,2922.9314,, 
54,TRUE,39,43.540264,2022.7597,, 
55,TRUE,59,43.540752,2373.3076,, 
56,TRUE,45,43.531576,3085.5214,, 
57,TRUE,43,43.517608,2880.0938,, 
58,TRUE,53,43.525408,3031.804,, 
59,TRUE,42,43.532664,2097.7796,, 
60,TRUE,56,43.538872,2550.4749,, 
61,TRUE,50,43.527584,3461.5615,, 
62,TRUE,57,43.538376,2342.4536,, 
63,TRUE,54,43.543,3546.6828,, 
64,TRUE,51,43.530232,2842.7876,, 
65,TRUE,54,43.542576,2594.4517,, 
66,TRUE,62,43.555632,3601.4165,, 
67,TRUE,55,43.538136,2470.8078,, 
68,TRUE,62,43.539496,2509.6148,, 
69,TRUE,53,43.52872,2706.0031,, 
70,TRUE,43,43.544032,3214.7244,, 
71,TRUE,54,43.54372,2838.3208,, 
72,TRUE,45,43.547552,2253.1865,, 
73,TRUE,45,43.547936,3005.8667,, 
74,TRUE,50,43.532648,4346.5058,, 
75,TRUE,43,43.548616,3760.3621,, 
76,TRUE,42,43.547168,2526.8978,, 
77,TRUE,55,43.55456,2618.4696,, 
78,TRUE,51,43.547184,2093.1783,, 
79,TRUE,56,43.528656,1848.833,, 
80,TRUE,49,43.544848,2954.2183,, 
81,TRUE,62,43.544792,3316.4189,, 
82,TRUE,43,43.548808,3383.4922,, 
83,TRUE,64,43.542496,2579.3654,, 
84,TRUE,53,43.546048,3299.6202,, 
85,TRUE,42,43.535936,2297.1887,, 
86,TRUE,40,43.535664,3050.513,, 
87,TRUE,43,43.551528,2475.9064,, 
88,TRUE,43,43.547152,3276.7754,, 
89,TRUE,64,43.538072,3041.1722,, 
90,TRUE,46,43.547584,3540.3761,, 
91,TRUE,52,43.55196,2798.0398,, 
92,TRUE,45,43.547576,2058.9836,, 
93,TRUE,57,43.5422,2713.5086,, 
94,TRUE,62,43.536528,1887.2204,, 
95,TRUE,41,43.557048,4290.2975,, 
96,TRUE,59,43.55064,4685.5115,, 
97,TRUE,57,7.80484,3567.7288,, 
98,TRUE,48,43.53396,2889.0495,, 
99,TRUE,59,43.556912,2878.0865,, 
100,TRUE,49,43.550104,4221.6531,, 
,,,,,,
,,,,,,
,The DEFAULT parameters of the random test data: Days:10  Hours:8  Rooms:10  Sessions:100  Individuals:100 (Ignore for the specified parameter).,,,,,
