CSP Algorithm,,,,,,Times (ms),,,,
Valid?, Score, RAM (MB), Time (ms), #Sessions, , Start, Modelled, Solved, Decoded,
false,-1,12.572776,274.6529,1, ,38.3547,297.0566,308.1085,308.6068,
true,38,3.278448,54.8406,2, ,321.736,356.8637,374.738,375.9749,
false,-1,2.91128,10.9465,3, ,387.6931,397.5073,398.5089,398.6041,
true,59,3.034864,25.7454,4, ,406.5111,417.3547,431.8554,432.1197,
true,41,2.851888,14.7368,5, ,442.4099,448.3859,456.9329,457.0649,
false,-1,3.173632,15.8036,6, ,464.5455,478.9204,480.1875,480.3243,
true,46,3.101832,36.451,7, ,488.6292,501.8908,524.7829,524.9533,
true,66,3.295672,30.4311,8, ,537.4978,544.2329,567.1497,567.5344,
true,56,3.171632,26.4741,9, ,578.7606,586.9071,604.8981,605.093,
false,-1,3.300624,10.1259,10, ,614.1909,622.8581,624.1293,624.2568,
false,-1,3.366736,7.9158,11, ,633.0393,640.0422,640.8464,640.9287,
true,57,3.407448,21.0497,12, ,649.3881,655.6448,670.1873,670.3532,
true,53,3.95308,47.2133,13, ,682.0814,692.3468,718.004,729.1727,
true,56,3.611248,30.5729,14, ,742.6438,747.8153,772.7407,773.0577,
true,47,3.630152,30.1615,15, ,786.1657,794.288,815.7773,816.1337,
true,49,4.620528,47.1319,16, ,837.1581,861.2259,884.0506,884.1974,
true,62,4.424592,27.711,17, ,896.8844,904.7676,924.384,924.5182,
false,-1,4.307464,12.1118,18, ,936.2208,947.2752,948.2118,948.2939,
false,-1,4.393792,14.8089,19, ,960.8892,973.4503,975.4847,975.6629,
false,-1,4.118376,9.8262,20, ,995.4102,1003.6143,1005.0612,1005.2017,
true,57,4.706392,49.4816,21, ,1025.9666,1036.7971,1074.9046,1075.2361,
false,-1,4.608816,9.1022,22, ,1092.8063,1100.7911,1101.7833,1101.8558,
false,-1,4.48852,10.3728,23, ,1113.5426,1121.8553,1123.7043,1123.8728,
false,-1,4.491072,12.559,24, ,1137.7752,1148.4221,1150.0763,1150.2981,
false,-1,4.595432,12.3472,25, ,1163.7961,1174.535,1175.8747,1176.0537,
false,-1,4.414144,17.8902,26, ,1196.0834,1211.8121,1213.6883,1213.9029,
true,47,5.154032,64.6088,27, ,1229.7881,1242.2291,1294.131,1294.2854,
false,-1,4.676808,10.2983,28, ,1306.9045,1315.9509,1317.0063,1317.1596,
false,-1,4.782432,10.7099,29, ,1334.9409,1344.093,1345.477,1345.6032,
true,62,5.327608,73.0443,30, ,1359.5699,1372.1187,1432.2955,1432.5137,

,,,,,,,19.322296,13.797606,0.595103,


The DEFAULT parameters of the random test data: Days:5  Hours:8  Rooms:5  Sessions:12  Individuals:25 (Ignore for the specified parameter).
