Greedy Brute Force,,,,,Brute Force,,,,,Brute Force (Greedy Optimised),,,,,CSP Algorithm,,,,,CSP (Randomised Optimisation),,,,
Valid?,Score,RAM (MB),Time (ms),,Valid?,Score,RAM (MB),Time (ms),,Valid?,Score,RAM (MB),Time (ms),,Valid?,Score,RAM (MB),Time (ms),,Valid?,Score,RAM,Time (ms),
FALSE,0,0,0, ,FALSE,0,0,0, ,FALSE,0,0,0, ,TRUE,37,43.396096,6892.3333, ,TRUE,38,44.857296,2130.3565, 
FALSE,0,0,0, ,FALSE,0,0,0, ,FALSE,0,0,0, ,FALSE,-1,30.261248,158.4559, ,FALSE,-1,43.687016,238.1676, 
FALSE,0,0,0, ,FALSE,0,0,0, ,FALSE,0,0,0, ,FALSE,-1,29.29784,245.8047, ,FALSE,-1,30.46632,192.427, 
FALSE,0,0,0, ,FALSE,0,0,0, ,FALSE,0,0,0, ,TRUE,36,39.929704,2615.2001, ,TRUE,37,49.457304,1563.0756, 
FALSE,0,0,0, ,FALSE,0,0,0, ,FALSE,0,0,0, ,TRUE,64,36.578296,3268.6528, ,TRUE,64,40.310872,1879.0628, 
FALSE,0,0,0, ,FALSE,0,0,0, ,FALSE,0,0,0, ,FALSE,-1,55.387592,106.4573, ,FALSE,-1,37.012328,120.5564, 
FALSE,0,0,0, ,FALSE,0,0,0, ,FALSE,0,0,0, ,TRUE,36,46.363168,4505.4602, ,TRUE,36,40.729096,1898.1213, 
FALSE,0,0,0, ,FALSE,0,0,0, ,FALSE,0,0,0, ,TRUE,60,50.272096,3371.484, ,TRUE,61,44.98612,1836.0855, 
FALSE,0,0,0, ,FALSE,0,0,0, ,FALSE,0,0,0, ,FALSE,-1,31.64516,106.7976, ,FALSE,-1,31.970168,94.4851, 
FALSE,0,0,0, ,FALSE,0,0,0, ,FALSE,0,0,0, ,FALSE,-1,31.43968,89.7574, ,FALSE,-1,31.212712,72.6217, 
FALSE,0,0,0, ,FALSE,0,0,0, ,FALSE,0,0,0, ,TRUE,63,38.8132,4815.4919, ,TRUE,63,46.88944,2314.3589, 
FALSE,0,0,0, ,FALSE,0,0,0, ,FALSE,0,0,0, ,TRUE,39,38.273104,3503.9902, ,TRUE,37,42.6406,1883.2155, 
FALSE,0,0,0, ,FALSE,0,0,0, ,FALSE,0,0,0, ,TRUE,63,38.596704,3411.7481, ,TRUE,61,42.354824,1473.4256, 
FALSE,0,0,0, ,FALSE,0,0,0, ,FALSE,0,0,0, ,TRUE,38,53.320696,4238.6667, ,TRUE,37,50.157864,2084.9939, 
FALSE,0,0,0, ,FALSE,0,0,0, ,FALSE,0,0,0, ,TRUE,62,43.769048,4354.3889, ,TRUE,60,41.199872,2141.9655, 
FALSE,0,0,0, ,FALSE,0,0,0, ,FALSE,0,0,0, ,FALSE,-1,31.409624,105.0856, ,FALSE,-1,39.490264,143.4435, 
FALSE,0,0,0, ,FALSE,0,0,0, ,FALSE,0,0,0, ,TRUE,38,74.935016,4002.3937, ,TRUE,35,43.46916,1753.6114, 
FALSE,0,0,0, ,FALSE,0,0,0, ,FALSE,0,0,0, ,FALSE,-1,31.324472,131.3705, ,FALSE,-1,32.38248,139.793, 
FALSE,0,0,0, ,FALSE,0,0,0, ,FALSE,0,0,0, ,TRUE,63,68.813104,3440.4864, ,TRUE,63,41.81912,1746.8361, 
FALSE,0,0,0, ,FALSE,0,0,0, ,FALSE,0,0,0, ,FALSE,-1,53.13196,86.9803, ,FALSE,-1,31.536832,79.9653, 
FALSE,0,0,0, ,FALSE,0,0,0, ,FALSE,0,0,0, ,FALSE,-1,32.502752,87.378, ,FALSE,-1,31.892096,97.8974, 
FALSE,0,0,0, ,FALSE,0,0,0, ,FALSE,0,0,0, ,TRUE,36,38.939144,2993.3005, ,TRUE,35,51.704904,1749.5184, 
FALSE,0,0,0, ,FALSE,0,0,0, ,FALSE,0,0,0, ,TRUE,61,40.293536,4015.7252, ,TRUE,62,42.099056,1957.7919, 
FALSE,0,0,0, ,FALSE,0,0,0, ,FALSE,0,0,0, ,FALSE,-1,31.477824,83.4862, ,FALSE,-1,32.343088,93.5206, 
FALSE,0,0,0, ,FALSE,0,0,0, ,FALSE,0,0,0, ,TRUE,39,46.272904,3829.5909, ,TRUE,37,40.142296,1871.766, 
FALSE,0,0,0, ,FALSE,0,0,0, ,FALSE,0,0,0, ,FALSE,-1,50.065968,90.4242, ,FALSE,-1,31.979864,92.8018, 
