CSP (Randomised Optimisation),,,,,,Times (ms),,,,
Valid?, Score, RAM (MB), Time (ms), #Individuals, , Start, Modelled, Solved, Decoded,
false,-1,26.174544,500.7016,4, ,43.2194,520.0075,536.291,536.6216,
false,-1,19.9546,181.1316,5, ,552.0924,727.1079,732.6849,732.8004,
true,52,38.939264,6348.917,6, ,752.6936,858.6283,7100.7102,7100.9885,
false,-1,22.528536,106.0915,7, ,7116.3501,7218.6938,7221.9215,7222.0418,
true,36,39.010008,6086.2236,8, ,7230.6784,7320.9226,13316.3996,13316.6314,
false,-1,19.751888,97.4808,9, ,13328.7592,13423.4914,13425.8698,13425.9545,
false,-1,41.197456,112.1503,10, ,13434.7242,13540.6304,13546.3183,13546.6426,
true,56,43.811896,5328.427,11, ,13559.8766,13676.3022,18887.6828,18888.0146,
true,55,36.845776,10034.8616,12, ,18906.5602,19087.8977,28940.5649,28941.123,
true,56,38.772544,7603.1006,13, ,28955.5137,29104.5082,36558.2595,36558.4377,
false,-1,24.234216,104.2874,14, ,36569.3498,36671.8699,36673.3841,36673.4602,
false,-1,27.943224,97.0706,15, ,36683.3714,36777.1229,36780.1998,36780.2897,
true,33,36.587216,5195.0577,16, ,36790.844,36897.4873,41977.6857,41977.9466,
false,-1,25.294352,126.5783,17, ,41997.2242,42122.0332,42123.5533,42123.6415,
false,-1,21.42932,88.0516,18, ,42135.6929,42222.442,42223.4444,42223.546,
false,-1,25.73872,102.9773,19, ,42237.1663,42338.2112,42339.8515,42339.947,
true,62,39.023016,6452.9082,20, ,42351.5982,42444.6543,48804.0915,48804.2615,
false,-1,26.27392,111.9746,21, ,48816.1891,48924.6223,48927.897,48927.9832,
true,33,38.783016,5945.7349,22, ,48938.5105,49020.2891,54883.7536,54884.037,
false,-1,28.256168,114.5224,23, ,54894.6418,55007.7314,55008.9702,55009.0771,
false,-1,43.31376,84.2264,24, ,55018.601,55100.8668,55102.5205,55102.5951,
false,-1,23.208888,87.6028,25, ,55113.0218,55199.3944,55200.3971,55200.4443,
false,-1,27.383568,85.515,26, ,55209.1628,55293.0341,55294.4792,55294.5467,
false,-1,36.144192,97.7261,27, ,55303.756,55398.6804,55401.2042,55401.2813,
false,-1,27.3828,78.9681,28, ,55408.7144,55486.4871,55487.4671,55487.5134,
true,37,41.103336,5857.5282,29, ,55495.3492,55583.5618,61352.2939,61352.6282,
true,35,43.137736,5693.6119,30, ,61368.2557,61610.1879,67061.5285,67061.7105,
false,-1,29.631472,112.1437,31, ,67074.1968,67184.4733,67186.1464,67186.2047,
false,-1,29.284608,93.8727,32, ,67195.4346,67286.824,67289.1427,67289.2197,
true,63,42.096568,6515.084,33, ,67300.4012,67396.5572,73815.232,73815.3911,
false,-1,32.112008,118.2633,34, ,73827.2598,73944.2316,73945.3167,73945.3642,
true,63,42.624968,5105.2258,35, ,73954.8934,74056.7427,79059.8486,79059.9883,
true,37,41.911248,4094.2483,36, ,79069.4622,79158.6756,83163.4797,83163.6281,
false,-1,32.312712,95.7737,37, ,83174.322,83268.6912,83269.9207,83270.0442,
true,61,43.716528,4940.9999,38, ,83279.1816,83378.821,88219.8484,88220.0807,
true,37,45.626976,6128.8566,39, ,88229.9657,88341.5725,94358.2681,94358.7239,
true,36,45.417904,6051.813,40, ,94376.5125,94563.0758,100427.6583,100427.8049,
false,-1,31.305808,105.0451,41, ,100438.5579,100542.1795,100543.4778,100543.5705,
true,58,46.101464,5268.9658,42, ,100552.927,100673.1059,105821.6109,105821.8064,
false,-1,33.044984,109.609,43, ,105832.9893,105941.3855,105942.5106,105942.5553,
false,-1,34.94568,111.5392,44, ,105951.4903,106060.6967,106062.8216,106062.9719,
true,61,46.528552,5226.0403,45, ,106072.2804,106177.6731,111298.09,111298.2221,
false,-1,37.110384,118.0377,46, ,111308.4144,111425.3897,111426.3288,111426.3953,
false,-1,35.9754,124.8594,47, ,111435.4008,111557.703,111560.1138,111560.213,
false,-1,33.784424,135.8724,48, ,111572.5741,111707.0247,111708.2993,111708.3624,
true,63,45.906776,4301.2493,49, ,111719.0796,111827.0462,116020.0084,116020.2135,
false,-1,44.24956,118.4054,50, ,116030.6406,116146.1334,116148.959,116149.0163,
true,60,47.2816,4923.4848,51, ,116158.1489,116249.682,121081.4705,121081.601,
false,-1,33.12964,106.4011,52, ,121092.1059,121197.6002,121198.4393,121198.4758,
false,-1,50.3856,92.5,53, ,121206.031,121297.615,121298.4522,121298.4941,
false,-1,39.760712,101.5591,54, ,121308.2058,121393.5721,121409.7017,121409.744,
true,35,47.37428,4480.5038,55, ,121418.1079,121521.0198,125898.454,125898.5776,
false,-1,37.324304,101.49,56, ,125908.0378,126008.6276,126009.4772,126009.5043,
true,39,50.055288,3171.6101,57, ,126018.2084,126102.5849,129189.6643,129189.7857,
true,41,49.2472,4210.7402,58, ,129198.9665,129293.061,133409.34,133409.6584,
false,-1,35.340456,117.5249,59, ,133419.3143,133535.7099,133536.7677,133536.8158,
true,59,49.144872,3091.8506,60, ,133547.1702,133665.6332,136638.8595,136638.9819,
true,39,50.260352,3603.2569,61, ,136647.8883,136729.6761,140248.8301,140251.0845,
false,-1,40.173088,90.4241,62, ,140260.1249,140349.6578,140350.5064,140350.5311,
true,57,54.039256,4476.1192,63, ,140358.191,140455.9378,144834.1405,144834.2674,
false,-1,36.429024,88.1504,64, ,144844.1375,144930.8313,144932.2286,144932.2709,
true,61,50.521544,3768.8634,65, ,144939.9387,145027.8117,148708.6324,148708.749,
false,-1,37.94624,91.0526,66, ,148718.5953,148808.6113,148809.5933,148809.6184,
true,40,52.733,6204.3664,67, ,148818.3092,148920.5914,155022.4971,155022.642,
true,37,52.907896,4526.359,68, ,155033.6511,155145.1329,159559.8401,159559.9706,
true,61,53.494952,3894.9403,69, ,159569.7941,159678.965,163464.5055,163464.6859,
false,-1,37.31368,94.9857,70, ,163475.7925,163569.7772,163570.7114,163570.7504,
true,35,84.54192,3565.1938,71, ,163578.34,163692.5025,167143.2969,167143.4984,
false,-1,38.871224,96.1329,72, ,167154.7485,167249.7902,167250.8346,167250.8593,
false,-1,36.650592,96.5926,73, ,167259.0308,167354.4109,167355.5758,167355.6024,
false,-1,37.726704,111.9916,74, ,167365.1836,167475.1074,167477.092,167477.1495,
true,62,96.61232,4817.947,75, ,167486.3636,167587.4029,172304.0319,172304.2734,
true,35,52.087776,3685.5758,76, ,172314.9976,172419.5026,176000.3668,176000.541,
false,-1,37.316416,111.1041,77, ,176010.202,176119.6718,176121.2433,176121.281,
true,61,57.153992,3620.8116,78, ,176130.2962,176247.3991,179750.9059,179751.0776,
false,-1,43.728248,96.3041,79, ,179760.7437,179855.9468,179857.0006,179857.0194,
true,38,57.280728,3538.1599,80, ,179864.3525,179959.6535,183402.2821,183402.471,
false,-1,40.313312,96.9603,81, ,183413.4178,183509.0583,183510.3275,183510.3582,
true,38,111.36644,3466.3962,82, ,183519.354,183609.9376,186985.5215,186985.7084,
false,-1,42.193392,108.4159,83, ,186997.8706,187105.011,187106.2249,187106.2652,
false,-1,42.060656,90.2711,84, ,187115.631,187204.6798,187205.851,187205.8743,
true,37,57.802488,3612.067,85, ,187214.7574,187317.5774,190826.6052,190826.7852,
false,-1,42.4632,105.2346,86, ,190837.1773,190940.8922,190942.3424,190942.3782,
false,-1,40.368904,97.0379,87, ,190952.4594,191048.5432,191049.4504,191049.4715,
false,-1,43.085184,117.7114,88, ,191058.8967,191175.0553,191176.5365,191176.5769,
false,-1,41.875944,95.6084,89, ,191187.3492,191281.2816,191282.8964,191282.9333,
false,-1,43.52092,110.3425,90, ,191291.9959,191400.3285,191402.2681,191402.3176,
false,-1,41.52104,109.1473,91, ,191413.0142,191521.1271,191522.1122,191522.1348,
true,59,94.795112,3718.0446,92, ,191531.2604,191641.4841,195249.0236,195249.2643,
