CSP (Randomised Optimisation),,,,,,Times (ms),,,,
Valid?, Score, RAM (MB), Time (ms), #Sessions, , Start, Modelled, Solved, Decoded,
true,78,14.646224,298.1673,1, ,35.4369,294.7494,327.890499,329.017699,
false,-1,36.621424,81.7536,2, ,348.832099,429.209399,430.3797,430.5105,
true,57,37.897472,231.5449,3, ,437.3348,474.5948,668.336499,668.675,
true,43,39.308288,207.9391,4, ,680.4846,737.4171,887.724699,888.2535,
true,37,22.269736,139.6699,5, ,902.295799,959.126899,1041.4669,1041.7974,
false,-1,35.246664,54.8766,6, ,1053.9134,1105.3816,1108.5688,1108.7214,
true,40,34.065456,216.442,7, ,1121.908,1169.7778,1337.5716,1338.2128,
false,-1,24.43588,47.7366,8, ,1350.622799,1396.3273,1398.182699,1398.3024,
true,38,29.96276,159.5745,9, ,1410.9757,1452.552299,1570.029,1570.378999,
true,64,29.019576,293.005401,10, ,1581.1046,1630.178,1872.6116,1873.6386,
true,59,25.321272,168.0236,11, ,1888.9884,1926.4934,2056.3215,2056.8955,
true,63,33.320136,264.1098,12, ,2066.8325,2118.1755,2330.2216,2330.7181,
true,62,25.404256,230.971901,13, ,2342.8887,2389.085799,2573.3401,2573.656799,
true,38,32.82332,368.2794,14, ,2582.761,2636.2721,2950.4867,2950.9487,
true,61,26.065192,411.2255,15, ,2962.8224,3020.8866,3373.2964,3373.7181,
true,62,32.401832,528.818,16, ,3384.2982,3428.121,3912.5999,3912.9729,
true,61,27.175936,573.965101,17, ,3925.234599,3977.5416,4498.5359,4498.9394,
true,62,27.989752,581.662,18, ,4510.5195,4564.7432,5091.5352,5092.0098,
false,-1,29.404768,56.0953,19, ,5105.5399,5160.509299,5161.4363,5161.5098,
true,60,27.238624,345.6699,20, ,5175.0841,5222.527,5520.2073,5520.615099,
true,60,27.022608,373.5031,21, ,5531.4304,5577.3626,5904.390899,5904.6976,
true,38,29.640672,704.352999,22, ,5916.6268,5979.9533,6620.4271,6620.8593,
true,40,29.129632,664.1225,23, ,6635.620299,6687.064999,7299.2573,7299.525199,
true,60,30.541576,616.213801,24, ,7309.5979,7361.2546,7925.249099,7925.6059,
true,61,28.82872,557.1982,25, ,7935.2287,7983.8839,8492.0564,8492.329899,
false,-1,24.26144,51.365899,26, ,8501.3649,8551.4668,8552.5657,8552.643999,
true,62,32.51416,716.199999,27, ,8562.290899,8619.750299,9277.8495,9278.3298,
false,-1,24.846144,49.6266,28, ,9289.9164,9338.042299,9339.2638,9339.3516,
false,-1,25.071728,55.2258,29, ,9349.7885,9403.4307,9404.7672,9404.8776,
true,36,30.11064,1118.7733,30, ,9414.5162,9475.6729,10532.9253,10533.1047,
true,41,29.559248,986.4447,31, ,10542.8675,10601.480999,11529.0502,11529.2171,
true,39,30.7062,660.048,32, ,11539.873,11587.898999,12199.6258,12199.8258,
true,59,31.479336,715.5374,33, ,12208.8144,12259.4975,12923.982,12924.2331,
true,61,34.346192,1037.932901,34, ,12934.0278,12985.0607,13971.677199,13971.8095,
true,57,35.171608,664.3712,35, ,13980.865499,14020.3496,14644.9246,14645.145799,
false,-1,28.327696,50.3365,36, ,14654.2364,14702.9234,14704.4049,14704.4641,
false,-1,25.395368,55.6109,37, ,14714.808,14769.4326,14770.234999,14770.2751,
false,-1,26.727952,63.218999,38, ,14778.8536,14840.807599,14841.8644,14841.9212,
false,-1,26.860056,71.316701,39, ,14852.5109,14922.156,14923.4078,14923.6029,
true,40,31.129944,967.1183,40, ,14934.7367,14994.2331,15901.4777,15901.6467,
false,-1,31.447048,45.072801,41, ,15911.1772,15955.3561,15956.1419,15956.1791,
true,64,29.209544,911.5081,42, ,15964.4692,16007.925299,16875.5028,16875.7676,
false,-1,27.519,66.981901,43, ,16890.579,16956.3168,16957.275599,16957.3263,
true,38,33.131352,1671.8379,44, ,16967.154999,17046.062,18638.5287,18638.7658,
false,-1,31.967176,67.817999,45, ,18654.6118,18720.9038,18722.1389,18722.2299,
false,-1,26.909672,80.4538,46, ,18734.8818,18813.482,18815.012,18815.151399,
true,64,35.205824,3075.7429,47, ,18828.9844,18983.6152,21904.3757,21904.5395,
false,-1,32.781712,75.2523,48, ,21914.3532,21988.5455,21989.4626,21989.5119,
true,64,33.756032,1684.7112,49, ,21996.951099,22055.4996,23681.418,23681.5567,
false,-1,36.9548,52.0857,50, ,23690.6036,23741.601099,23742.4636,23742.5231,
true,36,35.658648,1812.9738,51, ,23751.5442,23810.4798,25564.266599,25564.441,
false,-1,28.253416,54.1755,52, ,25574.4473,25627.8138,25628.5433,25628.5844,
false,-1,29.212904,58.7827,53, ,25637.0654,25694.9313,25695.747799,25695.791899,
true,58,33.993824,1726.865201,54, ,25704.475099,25768.383899,27431.119699,27431.2847,
false,-1,28.363088,52.3271,55, ,27440.0872,27491.5446,27492.351199,27492.3904,
true,64,35.232976,1976.7459,56, ,27499.8363,27558.621899,29476.3867,29476.510999,
false,-1,28.785408,59.3971,57, ,29485.5414,29543.8431,29544.849999,29544.8865,
true,35,35.441768,2016.527999,58, ,29552.3656,29609.8171,31568.6435,31568.8096,
true,67,36.312808,2277.348001,59, ,31578.0369,31635.222499,33855.2065,33855.3363,
false,-1,35.504808,70.553399,60, ,33865.393599,33935.032,33935.8335,33935.8844,
true,68,36.008344,2358.525801,61, ,33944.8366,34018.8647,36303.1599,36303.2954,
true,62,36.832088,1948.195601,62, ,36312.266299,36375.9073,38260.236799,38260.386799,
false,-1,29.012608,59.4901,63, ,38269.2909,38327.9353,38328.6884,38328.714499,
true,65,36.244792,3289.2052,64, ,38335.749099,38405.9612,41624.7628,41624.9058,
true,61,39.836224,2270.6227,65, ,41634.288199,41715.0511,43904.699899,43904.8536,
false,-1,27.570536,61.545901,66, ,43912.7945,43973.5379,43974.2517,43974.288899,
false,-1,32.862264,52.3341,67, ,43981.0306,44032.698499,44033.3154,44033.339099,
false,-1,33.268496,58.6887,68, ,44040.4356,44098.1731,44099.061199,44099.092999,
true,61,37.900176,2645.146301,69, ,44106.4989,44169.661,46751.3105,46751.5797,
true,60,39.017552,2174.908699,70, ,46768.9714,46922.1787,48943.641999,48943.757399,
false,-1,29.405672,70.255199,71, ,48952.322599,49021.209,49022.5186,49022.545699,
true,60,39.046064,3189.206501,72, ,49029.7084,49091.7762,52218.698299,52218.8758,
false,-1,29.730928,66.551,73, ,52227.557,52292.971299,52293.992399,52294.072499,
false,-1,28.746376,65.0675,74, ,52301.2987,52365.6003,52366.3162,52366.3421,
false,-1,30.65772,72.381701,75, ,52373.2735,52444.4536,52445.5701,52445.6128,
false,-1,29.43316,96.0985,76, ,52454.7314,52549.2902,52550.7259,52550.765899,
true,38,45.897496,3339.6103,77, ,52561.3363,52672.7652,55900.7299,55900.8516,
false,-1,30.916328,67.6184,78, ,55910.5753,55977.0375,55978.130599,55978.1799,
true,36,38.13168,3248.3186,79, ,55987.1591,56081.9746,59235.3207,59235.4379,
false,-1,29.257024,53.771599,80, ,59243.7573,59296.6213,59297.4861,59297.5117,
