CSP (Randomised Optimisation),,,,,,Times (ms),,,,
Valid?, Score, RAM (MB), Time (ms), #Sessions, , Start, Modelled, Solved, Decoded,
false,-1,13.59184,377.5132,1, ,48.5634,386.5809,-8.565385815206E8,-8.565385815206E8,
true,62,35.648048,309.1834,2, ,431.5069,536.8766,739.4845,740.4009,
true,63,38.241944,217.4287,3, ,751.7394,801.9132,967.8082,968.8249,
true,36,38.504712,220.7709,4, ,986.5065,1062.4769,1206.682,1207.132,
true,64,30.762304,185.1625,5, ,1217.7055,1264.8311,1402.1075,1402.6961,
false,-1,30.246792,40.7256,6, ,1414.1861,1453.7598,-8.565385815206E8,-8.565385815206E8,
true,43,35.99156,286.113,7, ,1467.9369,1531.2851,1753.1596,1753.8629,
true,38,31.289648,273.0958,8, ,1769.2737,1813.7398,2033.6639,2042.1182,
false,-1,33.803216,54.927,9, ,2056.3366,2109.5125,-8.565385815206E8,-8.565385815206E8,
true,60,28.923856,308.0078,10, ,2122.6907,2165.1294,2430.0725,2430.558,
false,-1,16.64048,76.6498,11, ,2443.0698,2515.5578,-8.565385815206E8,-8.565385815206E8,
true,62,26.154104,363.1557,12, ,2529.6432,2577.5815,2892.1449,2892.679,
false,-1,26.55844,53.0528,13, ,2904.816,2954.8445,-8.565385815206E8,-8.565385815206E8,
true,65,28.196248,393.4131,14, ,2969.7749,3017.008,3362.7244,3363.0979,
true,56,36.834552,415.0172,15, ,3375.7531,3435.2811,3790.216,3790.5747,
false,-1,27.834856,59.4089,16, ,3805.1913,3862.7748,-8.565385815206E8,-8.565385815206E8,
true,62,30.482576,560.0753,17, ,3874.5434,3923.6506,4434.0402,4434.5032,
true,40,26.454168,317.3674,18, ,4446.1166,4485.9271,4763.07,4763.381,
false,-1,16.863568,37.1028,19, ,4771.3594,4807.4075,-8.565385815206E8,-8.565385815206E8,
true,67,20.819832,674.0357,20, ,4816.2051,4906.2401,5489.926,5490.1484,
false,-1,35.810336,68.8291,21, ,5504.8625,5572.0789,-8.565385815206E8,-8.565385815206E8,
true,59,30.088672,1372.3012,22, ,5586.495,5680.1228,6958.1035,6958.6139,
false,-1,31.154544,80.0883,23, ,6974.3529,7052.0829,-8.565385815206E8,-8.565385815206E8,
false,-1,26.185768,86.8833,24, ,7065.0052,7149.0714,-8.565385815206E8,-8.565385815206E8,
true,39,27.976576,847.2357,25, ,7162.8772,7244.472,8009.4686,8009.9832,
