Greedy Brute Force,,,,,Brute Force,,,,,Brute Force (Greedy Optimised),,,,,CSP Algorithm,,,,,CSP (Randomised Optimisation),,,,
Valid?,Score,RAM (MB),Time (ms),,Valid?,Score,RAM (MB),Time (ms),,Valid?,Score,RAM (MB),Time (ms),,Valid?,Score,RAM (MB),Time (ms),,Valid?,Score,RAM,Time (ms),
FALSE,0,0,0, ,TRUE,38,5.24288,19.0041, ,TRUE,51,81.042112,6069.9323, ,FALSE,0,0,0, ,FALSE,0,0,0, 
FALSE,0,0,0, ,TRUE,54,4.458528,3.1787, ,TRUE,68,71.756536,699.8729, ,FALSE,0,0,0, ,FALSE,0,0,0, 
FALSE,0,0,0, ,TRUE,32,4.35488,3.1681, ,TRUE,47,62.38672,2289.9026, ,FALSE,0,0,0, ,FALSE,0,0,0, 
FALSE,0,0,0, ,TRUE,47,4.414352,2.372, ,TRUE,62,79.146624,2117.0493, ,FALSE,0,0,0, ,FALSE,0,0,0, 
FALSE,0,0,0, ,TRUE,48,4.560928,2.1666, ,TRUE,63,79.433168,3111.8797, ,FALSE,0,0,0, ,FALSE,0,0,0, 
FALSE,0,0,0, ,TRUE,64,4.418144,1.3416, ,TRUE,77,72.0632,5606.8952, ,FALSE,0,0,0, ,FALSE,0,0,0, 
FALSE,0,0,0, ,TRUE,61,4.271616,1.9278, ,TRUE,71,98.167888,6153.3553, ,FALSE,0,0,0, ,FALSE,0,0,0, 
FALSE,0,0,0, ,TRUE,63,4.270632,2.0965, ,TRUE,74,64.002816,6330.721, ,FALSE,0,0,0, ,FALSE,0,0,0, 
FALSE,0,0,0, ,TRUE,39,4.269552,1.9461, ,TRUE,56,69.7246,3234.0632, ,FALSE,0,0,0, ,FALSE,0,0,0, 
FALSE,0,0,0, ,TRUE,28,4.270128,1.2748, ,TRUE,45,70.018864,4365.5699, ,FALSE,0,0,0, ,FALSE,0,0,0, 
FALSE,0,0,0, ,TRUE,43,4.27012,1.3362, ,TRUE,55,63.99916,6322.9814, ,FALSE,0,0,0, ,FALSE,0,0,0, 
FALSE,0,0,0, ,TRUE,36,4.271688,1.3724, ,TRUE,50,78.355888,6854.719, ,FALSE,0,0,0, ,FALSE,0,0,0, 
FALSE,0,0,0, ,TRUE,59,4.418352,1.4644, ,TRUE,74,69.729904,5194.138, ,FALSE,0,0,0, ,FALSE,0,0,0, 
