Greedy Brute Force,,,,,Brute Force,,,,,Brute Force (Greedy Optimised),,,,,CSP Algorithm,,,,,CSP (Randomised Optimisation),,,,
Valid?,Score,RAM (MB),Time (ms),,Valid?,Score,RAM (MB),Time (ms),,Valid?,Score,RAM (MB),Time (ms),,Valid?,Score,RAM (MB),Time (ms),,Valid?,Score,RAM,Time (ms),
TRUE,46,5.20304,73.6917, ,TRUE,,,, ,FALSE,0,0,0, ,FALSE,0,0,0, ,FALSE,0,0,0, 
TRUE,64,3.136328,18.0849, ,TRUE,64,50.219648,38.213, ,FALSE,0,0,0, ,FALSE,0,0,0, ,FALSE,0,0,0, 
TRUE,23,3.135416,9.4471, ,TRUE,23,49.865064,41.4313, ,FALSE,0,0,0, ,FALSE,0,0,0, ,FALSE,0,0,0, 
TRUE,48,3.128232,16.6666, ,TRUE,48,49.889464,56.2149, ,FALSE,0,0,0, ,FALSE,0,0,0, ,FALSE,0,0,0, 
TRUE,30,3.12316,15.562, ,TRUE,30,48.068448,34.529, ,FALSE,0,0,0, ,FALSE,0,0,0, ,FALSE,0,0,0, 
TRUE,47,3.125296,11.6173, ,TRUE,47,47.719304,30.5857, ,FALSE,0,0,0, ,FALSE,0,0,0, ,FALSE,0,0,0, 
TRUE,27,3.095768,8.0554, ,TRUE,27,48.1202,26.4288, ,FALSE,0,0,0, ,FALSE,0,0,0, ,FALSE,0,0,0, 
TRUE,52,3.107544,10.3958, ,TRUE,52,50.213472,37.5986, ,FALSE,0,0,0, ,FALSE,0,0,0, ,FALSE,0,0,0, 
TRUE,41,3.1032,11.8789, ,TRUE,41,47.695944,28.2684, ,FALSE,0,0,0, ,FALSE,0,0,0, ,FALSE,0,0,0, 
TRUE,27,3.377728,10.7295, ,TRUE,27,48.310512,34.8465, ,FALSE,0,0,0, ,FALSE,0,0,0, ,FALSE,0,0,0, 
TRUE,29,3.531768,10.4181, ,TRUE,29,48.907008,30.7197, ,FALSE,0,0,0, ,FALSE,0,0,0, ,FALSE,0,0,0, 
TRUE,48,3.525424,8.2328, ,TRUE,48,48.85188,24.8577, ,FALSE,0,0,0, ,FALSE,0,0,0, ,FALSE,0,0,0, 
TRUE,31,3.531336,5.7465, ,TRUE,31,48.877128,22.2606, ,FALSE,0,0,0, ,FALSE,0,0,0, ,FALSE,0,0,0, 
TRUE,23,3.532568,8.8208, ,TRUE,23,48.824712,19.7124, ,FALSE,0,0,0, ,FALSE,0,0,0, ,FALSE,0,0,0, 
