Greedy Brute Force, , , , ,Brute Force, , , , ,Brute Force (Greedy Optimised), , , , ,CSP Algorithm, , , , ,CSP (Randomised Optimisation), ,
Valid?, Score, RAM (MB), Time (ms), ,Valid?, Score, RAM (MB), Time (ms), ,Valid?, Score, RAM (MB), Time (ms), ,Valid?, Score, RAM (MB), Time (ms), ,Valid?, Score, RAM, Time (ms), ,
true,58,4.16364,4.6957, ,true,63,2.201672,2.9569, ,true,70,2.894016,34.0974, ,true,61,5.316848,486.7508, ,true,64,4.058744,84.7406, ,
true,53,2.34952,0.5876, ,true,60,2.388656,0.9681, ,true,67,4.335384,20.6988, ,false,-1,3.601832,19.9209, ,false,-1,3.700912,11.8497, ,
true,42,0.0,0.2775, ,true,47,0.0,0.7044, ,true,64,3.391776,6.5697, ,false,-1,3.588296,10.9102, ,false,-1,3.560064,11.8262, ,
true,46,0.0,0.2446, ,true,48,2.804144,0.5717, ,true,60,3.935784,13.3567, ,false,-1,3.4484,9.048, ,false,-1,3.443232,5.6155, ,
true,48,0.0,0.2326, ,true,55,2.827296,0.357, ,true,65,3.49728,6.0519, ,false,-1,3.552184,11.4942, ,false,-1,3.546264,8.0951, ,
true,38,0.0,0.2623, ,true,47,2.82772,0.6646, ,true,56,4.847728,27.8374, ,true,38,3.580584,20.2908, ,true,49,3.865312,31.0016, ,
true,54,2.808528,0.3019, ,true,58,2.808072,0.343, ,true,65,3.617008,8.3777, ,true,58,3.785896,22.8845, ,true,64,4.115808,36.9075, ,
true,55,0.0,0.1987, ,true,57,2.807528,0.7348, ,true,66,3.54872,5.0857, ,true,51,3.688,16.2701, ,true,66,4.045824,34.0547, ,
true,51,0.0,0.2373, ,true,53,2.832568,0.4571, ,true,61,4.30752,12.2493, ,true,51,3.72424,16.1503, ,true,57,4.014912,23.0167, ,
true,49,0.0,0.1543, ,true,53,2.816592,0.267, ,true,65,3.608768,4.821, ,false,-1,3.688656,6.1633, ,false,-1,3.686648,6.3217, ,
true,55,0.0,0.1584, ,true,57,0.0,0.2926, ,true,60,4.685928,10.4285, ,true,56,3.844672,22.9146, ,true,57,4.094712,66.5191, ,
true,52,0.0,0.1631, ,true,58,0.0,0.2607, ,true,69,4.081824,7.2993, ,true,54,3.61664,12.6131, ,true,59,3.871832,18.8515, ,
true,58,0.0,0.1748, ,true,60,0.0,0.3045, ,true,63,4.1096,6.6444, ,false,-1,3.617544,6.0608, ,false,-1,3.612608,7.1093, ,
true,49,0.0,0.1368, ,true,49,0.0,0.3724, ,true,68,3.288816,2.9722, ,false,-1,3.540808,8.935, ,false,-1,3.515512,4.4066, ,
true,53,0.0,0.1382, ,true,61,0.0,0.3564, ,true,63,0.0,10.8129, ,false,-1,3.585104,9.9058, ,false,-1,3.756344,5.4106, ,
true,56,0.0,0.1696, ,true,61,0.0,0.3223, ,true,70,3.788256,5.247, ,true,59,3.868368,12.2517, ,true,58,4.13416,23.5736, ,
true,46,0.0,0.1029, ,true,52,0.0,0.3177, ,true,61,3.295096,2.4188, ,false,-1,3.509648,3.4108, ,false,-1,3.511912,3.7212, ,
true,46,0.0,0.1341, ,true,53,0.0,0.2378, ,true,61,3.42796,3.391, ,false,-1,3.72048,3.9907, ,false,-1,3.71744,4.6936, ,
true,55,0.0,0.2054, ,true,59,0.0,0.4049, ,true,72,3.534952,4.0951, ,false,-1,3.621216,5.7058, ,false,-1,3.615968,5.2671, ,
true,50,0.0,0.1498, ,true,57,0.0,0.2678, ,true,65,3.898184,4.8475, ,false,-1,3.594216,3.0563, ,false,-1,3.589152,2.2614, ,
true,44,0.0,0.1235, ,true,51,0.0,0.1865, ,true,67,3.968152,5.9192, ,false,-1,3.545672,6.0914, ,false,-1,3.543072,2.787, ,
true,54,0.0,0.1062, ,true,56,0.0,0.1866, ,true,69,3.615616,3.7148, ,true,58,3.633248,10.5673, ,true,65,3.899992,12.8704, ,
true,58,0.0,0.0764, ,true,60,0.0,0.1847, ,true,67,3.608448,2.2878, ,false,-1,3.684664,2.401, ,false,-1,3.677624,4.6572, ,
true,47,0.0,0.1071, ,true,48,0.0,0.208, ,true,55,4.145632,8.0254, ,true,57,3.700224,9.8453, ,true,50,4.002392,18.9326, ,
true,50,0.0,0.0982, ,true,54,0.0,0.1983, ,true,63,3.409808,2.144, ,true,53,3.580712,9.8675, ,true,66,3.845616,9.8826, ,
true,56,0.0,0.1006, ,true,54,0.0,0.2251, ,true,61,4.33284,11.0219, ,false,-1,3.567776,4.6533, ,false,-1,3.562768,4.3338, ,
true,57,0.0,0.115, ,true,57,0.0,0.1697, ,true,58,4.256384,6.5052, ,false,-1,3.715056,3.6192, ,false,-1,3.709216,4.4684, ,
true,61,0.0,0.1065, ,true,61,0.0,0.1998, ,true,70,3.845856,3.7553, ,false,-1,3.689304,4.1023, ,false,-1,3.686728,3.7164, ,
true,47,0.0,0.1782, ,true,49,0.0,0.1682, ,true,55,3.78572,5.0937, ,true,45,3.739792,8.9159, ,true,54,3.992376,8.5858, ,
true,53,0.0,0.1132, ,true,55,0.0,0.2022, ,true,57,4.50144,8.2447, ,false,-1,3.714624,3.7396, ,false,-1,3.709984,3.4855, ,
true,55,0.0,0.1487, ,true,62,0.0,0.2015, ,true,68,3.460424,4.0929, ,true,53,3.789912,8.5291, ,true,62,4.059448,14.6405, ,
true,47,0.0,0.088, ,true,54,0.0,0.1734, ,true,66,3.24844,2.2411, ,true,50,3.666864,7.1705, ,true,64,3.956608,11.587, ,
true,56,0.0,0.1071, ,true,61,0.0,0.1758, ,true,63,4.857936,10.5257, ,false,-1,3.598648,4.843, ,false,-1,3.599744,5.032, ,
true,48,0.0,0.1914, ,true,57,0.0,0.191, ,true,65,3.721336,4.6027, ,true,46,3.71368,8.1977, ,true,56,3.944376,5.9248, ,
true,50,0.0,0.096, ,true,53,0.0,0.2129, ,true,63,3.687816,3.0395, ,true,48,3.664168,10.1459, ,true,66,3.930696,7.7564, ,
true,48,0.0,0.1025, ,true,50,0.0,0.2325, ,true,66,3.133952,1.582, ,true,59,3.648768,10.1472, ,true,66,3.900968,9.9391, ,
true,54,0.0,0.1096, ,true,60,0.0,0.2123, ,true,72,3.186056,1.8815, ,true,52,3.804344,8.6171, ,true,66,4.085912,20.6681, ,
true,48,0.0,0.1019, ,true,58,0.0,0.2283, ,true,63,4.78756,10.0119, ,true,51,3.582664,4.1915, ,true,56,3.79316,10.5025, ,
true,47,0.0,0.1086, ,true,53,2.8322,0.2511, ,true,63,3.640056,2.4414, ,false,-1,3.6746,1.6033, ,false,-1,3.668616,2.6515, ,
true,60,0.0,0.0949, ,true,66,0.0,0.7186, ,true,72,4.301768,6.9181, ,true,60,3.676696,4.3611, ,true,68,3.885264,12.4801, ,
true,51,0.0,0.279, ,true,54,2.826768,0.2075, ,true,64,3.877424,5.947, ,true,46,3.416496,5.2518, ,true,58,3.611896,7.1633, ,
true,51,0.0,0.1029, ,true,55,0.0,0.8931, ,true,61,4.298496,7.4089, ,true,50,3.785984,9.7649, ,true,56,4.056632,25.0657, ,
true,60,0.0,0.1709, ,true,61,0.0,0.1973, ,true,67,4.366784,7.2459, ,false,-1,3.4384,2.3285, ,false,-1,3.437824,1.5236, ,
true,44,0.0,0.0973, ,true,46,0.0,0.1575, ,true,56,3.659496,2.9971, ,false,-1,3.465328,1.1581, ,false,-1,3.467688,1.5006, ,
true,50,0.0,0.1044, ,true,53,0.0,0.1993, ,true,57,4.460384,5.1525, ,true,56,3.69676,5.8078, ,true,57,4.001952,11.3493, ,
true,60,0.0,0.0829, ,true,64,0.0,0.2018, ,true,66,4.542976,7.0181, ,false,-1,3.64456,2.6008, ,false,-1,3.647392,2.1783, ,
true,45,0.0,0.0849, ,true,48,0.0,0.1015, ,true,56,4.636048,7.0406, ,true,34,3.546064,5.5589, ,true,53,3.821864,8.6056, ,
true,53,0.0,0.1442, ,true,56,0.0,0.1583, ,true,56,4.630824,6.8424, ,true,53,3.682936,5.7779, ,true,51,3.965584,8.9048, ,
true,39,0.0,0.0734, ,true,45,0.0,0.1671, ,true,53,4.3338,6.7597, ,false,-1,3.438624,1.3744, ,false,-1,3.435464,1.1118, ,
true,53,0.0,0.0898, ,true,58,0.0,0.1101, ,true,68,4.005256,2.9713, ,true,44,3.61436,3.7156, ,true,61,3.90836,9.428, ,
true,42,0.0,0.1196, ,true,49,0.0,0.2228, ,true,54,3.98024,3.8202, ,true,43,3.705224,11.9444, ,true,50,3.985048,4.8215, ,
false,-1,2.824592,0.4478, ,false,-1,2.821912,0.3836, ,false,-1,4.227856,9.9221, ,false,-1,3.589384,3.006, ,false,-1,3.58992,3.9525, ,
true,47,2.797744,0.4148, ,true,50,0.0,0.2687, ,true,62,3.51404,3.1381, ,true,49,3.61816,3.1279, ,true,58,3.878528,7.6175, ,
true,43,0.0,0.0583, ,true,47,0.0,0.1832, ,true,57,3.739992,2.3553, ,false,-1,3.548104,1.3483, ,false,-1,3.543504,1.0954, ,
true,53,0.0,0.1095, ,true,53,2.848496,0.2259, ,true,60,4.344256,6.3078, ,true,54,3.637216,7.3295, ,true,55,3.93708,6.3352, ,
true,61,0.0,0.1468, ,true,67,0.0,0.1472, ,true,72,4.787512,9.1065, ,true,62,3.474152,2.8797, ,true,64,3.739216,5.284, ,
true,57,0.0,0.14, ,true,57,2.83456,0.1919, ,true,62,4.275944,4.5294, ,true,52,3.511584,2.7476, ,true,53,3.812776,6.3824, ,
true,58,0.0,0.0889, ,true,62,0.0,0.132, ,true,66,4.033792,5.1489, ,false,-1,3.702016,1.6561, ,false,-1,3.69432,1.7373, ,
true,55,0.0,0.1734, ,true,61,0.0,0.1491, ,true,63,4.160712,3.512, ,false,-1,3.715152,1.0653, ,false,-1,3.714544,1.2038, ,
true,55,0.0,0.065, ,true,63,0.0,0.116, ,true,69,4.239648,3.4815, ,true,58,3.707224,3.0939, ,true,63,3.967328,7.3362, ,
true,47,0.0,0.1031, ,true,59,0.0,0.1596, ,true,66,3.956088,3.585, ,true,47,3.810608,4.5794, ,true,59,4.095112,10.5028, ,
true,53,0.0,0.1143, ,true,58,0.0,0.1879, ,true,68,4.404792,4.7158, ,true,48,3.618688,2.4032, ,true,60,3.880608,4.2145, ,
true,53,0.0,0.0718, ,true,59,0.0,0.097, ,true,63,4.584,7.6074, ,true,54,3.742856,3.976, ,true,55,4.026552,8.0975, ,
true,67,0.0,0.0773, ,true,70,0.0,0.1608, ,true,70,4.871368,6.4472, ,true,61,3.920656,5.3986, ,true,60,4.215168,9.2072, ,
true,55,0.0,0.064, ,true,63,0.0,0.1226, ,true,73,3.824296,2.4669, ,false,-1,3.610816,1.3022, ,false,-1,3.610184,1.5982, ,
true,54,0.0,0.057, ,true,60,0.0,0.0874, ,true,66,4.020408,2.8097, ,true,53,3.684728,2.7889, ,true,63,3.95748,3.976, ,
true,52,0.0,0.047, ,true,56,0.0,0.1662, ,true,67,3.740576,3.7787, ,false,-1,3.547928,1.1087, ,false,-1,3.544944,1.0097, ,
true,53,0.0,0.0524, ,true,61,0.0,0.1698, ,true,66,4.020016,3.6494, ,true,57,3.756328,3.2983, ,true,50,4.025392,7.6777, ,
