Greedy Brute Force, , , , ,Brute Force, , , , ,Brute Force (Greedy Optimised), , , , ,CSP Algorithm, , , , ,CSP (Randomised Optimisation), ,
Valid?, Score, RAM (MB), Time (ms), ,Valid?, Score, RAM (MB), Time (ms), ,Valid?, Score, RAM (MB), Time (ms), ,Valid?, Score, RAM (MB), Time (ms), ,Valid?, Score, RAM, Time (ms), ,
true,46,4.163712,4.4709, ,true,49,2.137008,2.1695, ,true,56,4.361408,38.6691, ,false,-1,5.36112,351.897, ,false,-1,3.117144,19.9866, ,
true,50,0.0,0.2163, ,true,54,2.376864,0.5394, ,true,58,4.3958,18.5707, ,false,-1,3.328312,24.6886, ,false,-1,3.315896,19.9793, ,
true,49,2.376136,0.2373, ,true,52,0.0,0.5354, ,true,61,3.977928,11.7513, ,true,51,3.25732,50.3637, ,true,49,3.514592,55.6473, ,
true,52,2.387448,0.636, ,true,51,2.387272,0.4603, ,true,56,3.75088,11.5311, ,false,-1,3.18116,8.5338, ,false,-1,3.441992,7.1523, ,
true,61,2.669568,0.4352, ,true,61,2.671216,0.7493, ,true,65,4.118144,9.5723, ,false,-1,3.786616,13.3971, ,false,-1,3.791584,5.8694, ,
true,53,2.821056,0.2624, ,true,55,2.824456,0.3649, ,true,57,5.393272,10.2029, ,false,-1,3.509128,5.8599, ,false,-1,3.494928,5.3336, ,
true,49,2.8184,0.2693, ,true,51,2.821408,0.4831, ,true,53,5.070984,13.7945, ,true,46,3.60472,16.964, ,true,48,3.86852,32.8119, ,
true,60,0.0,0.3411, ,true,61,2.81816,0.463, ,true,68,4.148952,5.6135, ,false,-1,3.588648,7.0668, ,false,-1,3.586048,7.733, ,
true,46,0.0,0.1571, ,true,47,2.81872,0.3906, ,true,56,3.37904,4.6657, ,true,47,3.547016,10.9088, ,true,55,3.768904,27.2332, ,
true,51,0.0,0.1522, ,true,56,2.819616,0.5325, ,true,63,4.640736,12.5176, ,true,57,3.5942,17.268, ,true,56,3.798104,34.4305, ,
true,46,0.0,0.2363, ,true,56,0.0,0.2653, ,true,61,4.711376,9.1016, ,false,-1,0.0,4.1119, ,false,-1,0.0,12.9615, ,
true,54,0.0,0.1499, ,true,58,0.0,0.3182, ,true,65,4.999744,11.5497, ,true,51,3.631864,14.9166, ,true,55,3.877656,20.2565, ,
true,46,0.0,0.115, ,true,49,0.0,0.2781, ,true,60,3.620792,6.7007, ,true,48,3.70452,22.6409, ,true,49,4.015656,27.8093, ,
true,51,0.0,0.1241, ,true,61,0.0,1.2415, ,true,65,5.191216,10.898, ,false,-1,3.676576,2.9653, ,false,-1,3.672712,4.3848, ,
true,49,0.0,0.2099, ,true,58,0.0,1.3585, ,true,67,4.0084,5.1119, ,true,53,3.743208,13.7626, ,true,62,4.078904,19.6358, ,
true,49,0.0,0.1026, ,true,54,0.0,0.196, ,true,69,3.741592,4.3287, ,true,50,3.70532,11.0167, ,true,60,3.945896,22.3817, ,
true,46,0.0,0.1376, ,true,49,0.0,0.1662, ,true,55,4.008448,5.6795, ,true,48,3.750104,9.0375, ,true,52,4.01252,13.0662, ,
true,38,0.0,0.0991, ,true,43,0.0,0.1757, ,true,55,4.727896,9.7361, ,true,42,3.626584,8.9034, ,true,50,3.944544,25.514, ,
true,49,0.0,0.1288, ,true,59,0.0,0.2031, ,true,66,4.599056,4.348, ,true,48,3.622984,12.7641, ,true,62,3.881376,17.3007, ,
true,53,0.0,0.1279, ,true,54,0.0,0.2323, ,true,62,4.994624,7.609, ,true,47,3.674216,8.412, ,true,52,3.941192,11.5853, ,
true,49,0.0,0.0805, ,true,53,0.0,0.1813, ,true,58,3.941544,4.7322, ,true,46,3.608248,7.1882, ,true,54,3.878648,13.0193, ,
true,42,0.0,0.1264, ,true,51,0.0,0.2041, ,true,62,3.205528,2.2753, ,true,51,3.8136,11.1854, ,true,56,4.0728,11.1949, ,
true,49,0.0,0.0836, ,true,55,2.828032,0.2463, ,true,58,4.507912,7.3924, ,false,-1,3.583288,4.6691, ,false,-1,3.580192,4.1806, ,
true,63,0.0,0.1151, ,true,64,0.0,0.2784, ,true,69,5.367832,10.7317, ,true,60,3.754344,8.996, ,true,51,4.01172,11.7235, ,
true,48,0.0,0.0859, ,true,54,0.0,0.2317, ,true,65,3.739272,4.7272, ,true,45,3.692432,7.569, ,true,61,3.946552,15.7933, ,
true,47,0.0,0.1091, ,true,53,0.0,0.1812, ,true,57,4.400616,5.0336, ,false,-1,3.674856,3.7938, ,false,-1,3.67092,5.6562, ,
true,54,0.0,0.1822, ,true,57,0.0,0.2031, ,true,62,4.400832,6.5781, ,true,54,3.956296,11.7232, ,true,52,4.235536,15.1816, ,
true,47,0.0,0.0943, ,true,52,0.0,0.1514, ,true,58,4.78976,7.6737, ,false,-1,3.54488,2.054, ,false,-1,3.542776,2.8028, ,
true,52,0.0,0.1126, ,true,52,0.0,0.226, ,true,64,3.34984,1.4406, ,true,53,3.64816,11.4617, ,true,64,3.947032,11.2775, ,
true,44,0.0,0.0835, ,true,53,0.0,0.1162, ,true,69,4.270848,6.8269, ,false,-1,3.5458,2.8512, ,false,-1,3.541608,1.8259, ,
true,51,0.0,0.1253, ,true,51,0.0,0.1575, ,true,63,3.609216,4.354, ,true,47,3.638064,10.5848, ,true,59,3.881776,9.3489, ,
true,50,0.0,0.1469, ,true,55,0.0,0.2295, ,true,65,3.609096,4.2189, ,true,42,3.68084,6.1121, ,true,62,3.882624,12.1408, ,
true,49,0.0,0.0813, ,true,55,0.0,0.2899, ,true,60,4.854488,5.743, ,true,50,3.753136,8.9574, ,true,55,4.079352,15.0247, ,
true,46,0.0,0.099, ,true,51,0.0,0.1367, ,true,60,4.33812,6.0144, ,true,43,3.6278,38.9079, ,true,56,3.884064,11.6214, ,
true,44,0.0,0.0814, ,true,51,0.0,0.1673, ,true,57,4.143608,3.2905, ,false,-1,3.54888,3.4846, ,false,-1,3.544104,2.3395, ,
true,56,0.0,0.1377, ,true,54,0.0,0.1755, ,true,63,4.273088,6.2102, ,true,52,3.678512,7.381, ,true,54,3.950032,10.2133, ,
true,46,0.0,0.1047, ,true,49,0.0,0.17, ,true,59,3.741512,4.5467, ,true,42,3.640216,7.4032, ,true,50,3.94884,10.8377, ,
true,44,0.0,0.1306, ,true,52,0.0,0.1801, ,true,59,4.403008,7.5149, ,false,-1,3.613104,3.6948, ,false,-1,3.608944,3.4799, ,
true,57,0.0,0.1196, ,true,59,0.0,0.1271, ,true,63,4.532728,6.9828, ,false,-1,3.679672,1.9779, ,false,-1,3.6734,2.659, ,
true,57,0.0,0.1124, ,true,61,0.0,0.227, ,true,71,3.884176,4.4459, ,true,58,3.833704,8.0605, ,true,62,4.176064,14.1125, ,
true,57,0.0,0.12, ,true,59,2.835384,0.2434, ,true,63,4.080568,5.7585, ,true,59,4.049272,10.7282, ,true,59,4.294,11.2608, ,
true,48,0.0,0.1093, ,true,55,0.0,0.2125, ,true,66,4.016424,6.1192, ,true,48,3.751328,8.5885, ,true,60,4.020352,15.538, ,
true,56,0.0,0.1065, ,true,56,0.0,0.2079, ,true,60,3.549264,5.5504, ,false,-1,3.886432,6.3866, ,false,-1,3.883536,4.1316, ,
true,50,0.0,0.0998, ,true,54,2.835688,0.2428, ,true,58,4.34032,6.1339, ,false,-1,3.614968,1.7968, ,false,-1,3.611584,3.5205, ,
true,49,0.0,0.1259, ,true,53,0.0,0.1411, ,true,63,3.484168,2.1061, ,true,54,3.691496,3.9532, ,true,59,4.018008,5.1317, ,
true,53,0.0,0.0947, ,true,64,0.0,0.1649, ,true,66,4.470024,8.1363, ,false,-1,3.743832,2.6565, ,false,-1,3.740672,1.7745, ,
true,58,0.0,0.1104, ,true,62,0.0,0.183, ,true,66,4.535056,5.7345, ,true,63,3.81224,7.2752, ,true,59,4.154624,12.7423, ,
true,61,0.0,0.1027, ,true,63,0.0,0.1672, ,true,71,4.470696,6.7909, ,true,62,3.552496,3.5102, ,true,67,3.759984,7.2874, ,
true,45,0.0,0.0822, ,true,54,0.0,0.1324, ,true,63,4.016936,5.8719, ,false,-1,3.614952,1.2724, ,false,-1,3.619528,1.4197, ,
true,60,0.0,0.1014, ,true,61,0.0,0.1047, ,true,62,4.935704,5.4557, ,false,-1,3.70128,1.4192, ,false,-1,3.698736,1.9237, ,
true,48,0.0,0.0586, ,true,54,0.0,0.1024, ,true,66,3.515568,1.7515, ,false,-1,3.64036,1.2866, ,false,-1,3.57436,2.3275, ,
true,38,0.0,0.0785, ,true,38,0.0,0.2551, ,true,58,3.267568,1.1025, ,true,48,3.672592,2.9317, ,true,66,3.947024,7.5061, ,
true,44,0.0,0.0984, ,true,55,2.833888,0.2234, ,true,60,4.503968,3.6886, ,true,47,3.819976,4.4877, ,true,52,4.075352,6.742, ,
true,52,0.0,0.0696, ,true,51,0.0,0.1713, ,true,57,4.38036,4.2448, ,true,53,3.717304,3.4929, ,true,54,3.945896,5.017, ,
true,51,0.0,0.0693, ,true,53,0.0,0.1569, ,true,68,3.76396,2.7341, ,false,-1,3.455088,0.8382, ,false,-1,3.450224,1.2079, ,
true,48,0.0,0.0944, ,true,52,0.0,0.2033, ,true,57,4.31828,5.3973, ,true,44,3.713976,4.6363, ,true,54,3.950224,7.4011, ,
false,-1,2.833584,0.5467, ,false,-1,2.83068,0.3296, ,false,-1,3.817192,3.9706, ,false,-1,3.574824,1.4448, ,false,-1,3.574824,1.6312, ,
