Greedy Brute Force, , , , ,Brute Force, , , , ,Brute Force (Greedy Optimised), , , , ,CSP Algorithm, , , , ,CSP (Randomised Optimisation), ,
Valid?, Score, RAM, Time, ,Valid?, Score, RAM, Time, ,Valid?, Score, RAM, Time, ,Valid?, Score, RAM, Time, ,Valid?, Score, RAM, Time, ,
true,54,0,18.4568, ,true,54,0,1.3199, ,true,54,0,0.9623, ,true,54,0,1.5565, ,true,54,0,0.8537, ,
true,54,0,0.9022, ,true,54,0,0.8867, ,true,54,0,0.8141, ,true,54,0,0.7722, ,true,54,0,0.751, ,
true,57,0,1.143, ,true,57,0,0.9524, ,true,57,0,0.9069, ,true,57,0,0.8433, ,true,57,0,0.9399, ,
true,49,0,0.4376, ,true,49,0,0.4324, ,true,49,0,0.5312, ,true,49,0,0.5887, ,true,49,0,0.587, ,
true,59,0,0.5816, ,true,59,0,0.5841, ,true,59,0,0.6041, ,true,59,0,0.6224, ,true,59,0,0.6754, ,
true,46,0,1.1193, ,true,46,0,0.658, ,true,46,0,0.7716, ,true,46,0,0.6061, ,true,46,0,0.9796, ,
true,55,0,0.7689, ,true,55,0,0.6772, ,true,55,0,0.6169, ,true,55,0,0.6665, ,true,55,0,0.6146, ,
true,54,0,0.6777, ,true,54,0,0.4958, ,true,54,0,0.6933, ,true,54,0,0.4669, ,true,54,0,0.5124, ,
true,54,0,0.5262, ,true,54,0,0.4932, ,true,54,0,0.5085, ,true,54,0,0.2807, ,true,54,0,0.2746, ,
true,62,0,0.2918, ,true,62,0,0.5962, ,true,62,0,0.3637, ,true,62,0,0.4718, ,true,62,0,0.5743, ,
true,54,0,0.5698, ,true,54,0,0.4989, ,true,54,0,0.5287, ,true,54,0,0.5003, ,true,54,0,0.5573, ,
true,45,0,0.5396, ,true,45,0,0.5312, ,true,45,0,0.5775, ,true,45,0,0.5367, ,true,45,0,0.4821, ,
true,49,0,0.4593, ,true,49,0,0.6257, ,true,49,0,0.5164, ,true,49,0,0.3866, ,true,49,0,0.3597, ,
true,54,0,0.4007, ,true,54,0,0.4863, ,true,54,0,0.4905, ,true,54,0,0.4496, ,true,54,0,0.2935, ,
true,62,0,0.2687, ,true,62,0,0.3933, ,true,62,0,0.5258, ,true,62,0,0.5417, ,true,62,0,0.3357, ,
