Greedy Brute Force, , , , ,Brute Force, , , , ,Brute Force (Greedy Optimised), , , , ,CSP Algorithm, , , , ,CSP (Randomised Optimisation), ,
Valid?, Score, RAM, Time (ms), ,Valid?, Score, RAM, Time (ms), ,Valid?, Score, RAM, Time (ms), ,Valid?, Score, RAM, Time (ms), ,Valid?, Score, RAM, Time (ms), ,
true,55,0,6.0523, ,true,55,0,1.0874, ,true,55,0,0.5199, ,true,55,0,0.5537, ,true,55,0,0.543, ,
true,58,0,1.0085, ,true,58,0,0.7156, ,true,58,0,0.4258, ,true,58,0,0.4373, ,true,58,0,0.4492, ,
true,55,0,0.4678, ,true,55,0,0.326, ,true,55,0,0.4993, ,true,55,0,0.4132, ,true,55,0,0.2968, ,
true,54,0,0.3779, ,true,54,0,0.3285, ,true,54,0,0.3275, ,true,54,0,0.4967, ,true,54,0,0.3532, ,
true,54,0,0.3122, ,true,54,0,0.3758, ,true,54,0,0.4346, ,true,54,0,0.32, ,true,54,0,0.2622, ,
true,44,0,0.2371, ,true,44,0,0.2477, ,true,44,0,1.0597, ,true,44,0,0.2399, ,true,44,0,0.2515, ,
true,52,0,0.2334, ,true,52,0,0.6662, ,true,52,0,0.3022, ,true,52,0,0.1863, ,true,52,0,0.1779, ,
true,56,0,0.1935, ,true,56,0,0.179, ,true,56,0,0.5677, ,true,56,0,0.2706, ,true,56,0,0.2161, ,
true,61,0,0.2272, ,true,61,0,0.2111, ,true,61,0,0.1982, ,true,61,0,0.2255, ,true,61,0,0.2091, ,
true,53,0,0.3854, ,true,53,0,0.4718, ,true,53,0,0.1984, ,true,53,0,0.1956, ,true,53,0,0.274, ,
false,-1,0,0.5837, ,false,-1,0,0.2091, ,false,-1,0,0.3197, ,false,-1,0,0.2425, ,false,-1,0,0.3019, ,
true,60,0,0.4051, ,true,60,0,0.1684, ,true,60,0,0.1775, ,true,60,0,0.1788, ,true,60,0,0.1715, ,
true,53,0,0.1535, ,true,53,0,0.1823, ,true,53,0,0.1376, ,true,53,0,0.1458, ,true,53,0,0.1709, ,
false,-1,0,28.1188, ,false,-1,0,0.2606, ,false,-1,0,0.2535, ,false,-1,0,0.2389, ,false,-1,0,0.2808, ,
true,59,0,0.1577, ,true,59,0,0.2167, ,true,59,0,0.1494, ,true,59,0,0.139, ,true,59,0,0.1987, ,
true,53,0,0.2104, ,true,53,0,0.1972, ,true,53,0,0.1712, ,true,53,0,0.1802, ,true,53,0,0.2252, ,
true,42,0,0.171, ,true,42,0,0.1688, ,true,42,0,0.1552, ,true,42,0,0.238, ,true,42,0,0.1592, ,
true,51,0,0.17, ,true,51,0,0.1626, ,true,51,0,0.1681, ,true,51,0,0.1717, ,true,51,0,0.1646, ,
true,44,0,0.1725, ,true,44,0,0.1868, ,true,44,0,0.2592, ,true,44,0,0.1652, ,true,44,0,0.1563, ,
true,48,0,0.2113, ,true,48,0,0.1486, ,true,48,0,0.1504, ,true,48,0,0.2497, ,true,48,0,0.1675, ,
true,60,0,0.1591, ,true,60,0,0.1315, ,true,60,0,0.1303, ,true,60,0,0.1328, ,true,60,0,0.1261, ,
true,64,0,0.1384, ,true,64,0,0.146, ,true,64,0,0.1323, ,true,64,0,0.1392, ,true,64,0,0.2116, ,
true,53,0,0.1419, ,true,53,0,0.1401, ,true,53,0,0.1725, ,true,53,0,0.1317, ,true,53,0,0.1513, ,
true,54,0,0.1116, ,true,54,0,0.1107, ,true,54,0,0.1008, ,true,54,0,0.0957, ,true,54,0,0.0984, ,
true,54,0,0.1894, ,true,54,0,0.0892, ,true,54,0,0.089, ,true,54,0,0.0848, ,true,54,0,0.1666, ,
true,52,0,0.1273, ,true,52,0,0.1256, ,true,52,0,0.1217, ,true,52,0,0.121, ,true,52,0,0.1212, ,
true,45,0,0.1135, ,true,45,0,0.2513, ,true,45,0,0.1179, ,true,45,0,0.1303, ,true,45,0,0.1271, ,
true,43,0,0.1708, ,true,43,0,0.1006, ,true,43,0,0.1097, ,true,43,0,0.105, ,true,43,0,0.096, ,
true,51,0,0.1039, ,true,51,0,0.0971, ,true,51,0,0.0939, ,true,51,0,0.1212, ,true,51,0,0.1163, ,
true,60,0,0.1424, ,true,60,0,0.2803, ,true,60,0,0.1318, ,true,60,0,0.142, ,true,60,0,0.1661, ,
true,38,0,0.0933, ,true,38,0,0.1386, ,true,38,0,0.3314, ,true,38,0,0.0983, ,true,38,0,0.0963, ,
true,55,0,0.0988, ,true,55,0,0.0876, ,true,55,0,0.0914, ,true,55,0,0.0924, ,true,55,0,0.0939, ,
true,54,0,0.2709, ,true,54,0,0.0841, ,true,54,0,0.0638, ,true,54,0,0.0668, ,true,54,0,0.0483, ,
true,47,0,0.0837, ,true,47,0,0.0585, ,true,47,0,0.0765, ,true,47,0,0.1585, ,true,47,0,0.1021, ,
true,50,0,0.0617, ,true,50,0,0.0507, ,true,50,0,0.0494, ,true,50,0,0.062, ,true,50,0,0.047, ,
true,46,0,0.1493, ,true,46,0,0.0641, ,true,46,0,0.0556, ,true,46,0,0.0543, ,true,46,0,0.0543, ,
true,46,0,0.0549, ,true,46,0,0.0605, ,true,46,0,0.046, ,true,46,0,0.047, ,true,46,0,0.0432, ,
true,50,0,0.0496, ,true,50,0,0.0467, ,true,50,0,0.0608, ,true,50,0,0.0439, ,true,50,0,0.043, ,
