Greedy Brute Force, , , , ,Brute Force, , , , ,Brute Force (Greedy Optimised), , , , ,CSP Algorithm, , , , ,CSP (Randomised Optimisation), ,
Valid?, Score, RAM, Time (ms), ,Valid?, Score, RAM, Time (ms), ,Valid?, Score, RAM, Time (ms), ,Valid?, Score, RAM, Time (ms), ,Valid?, Score, RAM, Time (ms), ,
true,56,0,20.9574, ,true,56,0,0.7301, ,true,56,0,0.4641, ,true,56,0,0.484, ,true,56,0,0.4592, ,
true,51,0,0.3673, ,true,51,0,0.4492, ,true,51,0,0.5478, ,true,51,0,1.2453, ,true,51,0,0.568, ,
true,53,0,0.805, ,true,53,0,0.632, ,true,53,0,0.5798, ,true,53,0,0.6011, ,true,53,0,0.4634, ,
true,47,0,0.495, ,true,47,0,0.5525, ,true,47,0,0.3684, ,true,47,0,0.3603, ,true,47,0,0.3553, ,
true,43,0,0.3321, ,true,43,0,0.5134, ,true,43,0,0.3645, ,true,43,0,0.3413, ,true,43,0,0.3103, ,
true,55,0,0.3449, ,true,55,0,0.4857, ,true,55,0,0.408, ,true,55,0,0.3673, ,true,55,0,0.3518, ,
true,44,0,0.2928, ,true,44,0,0.3275, ,true,44,0,0.3275, ,true,44,0,0.3048, ,true,44,0,0.2934, ,
true,59,0,0.3046, ,true,59,0,0.2979, ,true,59,0,0.3469, ,true,59,0,0.2685, ,true,59,0,0.2519, ,
true,55,0,0.2962, ,true,55,0,0.3099, ,true,55,0,0.3294, ,true,55,0,0.3201, ,true,55,0,0.5486, ,
true,54,0,0.5144, ,true,54,0,0.2666, ,true,54,0,0.2944, ,true,54,0,0.3229, ,true,54,0,0.3487, ,
true,43,0,0.2752, ,true,43,0,0.2475, ,true,43,0,0.2479, ,true,43,0,0.2412, ,true,43,0,0.3585, ,
true,50,0,1.0632, ,true,50,0,0.4517, ,true,50,0,0.2641, ,true,50,0,0.2324, ,true,50,0,0.2645, ,
true,42,0,0.3159, ,true,42,0,0.3042, ,true,42,0,0.204, ,true,42,0,0.2328, ,true,42,0,0.3041, ,
true,58,0,1.3034, ,true,58,0,0.2798, ,true,58,0,0.2857, ,true,58,0,0.3591, ,true,58,0,0.4457, ,
true,53,0,0.3619, ,true,53,0,0.3683, ,true,53,0,0.2856, ,true,53,0,0.4252, ,true,53,0,0.5451, ,
true,56,0,0.2966, ,true,56,0,0.1924, ,true,56,0,0.1841, ,true,56,0,0.1823, ,true,56,0,0.2577, ,
true,44,0,0.1883, ,true,44,0,0.1873, ,true,44,0,0.199, ,true,44,0,0.283, ,true,44,0,0.2118, ,
true,54,0,0.2097, ,true,54,0,0.2693, ,true,54,0,0.2828, ,true,54,0,0.2119, ,true,54,0,0.1997, ,
true,48,0,0.2171, ,true,48,0,0.3875, ,true,48,0,0.3038, ,true,48,0,0.1492, ,true,48,0,0.2224, ,
true,56,0,0.1645, ,true,56,0,0.1591, ,true,56,0,0.145, ,true,56,0,0.2228, ,true,56,0,0.1477, ,
true,58,0,0.1493, ,true,58,0,0.3593, ,true,58,0,0.3324, ,true,58,0,0.1776, ,true,58,0,0.1516, ,
true,61,0,0.2108, ,true,61,0,0.3806, ,true,61,0,0.2863, ,true,61,0,0.2719, ,true,61,0,0.3065, ,
